Genus,Species,Country,Region,Locality,,,Habitat,,Datum,Year,Collector,,decimalLatitude,decimalLongitude,MPN_Notes,,,Status
Parmelia,submontana,Deutschland,,"Altvatergebirge, Reihwiesen",,,an Fraxinus excelsior,440m,5.10.1921,1921,V. Grummann,,,,?Czechia?,,,Drop
Parmelia,submontana,Deutschland,Baden-Württemberg,"Freudenstadt,am Kniebis",,,auf Acer und Fraxinus,900m,8.1981,1981,H. Schindler,,48.466951,8.41371,Already in GBIF,,,Drop
Parmelia,submontana,Deutschland,Baden-Württemberg,between Wittig an Omerskopf,8*10'E,48*38'N,on Fagus,,2.196,,H. Reznik,,48.64262,8.181366,placed in between 8.181366 and Wittig Parkplatz,,,Keep
Parmelia,submontana,Deutschland,Hessen,Falkengesäß,,,on Fraxinus,400m,1.10.1956,1956,O. Behr,,49.560285,8.930871,Already in BerlinDB,,,Drop
Parmelia,submontana,Deutschland,Thüringen,Tambach,,,on Fagus,550m,21.7.1908,1908,G. Lettau,,50.233825,10.866974,,,,Keep
Parmelia,submontana,Deutschland,Thüringen,between Oberpörlitz and Röda,,,on Populus,550m,2.10.1908,1908,G. Lettau,,50.701922,10.913748,,,,Keep
Parmelia,submontana,Deutschland,Thüringen,Fambach,,,on Fagus,,7.7.1908,1908,G. Lettau,,50.738829,10.369085,,,,Keep
Parmelia,submontana,Deutschland,Thüringen,Oberhof,,,on Acer,750m,16.2.1907,1907,G. Lettau,,50.704353,10.727163,Already in GBIF,,,Keep
Parmelia,submontana,Deutschland,Hessen,Katzenbuckel,,,on Fagus,620m,2.9.1951,1951,O. Behr,,49.470833,9.040833,,,,Keep
Parmelina,quercina,Czech Republic,,"Altvatergebirge, Endersdorf",,,on Prunus,,5.10.1921,1921,V. Grummann,,50.258566,17.350535,Already in GBIF but listed as being in Poland ,,,Drop
Parmelina,quercina,Czech Republic,,"Altvatergebirge, Mariahilf",,,,,15.4.1922,1922,V. Grummann,,48.933333,16.533333,Already in GBIF,,,Drop
Parmelina,quercina,Deutschland,Bayern,Neuried bei München,,,,,1.11.1901,1901,G. Lettau,,,,Neuried is not anywhere near Munich,,,Drop
Parmelina,quercina,Deutschland,Bayern,"Allgäu, Hindelang",,,on Betula,1180m,9.1956,1956,A. Schröppel & J. Poelt,,47.506982,10.371929,,,,Keep
Parmelina,quercina,Deutschland,Thüringen,Elgersburg,,,on Acer,,7.9.1906,1906,G. Lettau,,50.705835,10.852815,Already in GBIF,,,Drop
Parmelina,quercina,Deutschland,Thüringen,Mühlberg bei Arnstadt,,,on Prunus,360m,26.5.1907,1907,G. Lettau,,,,Already in GBIF,,,Drop
Parmelina,quercina,Deutschland,Nordrhein-Westfalen,Münster,,,,,1.186,,Lahm,,51.961114,7.624239,,,,Keep
Parmelina,quercina,Deutschland,Nordrhein-Westfalen,Münster,,,,,9.186,,Fuisting,,51.961114,7.624239,,,,Keep
Parmelina,quercina,Deutschland,,zwiscxhen Ensdetten und Borghorst,,,,,9.186,,Nitschke,,52.151013,7.446739,Placed marker between Ensdetten and Borghorst,,,Keep
Parmelina,quercina,Deutschland,Hessen,Bad Homburg,,,,,2.1863,1863,Metzler,,50.229964,8.613056,,,,Keep
Parmelina,quercina,Deutschland,Bayern,"Allgäu, Hinterstein",,,,850m,30.6.1935,1935,J. Hillmann,,47.481157,10.402617,"Already in GBIF, date is off by a month, but wonder if transcription error",,,Drop
Parmelina,quercina,Deutschland,Thüringen,Oberpörlitz,,,,580m,25.9.1908,1908,G. Lettau,,50.701922,10.913748,Already in GBIF,,,Drop
Parmelina,quercina,Deutschland,Bayern,Garmisch,,,on Acer,,,,W. Zopf,,47.5,11.083333,,,,Keep
Parmelina,quercina,Deutschland,Baden-Württemberg,Gersbach,,,on Acer,,19.8.1910,1910,G. Lettau,,47.699024,7.925027,"Already in GBIF, date is off by 10 days, but wonder if transcription error",,,Drop
Parmelina,quercina,Deutschland,Sachsen,Warnadorf bei Dresden,,,,,1890,1890,Auerswalde,obviously Warwendorf - my attempt to read handwriting faild here,51.95109,7.987557,"No Warnadorf. Warendorf is in western Germany, and Marsdorf is also not close to Dresden",,,Keep
Parmelina,quercina,Deutschland,Baden-Württemberg,Todtnamberg,,,on Sorbus,,23.6.1912,1912,G. Lettau,,50.731908,8.360215,Already in GBIF,,,Drop
Parmotrema,perlatum,Deutschland,Hessen,"Taunus, Königstein",,,on rocks,,,,Egeling,,50.183673,8.463948,,,,Keep
Parmotrema,perlatum,Deutschland,Baden-Württemberg,Gammelsbachtal,8*58'E,49*32'N,on Acer,,10.1961,1961,H. Reznik,,49.466667,8.966667,Already in BerlinDB,,,Drop
Parmotrema,perlatum,Deutschland,,"Spessart, Dornau",,,on Quercus,200m,28.8.1955,1955,O. Behr,,49.897008,9.188605,used Dornau coords and not Spessart,,,Keep
Parmotrema,perlatum,Deutschland,,Gailbach,,,on Quercus,250m,22.8.1955,1955,O. Behr,,49.945945,9.206308,,,,Keep
Parmotrema,perlatum,Deutschland,,Fechenbach,,,on Quercus,250m,26.9.1955,1955,O. Behr,,49.772063,9.337581,,,,Keep
Parmotrema,perlatum,Deutschland,Baden-Württemberg,Säckingen,,,,,27.6.1915,1915,G. Lettau,,47.553986,7.927965,,,,Keep
Parmotrema,perlatum,Deutschland,Bayern,Planegg,,,,,17.4.1897,1897,Arnold,,48.103393,11.431423,,,,Keep
Parmotrema,perlatum,Deutschland,Nordrhein-Westfalen,Münster,,,,,,,Lahm,Arnold herb.,51.961114,7.624239,,,,Keep
Parmotrema,perlatum,Deutschland,Baden-Württemberg,Haagen bei Lörrach,,,,,4.7.1929,1929,V. Grummann,,,,"Haagen is in northern Germany, Lorrach is in SW Germany near border w France and Switzerland (Basel); ALSO, already in BerlinDB",,,Drop
Parmotrema,perlatum,Deutschland,,Dörrenbach,,,on Castanea,,16.4.1944,1944,E. Müller,,49.433776,7.235232,,,,Keep
Parmotrema,perlatum,Deutschland,Hessen,Lorch am Rhein,,,,100m,6.1922,1922,G. Lettau,,50.044167,7.803333,Wikipedia has as,,,Keep
Parmotrema,perlatum,Deutschland,Schleswig-Holstein,Hahemverstedt,,,,,3.4.1909,1909,F. Erichsen,,,,Could not find Hahemverstedt in Schleswig-Holstein,,,Drop
Parmotrema,perlatum,Deutschland,Bayern,Eilzee,,,,950m,1897,1897,Vayhinger,,,,Cannot find Eilzee,,,Drop
Parmotrema,perlatum,Deutschland,Baden-Württemberg,Zastler,,,,800m,1903,1903,A. Lösch,,47.917493,7.991396,,,,Keep
Parmotrema,perlatum,Polen,Bieszczady Zachodnie,Puszcza Bukowa,,,,810m,10.8.1956,1956,K. Glanc,,53.335089,14.686908,"Could not find with GeoLocate, so found on Wikipedia with Lat Long",,,Keep
Pertusaria,hymenea,Deutschland,Nordrhein-Westfalen,,,,,,1859,1859,C. Beckhaus,,51.5,7,,,,Keep
Pertusaria,hymenea,Deutschland,Nordrhein-Westfalen,Büren,,,,,4.1863,1863,Lahm,,51.551091,8.559562,,,,Keep
Pertusaria,hymenea,Deutschland,Schleswig-Holstein,Scharbeutz,,,on Fraxinus,,9.6.1935,1935,Erichsen,,54.02762,10.755049,,,,Keep
Pertusaria,hymenea,Deutschland,Nordrhein-Westfalen,Wolbecker Tiergarten,,,,,1863,1863,Nitschke,,51.910741,7.745211,Placed marker at Wolbecker Tiergarten,,,Keep
Pertusaria,hymenea,Deutschland,Baden-Württemberg,Heidelberg,,,,,,,Ahles,,49.404123,8.683733,,,,Keep
Pertusaria,trachythallina,Deutschland,Baden-Württemberg,Heidelberg,,,,,1857,1857,von Zwackh,,49.404123,8.683733,,,,Keep
Pertusaria,trachythallina,Deutschland,Bayern,München,,,,,1879,1879,Arnold,,48.15,11.583333,,,,Keep
Pertusaria,trachythallina,Deutschland,Bayern,Eichstätt,,,,,1868,1868,Arnold,,48.888543,11.196753,,,,Keep
Pertusaria,trachythallina,Deutschland,Nordrhein-Westfalen,Büren,,,,,7.186,,Lahm,,51.551091,8.559562,,,,Keep
