Barcode,Gattung,Epitheton,Collector(s),Collection number,Datum,Year,Loc,Hoehe,Long/lat,,,,,HTL_Notes,MPN_Notes,,,,,Status,MPN_Notes2
M-0301680,Parmelina,carporrhizans,C. Gröger,1236,22.8.1984,1984,"France, Haute provence, La Palude N Grand Canyon du Verdon",300 m,,,,,,,?La Palud-sur-Verdon?,,,,,Drop,
M-0301681,Parmelina,carporrhizans,M. Steiner,4836,13.6.1957,1957,"Austria, Vorarlberg, Laternsertal, near Laterns",1200 m,,,,47.266667,9.7,,,,,,,Keep,
M-0301682,Parmelina,quercina,A. Schröppel,,30.4.1954,1954,"Austria, Tyrol, Pinswang - Kniepass, Reutte-Aussfern",850 m,,,,47.516706,10.699994,,"Kniepas, near Reutte",,,,,Keep,
M-0301683,Parmelina,quercina,K.W. v. Nägeli,,,,"Germany, Niedersachsen, Göttingen",,,,,51.539334,9.934057,,,,,,,Keep,
M-0301684,Parmelina,quercina,E. Hampe,43,,,"Germany, Harz, Blankenburg",,,,,51.79457,10.958742,,,,,,,Keep,
M-0301685,Parmelina,quercina,,,,,"Germany, Saxonia, Dresden",,,,,51.048562,13.745794,,,,,,,Keep,
M-0301686,Parmelina,quercina,Auerswald,,,,"Germany, Saxonia, Dresden",,,,,51.048562,13.745794,,,,,,,Keep,
M-0301687,Parmelina,quercina,,,,,"Germany, Baden-Württemberg, Heidelberg",,,,,49.404123,8.683733,,,,,,,Keep,
M-0301688,Parmelina,quercina,Bausch,,1862,1862,"Germany, Baden-Württemberg, Mutschelbach",,,,,48.933333,8.533333,,,,,,,Keep,
M-0301689,Parmelina,quercina,Schimper,,1826,1826,"Germany, Baden-Württemberg, Offenburg",,,,,48.473768,7.944946,,,,,,,Keep,
M-0301690,Parmelina,quercina,Bausch,,1861,1861,"Germany, Baden-Württemberg, Geroldsau",,,,,48.725892,8.24656,,,,,,,Keep,
M-0301691,Parmelina,quercina,Bausch,,,,"Germany, Baden-Württemberg, Geroldsau",,,,,48.725892,8.24656,,,,,,,Keep,
M-0301692,Parmelina,quercina,A. Vezda,201,6.4.1958,1958,"Czech Republic, Moravia, near Polánka",320 m,,"Vezda, Lich. Bohem. Exs. 201",,49.069923,16.301085,,,,,,,Drop,same as GBIF 788526471
M-0301693,Parmelina,quercina,G. Timkó,135,17.8.1911,1911,"Hungary, Pest Co., Pomáz, Mt. Köhegy",350 m,,,,,,,mountain near Pomáz…which one?  Just use Pomáz?,,,,,Drop,
M-0301694,Parmelina,quercina,,295,,,"Slovenia, Krain Soria, Vojsko",,,,,46.025,13.906667,,,,,,,Keep,
M-0301695,Parmelina,quercina,,,,,"Yugoslavia,  ??""Bryzi in Istrien""",,,,,,,,"Can find Istria, but not Bryzi",,,,,Drop,
M-0301696,Parmelina,quercina,Barth,22,8.1871,1871,"Romania, ""Herzeschoarer Gebirge""",,,"Barth, Lich. Tanss. 22",,,,,Can't find anything,,,,,Drop,
M-0301697,Parmelina,quercina,Lojka,62,7.7.1885,1885,"Ukraine (currently Russia), Crimea, near Jalta",,,,,44.500129,34.161481,,used coordinates for Jalta,,,,,Keep,
M-0301698,Parmelina,quercina,A. Schröppel,,18.6.1961,1961,"Germany, Bavaria, Allgäu, Pfronten",1040 m,,,,47.583333,10.566667,,,,,,,Keep,
M-0301699,Parmelina,quercina,A. Schröppel,,9.5.1954,1954,"Germany, Bavaria, Allgäu, Oberjoch near Hindelang",,,,,47.506982,10.371929,,used Hindelang,,,,,Drop,same as a collection in BERLIN_HTL
M-0301700,Parmelina,quercina,Arnold,,8.186,,"Germany, Bavaria, Eichstätt",,,,,48.888543,11.196753,,,,,,,Keep,
M-0301701,Parmelina,quercina,Arnold,,1856,1856,"Germany, Bavaria, Eichstätt",,,,,48.888543,11.196753,,,,,,,Keep,
M-0301702,Parmelina,quercina,J. Poelt,,17.4.1949,1949,"Germany, Bavaria, Pöcking, Kr. Starnberg, between Wepfensee and Huppenberger Holz",,,,,,,,"can find Pöcking, but not Wepfensee or Huppenberger Holz",,,,,Drop,
M-0301703,Parmelina,quercina,J. Poelt,,1.4.1949,1949,"Germany, Bavaria, Oberbayern, Kr. Wolfratshausen, at the roadside between Deichstetten and Schäftlarn",,,,,48.888543,11.196753,just use Deichstätten,can find Wolfratschausen and Schäftlarn but not Deichstetten,,,,,Keep,
M-0301704,Parmelina,quercina,Krempelhuber,,,,"Germany, Bavaria, Munich",,,,,48.15,11.583333,,,,,,,Keep,
M-0301705,Parmelina,quercina,A. Schröppel & J. Poelt,7,9.1956,1956,"Germany, Bavaria, Allgäu, Oberjoch near Hindelang",1180 m,,,,47.506982,10.371929,,used Hindelang,,,,,Drop,same as collection in BERLIN_HTL
M-0301706,Parmelina,quercina,L. Gerastlauer,,1915,1915,"Germany, Bavaria, Oberfranken",,,,,,,,Oberfranken is a rather large area,,,,,Drop,
M-0301707,Parmelia,submontana,V. John,4494,24.10.183,,"Germany, Rheinland-Pfalz, Engbachtal near Grimburg",450 m,,,,49.62142,6.884073,,used Grimburg,,,,,Keep,
M-0301708,Parmelia,submontana,J. Poelt,,2.11.1957,1957,"Germany, Baden-Württemberg, NW of Heiligenberg ",,,,,,,,how far NW?,,,,,Drop,
M-0301709,Parmelia,submontana,J. Poelt,,5.4.1958,1958,"Germany, Baden-Württemberg, N of Heiligenberg near Überlingen",,,,,47.820833,9.3125,,from Google,,,,,Keep,
M-0301710,Parmelia,submontana,H. & E. Walter,,14.8.1957,1957,"Germany, Baden-Württemberg, near Rotzingen",,,,,47.665493,8.076086,,,,,,,Keep,
M-0301711,Parmelia,submontana,Z. Tobolewski,40 B,23.9.1951,1951,"Poland, Sudety, Gory Stolowe, between Karlow and Kudowa",770 m,,,,50.456522,16.294444,,took about halfway between the two,,,,,Drop,This seems to be the same as 1632918385 and/or 912724377 in GBIF - drop this one.
M-0301712,Parmelia,submontana,J. Poelt,,20.3.1963,1963,"Germany, Bavaria, Lkr. Füssen, Pfronten",890 m,,,,47.583333,10.566667,,,,,,,Keep,
M-0301713,Parmelia,submontana,J. Poelt,,20.3.1963,1963,"Germany, Bavaria, Steinrumpel E of Pfronten",,,,,,,,Trouble finding Steinrumpel...how far E?,,,,,Drop,
M-0301714,Parmelia,submontana,J. Poelt,,2.1958,1958,"Germany, Bavaria, Vilstal W of Pfronten",900 m,,,,,,,Trouble finding Vilstal...how far W?,,,,,Drop,
M-0301715,Parmotrema,reticulatum,W. Ahles,33,1857,1857,"Germany, Baden-Württemberg, Heidelberg",,,"Jack, Leiner & Stizenberger, Krypt. Badens 33",,49.404123,8.683733,,,,,,,Keep,
M-0301716,Punctelia,borreri,Kutak,,,,"Czech Republic, Bohemia, near České Skalice",,,,,50.393889,16.048611,,České Skalice coordinates from Google,,,,,Keep,
M-0301717,Punctelia,borreri,J. Poelt,,5.1958,1958,"Italy, South Tyrol, Bozen, Burg Ravenstein",,,,,46.3134,11.21255,,"Can find Burg Ravenstein castle in Germany, but not in Italy",,,,,Keep,
M-0301718,Punctelia,jeckeri,K. Glanc,170,18.5.1956,1956,"Poland, Bieszczady Zachodnie, near Wetlina",650 m,,Lichenotheca Polonica 170,,49.143557,22.484326,,,,,,,Drop,This seems to be the same as GBIF 914864415
M-0301719,Punctelia,subrudecta,V. Kutak,,1926,1926,"Czech Republic, Bohemia, near České Skalice",,,,,50.393889,16.048611,,České Skalice coordinates from Google,,,,,Keep,
M-0301720,Punctelia,subrudecta,J. Franclová & I. Pišút,146,17.7.1968,1969,"Slovakia, Záhorská nížina, near Šaštínske Stráže",170 m,,Lich. Solvak. Exs. 146,,48.641667,17.151389,,,,,,,Keep,
M-0302855,Punctelia,subrudecta,V. Kutak,,,,"Czech Republic, Bohemia, near České Skalice",,,,,50.393889,16.048611,,České Skalice coordinates from Google,,,,,Keep,
M-0302856,Punctelia,subrudecta,V. Kutak,,1928,1928,"Czech Republic, Bohemia, near České Skalice",,,,,50.393889,16.048611,,České Skalice coordinates from Google,,,,,Keep,
M-0302857,Punctelia,subrudecta,V. Kutak,,1926,1926,"Czech Republic, Bohemia, near České Skalice",,,,,50.393889,16.048611,,České Skalice coordinates from Google,,,,,Keep,
M-0302858,Punctelia,subrudecta,F. Fóriss,74,15.5.1938,1938,"Hungary, Lillafüred, Mt. Szent István",580 m,,"Fóriss, Lich. Bükk. Exs. 74",,,,,"Can find Lillafüred, but trouble finding mountain named Szent István - lots of other places w that name",,,,,Drop,
M-0302859,Punctelia,subrudecta,A. Zahlbrucker & G. Timkó,519,6.1914,1914,"Hungary, Pozsony, near Stomfa, Binderei",200 m,,Flora Hung. Exs. 519,,,,,Trouble finding this one…,,,,,Drop,
