"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince"
2238549648,"84d26682-f762-11e1-a439-00145eb45e9a",11.586783,55.41904,2017,3,19,"Denmark","Sønderskov","DMS-9320385","Ulrik Søchting",NA,NA,NA
2238550982,"84d26682-f762-11e1-a439-00145eb45e9a",11.565363,55.426578,2017,4,25,"Denmark","Egevang, Sorø","DMS-9320407","Ulrik Søchting",NA,NA,NA
2235010614,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.51695,52.56055,2016,2,21,"Germany","Acer negundo-Bestand gegenüber von Sportplatz ""Am Breiten Luch""/Wartenberger Str.","55883-862",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1262181449,"85739778-f762-11e1-a439-00145eb45e9a",13.3583,52.46,2015,5,10,"Germany","GERMANY, Land Berlin, Schöneberg: Naturpark Südbahnhofgelände. Alt. c. 50 m.","193275","H. Sipman and P. & B. van den Boom","B","Lichen Herbarium Berlin",NA
2013147413,"7948250c-6958-4a29-a670-ed1015b26252",6.8705,59.8548,2015,9,9,"Norway","Nyastøl (Røldal)","206496","Jon T. Klepsland","O","L","Hordaland"
2013145195,"7948250c-6958-4a29-a670-ed1015b26252",10.8484,59.8984,2014,3,25,"Norway","Oppsal","200153","Jon T. Klepsland","O","L","Oslo fylke"
2013145196,"7948250c-6958-4a29-a670-ed1015b26252",10.8449,59.9035,2014,3,22,"Norway","Oppsal","200144","Jon T. Klepsland","O","L","Oslo fylke"
1233359654,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.886383,50.930133,2014,6,15,"Poland","Kammerswaldau, an der Mufflonhütte","40963",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1060551539,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.158333,50.95,2014,10,27,"Germany","am Kohlichtgraben","38360",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1085604048,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87305,51.295283,2014,10,2,"Germany","Königshöhe, 200 m westlich","38774",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1085604050,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.896133,51.3267,2014,10,2,"Germany","im Bereich der ehem. Ortslage Otterschütz, westlich vom Otterbach","38772",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1085604053,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87075,51.29705,2014,10,2,"Germany","Königshöhe, 350 m WNW","38770",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1085604054,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87075,51.29705,2014,10,2,"Germany","Königshöhe, 350 m WNW","38769",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1085604056,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87305,51.295283,2014,10,2,"Germany","Königshöhe, 200 m westlich","38766",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
2013145190,"7948250c-6958-4a29-a670-ed1015b26252",7.9543,58.6144,2013,7,28,"Norway","Klepsland","200117","Jon T. Klepsland","O","L","Aust-Agder"
1288099921,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.4557,52.543617,2013,9,13,"Germany","Berlin-Weißensee, Jüdischer Friedhof, Grabfeld C 1","43271",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
911920308,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.663883,50.847217,2012,5,19,"Czechia","Lauschemoor","33546",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1212046307,"85739778-f762-11e1-a439-00145eb45e9a",13.4417,52.445,2011,4,12,"Germany","GERMANY, Berlin: Britz, in front of Albert-Einstein-Schule, Parchimer Allee 109. Alt. c. 40 m.","136844","H. Sipman & L. Zedda","B","Lichen Herbarium Berlin",NA
2013152041,"7948250c-6958-4a29-a670-ed1015b26252",5.7648,60.1286,2011,7,26,"Norway","Hovda V","223002","Jon T. Klepsland","O","L","Hordaland"
1052196025,"c1a13bf0-0c71-11dd-84d4-b8a03c50a862",16.30286,56.66369,2011,10,3,"Sweden","Hagbynäs","L-681834","Tommy Knutsson","UPS","BOT","Småland"
788652350,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.96182,55.71732,2008,6,25,"Sweden","No locality information available","1415284","Ulf Arup","LD","General","Skåne"
1212045216,"85739778-f762-11e1-a439-00145eb45e9a",13.7688,53.0873,2007,3,24,"Germany","GERMANY, Brandenburg: Landkr. Uckermark. Ca. 1 km W of Neu Temmen, towards Temmen. Alt. 70 m.","99018","H. Sipman, A. Aptroot & D. Heinrich","B","Lichen Herbarium Berlin",NA
1212043133,"85739778-f762-11e1-a439-00145eb45e9a",13.8333,52.4917,2006,4,30,"Germany","GERMANY, Brandenburg: Rüdersdorf, industrial zone S of lake Stienitzsee, near cement works. Alt. 60 m.","85527","H. Sipman & P. van den Boom","B","Lichen Herbarium Berlin",NA
911920098,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.4875,52.091667,2005,10,12,"Germany","Niederlausitz, Schlaubetal, Schlaubemühle, nördlich, nahe der Schlaube, nördlich der Teiche","23207",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1057156274,"7e380070-f762-11e1-a439-00145eb45e9a",-3.602771,51.602389,2004,10,26,"United Kingdom",NA,"BM000763317","Collaboration; R.S. Larsen, A. Orange","NHMUK","BOT","Wales"
1057490331,"7e380070-f762-11e1-a439-00145eb45e9a",-1.1743,52.3555,2004,12,4,"United Kingdom",NA,"BM000763347","René S. Larsen","NHMUK","BOT","England"
1701214769,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",4.793102,51.565927,2002,1,2,"Netherlands","Breda, Ginneken, cemetery","C0346945F","P. P. G. van den Boom","F","Botany","Noord-Brabant"
788507420,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.68144,56.01754,2002,5,18,"Sweden","No locality information available","1263183","Ulf Arup","LD","General","Skåne"
1057248755,"7e380070-f762-11e1-a439-00145eb45e9a",5.606046,52.53098,1999,11,19,"Netherlands",NA,"BM000501158","A Aproot","NHMUK","BOT","Flevoland"
636958,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.70031,55.91836,1994,4,23,"Sweden","No locality information available","1034191","Ulf Arup & Stefan Ekman","LD","General","Skåne"
