"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince"
1148820616,"8f7e3c45-4d76-4982-9478-651439e0cd4b",23.54979,58.55608,2015,6,20,"Estonia","Puhtulaid","TU71695","Ede Oja | Marek Oja","TU(M)",NA,NA
1148820637,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.4419,58.23735,2015,6,25,"Estonia","Loode tammik","TU71693","Ede Oja | Marek Oja","TU(M)",NA,NA
1148820640,"8f7e3c45-4d76-4982-9478-651439e0cd4b",23.55063,58.55505,2015,6,20,"Estonia","Puhtulaid","TU71694","Ede Oja | Marek Oja","TU(M)",NA,NA
1569807175,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.35018,56.08603,2014,3,28,"Sweden","Bäckaskogs slott 360 m N of the castle","1528280","Tony Svensson","LD","General",NA
1148832815,"8f7e3c45-4d76-4982-9478-651439e0cd4b",25.55713,55.0578,2011,9,20,"Lithuania","Asveja Regional Park, Dubingiai forest district, Valley of the Zverna rivulet","TU55250","Ede Oja","TU(M)",NA,NA
788707398,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.32856,55.67655,2009,6,25,"Sweden","Dalby Söderskog","1472013","Martin Löfdal","LD","General","Skåne"
1291888825,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.43333,58.23333,2006,8,11,"Estonia","Kaarma vald, Loode tammik  ","TU41801","Ede Oja","TU(M)",NA,NA
1291888885,"8f7e3c45-4d76-4982-9478-651439e0cd4b",21.98333,58.45,2006,8,9,"Estonia","Kihelkonna vald, Tagamõisa puisniit  ","TU41803","Ede Oja","TU(M)",NA,NA
1291888910,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.43333,58.23333,2006,8,11,"Estonia","Kaarma vald, Loode tammik  ","TU41802","Ede Oja","TU(M)",NA,NA
1291872530,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.43333,58.23333,2003,7,13,"Estonia","Kaarma vald, Loode tammik  ","TU27424","Ede Oja","TU(M)",NA,NA
1978787872,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.62104,55.69832,1996,3,3,"Sweden","350 m ESE of Djurgårdshuset","1961969","Ulf Arup & Stefan Ekman","LD","General","Skåne"
1265018130,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.79356,57.25213,1996,6,1,"Sweden","Blå Jungfrun","1888457","Martin Westberg","LD","General",NA
