"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","locality","collectionCode","catalogNumber","recordedBy","institutionCode"
1143572914,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-5.504167,57.6625,"Scotland",2007,11,2,"United Kingdom","Talladale, Loch Maree","E","E00745082","Sutcliffe, Mike","E"
328122634,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.651,42.991001,"O",2001,9,11,"Spain","Cangas del Narcea. Rebollar en el camino de La Viliella a la Vega de La Rondiella. Monte La Viliella.","VAL_Lich","21492-1","S. Pérez-Ortega, J. A. F. Prieto, S. Fos & E. Barreno","VAL"
328122635,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.651,42.991001,"O",2001,9,11,"Spain","Cangas del Narcea. Rebollar en el camino de La Viliella a la Vega de La Rondiella. Monte La Viliella.","VAL_Lich","21494-1","S. Pérez-Ortega, J. A. F. Prieto, S. Fos & E. Barreno","VAL"
1212064628,"85739778-f762-11e1-a439-00145eb45e9a",-6.7233,42.0867,NA,2000,8,31,"Spain","SPAIN, Prov. Zamora. Parque Natural del Lago de Sanabria y Alrededores, Sotillo de Sanabria, along track to Cascada de Sotillo; alt. c. 1000 m.","Lichen Herbarium Berlin","58297","H. Sipman","B"
2243046064,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.493333,41.625,NA,2000,9,11,"Bulgaria","Weg von der Hütte Pirin in Richtung Roenski manastir (Kloster Roschen)","Herbarium Senckenbergianum (FR) - Fungi","56124-862",NA,"FR"
328122652,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.686,43.036999,"O",2000,10,19,"Spain","Cangas del Narcea. Fresneda ribereña con plágano atravesada por el río Tablizas. Monte Muniellos.","VAL_Lich","22285-1","S. Pérez-Ortega & S. Fos","VAL"
31297314,"835f8992-f762-11e1-a439-00145eb45e9a",-2.87,37.970001,"J",1998,1,9,"Spain","La Iruela, Sierra del Pozo, arroyo de las Truchas","MAF-Lich","8440-1","G. Aragón & I. Martínez","MAF"
29516745,"83492a58-f762-11e1-a439-00145eb45e9a",-1,40,"Cu",1998,5,3,"Spain","Huerta del Marquesado, Barranco de la Canaleja","MA-Lichen","10297-1","G. Aragón & I. Martínez","MA"
29516750,"83492a58-f762-11e1-a439-00145eb45e9a",-1,40,"Cu",1998,5,3,"Spain","Campillos-Sierra, Serranía de Cuenca, Valdeliebres","MA-Lichen","10313-1","G. Aragón & I. Martínez","MA"
1851697963,"2a89fac8-e079-419e-8883-70a4cd9c25e1",-6.745,42.093,"Zamora",1998,9,8,"Spain","Sotillo de Sanabria-Arroyo de las Truchas","LICHEN","4442-1","A.Terrón","LEB"
1851692036,"2a89fac8-e079-419e-8883-70a4cd9c25e1",-6.553,42.062,"Zamora",1997,7,13,"Spain","Remesal","LICHEN","4854-1","A.B.Fernández Salegui & J.Andrés","LEB"
31296573,"835f8992-f762-11e1-a439-00145eb45e9a",-2.44,38.459999,"Ab",1996,1,4,"Spain","Riópar, Sierra del Calar del Mundo, río Mundo","MAF-Lich","5467-1","G. Aragón & I. Martínez","MAF"
29517886,"83492a58-f762-11e1-a439-00145eb45e9a",-6,40,"Cc",1996,4,5,"Spain","Hoyos, estribaciones de la Sierra de Santa Olalla, arroyo de Santa Catalina","MA-Lichen","7649-1","G. Aragón, A. Herrero & I. Martínez","MA"
