"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode"
1947382278,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4182,59.7567,"Hordaland",2018,4,28,"Norway","18033/1","Geir Gaarder","TRH","Digernes, Geitåsen","L"
1947382429,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.2628,59.7157,"Hordaland",2018,4,30,"Norway","18030/1","Geir Gaarder","TRH","Børøy, Storavatnet nord","L"
1947382599,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4134,59.7679,"Hordaland",2018,4,27,"Norway","18087/1","Geir Gaarder, Ulrike Hanssen","TRH","Valavåg, Nes-Åsen","L"
1947382653,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.2059,59.7113,"Hordaland",2018,4,30,"Norway","18036/1","Geir Gaarder","TRH","Lykling øst","L"
1947382286,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4142,60.1417,"Hordaland",2018,5,10,"Norway","18042/1","Geir Gaarder","TRH","Halhjem, Innerøya","L"
1947382534,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4224,60.1432,"Hordaland",2018,5,10,"Norway","18043/1","Geir Gaarder","TRH","Halhjem, Innerøya","L"
2449421546,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4376,60.639,"Hordaland",2018,5,14,"Norway","29010/1","Andreas Frisch","TRH","Kvalvika-Røyldalane","L"
2449421563,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4376,60.639,"Hordaland",2018,5,14,"Norway","29012/1","Andreas Frisch","TRH","Kvalvika-Røyldalane","L"
2449421567,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4376,60.639,"Hordaland",2018,5,14,"Norway","29011/1","Andreas Frisch","TRH","Kvalvika-Røyldalane","L"
2449421579,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4591,59.9981,"Hordaland",2018,5,9,"Norway","29003/1","Andreas Frisch","TRH","Beltestad, Beltestadknappen","L"
2449421603,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4591,59.9981,"Hordaland",2018,5,9,"Norway","29004/1","Andreas Frisch","TRH","Beltestad, Beltestadknappen","L"
2449421618,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4593,59.9983,"Hordaland",2018,5,9,"Norway","29005/1","Andreas Frisch","TRH","Beltestad, Beltestadknappen","L"
2449421562,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.2014,59.647,"Hordaland",2017,7,19,"Norway","29006/1","Andreas Frisch","TRH","Skogafjellet","L"
2449421570,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.2026,59.6472,"Hordaland",2017,7,19,"Norway","29002/1","Andreas Frisch","TRH","Skogafjellet","L"
2449421578,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.2016,59.6469,"Hordaland",2017,7,19,"Norway","29000/1","Andreas Frisch","TRH","Bømlo, Skogafjellet","L"
2449421608,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.2014,59.647,"Hordaland",2017,7,19,"Norway","29008/1","Andreas Frisch","TRH","Skogafjellet","L"
2449421611,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.2026,59.6472,"Hordaland",2017,7,19,"Norway","29001/1","Andreas Frisch","TRH","Skogafjellet","L"
2449421613,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.2014,59.647,"Hordaland",2017,7,19,"Norway","29009/1","Andreas Frisch","TRH","Skogafjellet","L"
2449421614,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.2014,59.647,"Hordaland",2017,7,19,"Norway","29007/1","Andreas Frisch","TRH","Bømlo, Skogafjellet","L"
2013147683,"7948250c-6958-4a29-a670-ed1015b26252",6.0586,60.1381,"Hordaland",2016,6,9,"Norway","206754","Jon T. Klepsland","O","Øykhageneset (Varaldsøy)","L"
2013151504,"7948250c-6958-4a29-a670-ed1015b26252",6.1621,60.2797,"Hordaland",2016,6,8,"Norway","222473","Jon T. Klepsland","O","Augastadåsen S","L"
2013151589,"7948250c-6958-4a29-a670-ed1015b26252",5.4818,59.7885,"Hordaland",2016,6,7,"Norway","222455","Jon T. Klepsland","O","Løning V","L"
2013147709,"7948250c-6958-4a29-a670-ed1015b26252",6.0415,60.1215,"Hordaland",2015,9,12,"Norway","206745","Jon T. Klepsland","O","Djupevika (Varaldsøy NR)","L"
1324323657,"7948250c-6958-4a29-a670-ed1015b26252",13.7758,48.4797,NA,2014,4,5,"Austria","199199","Franz Berger","O","Oberösterreich (=Upper Austria), district of Rohrbach, 5.7 km south-southeast of the centre of 'Neustift im Mühlkreis', valley of the rivulet Ranna, 600 m north of its mouth into the river Danube (Rannamühl)","L"
1209696744,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.9741,60.0745,"Hordaland",2014,6,15,"Norway","15452/1","Geir Gaarder","TRH","Varaldsøyna, Kyrholen øst","L"
1209697125,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.2224,59.6864,"Hordaland",2014,8,11,"Norway","15453/1","Geir Gaarder","TRH","Askedalen sør","L"
1324320713,"7948250c-6958-4a29-a670-ed1015b26252",5.6034,59.1029,"Rogaland",2014,8,14,"Norway","200625","Jon T. Klepsland","O","Klosterøy","L"
919263487,"7948250c-6958-4a29-a670-ed1015b26252",6.0696,59.1841,"Rogaland",2012,6,26,"Norway","186114","Jon T. Klepsland","O","Djupevik (Fister)","L"
1040970837,"7948250c-6958-4a29-a670-ed1015b26252",6.1781,59.3925,"Rogaland",2011,6,3,"Norway","194318","Tom H. Hofton","O","Eskevika S","L"
919261456,"7948250c-6958-4a29-a670-ed1015b26252",5.846,60.1023,"Hordaland",2011,7,27,"Norway","176992","Jon T. Klepsland","O","Grunnavassdalen","L"
919261569,"7948250c-6958-4a29-a670-ed1015b26252",5.8433,60.1005,"Hordaland",2011,7,27,"Norway","176987","Jon T. Klepsland","O","Grunnavassdalen","L"
919261614,"7948250c-6958-4a29-a670-ed1015b26252",6.1336,60.2546,"Hordaland",2011,7,28,"Norway","177011","Jon T. Klepsland","O","Hjartnes Ø","L"
919261627,"7948250c-6958-4a29-a670-ed1015b26252",5.8515,60.1054,"Hordaland",2011,7,27,"Norway","177000","Jon T. Klepsland","O","Grunnavassdalen","L"
919262503,"7948250c-6958-4a29-a670-ed1015b26252",5.8528,60.1066,"Hordaland",2011,7,27,"Norway","183602","Jon T. Klepsland","O","Grunnavassdalen","L"
919260594,"7948250c-6958-4a29-a670-ed1015b26252",5.2098,59.6497,"Hordaland",2010,7,18,"Norway","175167","Jon T. Klepsland","O","Skogafjellet N","L"
919256131,"7948250c-6958-4a29-a670-ed1015b26252",8.1404,62.7061,"Møre og Romsdal",2009,4,23,"Norway","161440","R. Haugan","O","Between Tjeldneset and Jonseteigen","L"
1324325064,"7948250c-6958-4a29-a670-ed1015b26252",14.4833,47.7819,NA,2000,10,14,"Austria","202415","J. Hafellner","O","Oberösterreich (=Upper Austria), Nationalpark Kalkalpen, Reichraminger Hintergebirge, 11.5 km S of Reichraming, between Große Klause and Anneristeg, orographically right side of the Großer Bach","L"
919179806,"7948250c-6958-4a29-a670-ed1015b26252",5.3803,59.7013,"Hordaland",1915,8,NA,"Norway","45993","J.J. Havaas, B. Lynge","O","Mosterhavn","L"
919179829,"7948250c-6958-4a29-a670-ed1015b26252",5.7023,60.0522,"Hordaland",1910,8,27,"Norway","45994","J.J. Havaas","O","Sunder ved Loksund","L"
919148500,"7948250c-6958-4a29-a670-ed1015b26252",5.2138,60.4782,"Hordaland",1909,8,31,"Norway","5248","J.J. Havaas","O","prope villam Ask insulae Askøyen ad Bergen","L"
919179815,"7948250c-6958-4a29-a670-ed1015b26252",5.1149,60.477,"Hordaland",1909,NA,NA,"Norway","45992","J.J. Havaas","O","Ved Bergen","L"
