"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince"
2365717770,"85739778-f762-11e1-a439-00145eb45e9a",25.4508,36.8317,2019,1,21,"Greece","201838","Ioannis GAVALAS","B","GREECE, Cyclades: Iraklia island, Vrisi, 500 m SW of Panagia. Alt. 245 m.","Lichen Herbarium Berlin",NA
2273396439,"ee4d0706-38af-4bc4-8539-e17c0ca8512e",9.177217,41.3785,2019,4,7,"France","383010","ZImmermann, Erich","DUKE","Bonifacio, Phare de Pertusato-Bonifacio",NA,"Corsica"
2013824339,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.95555,48.21805,2018,5,23,"Slovakia","54450-771",NA,"FR","Pirsenstein (Hajnácka), Burgberg","Herbarium Senckenbergianum (FR) - Fungi",NA
1944634239,"85739778-f762-11e1-a439-00145eb45e9a",25.8333,36.7925,2018,9,21,"Greece","198267","H. Sipman & Th. Raus","B","GREECE, Aegean Sea, Cyclades, Amorgos island, E of Kamari. Alt. 260 m.","Lichen Herbarium Berlin",NA
1944634241,"85739778-f762-11e1-a439-00145eb45e9a",25.958,36.8775,2018,9,28,"Greece","198570","H. Sipman & Th. Raus","B","GREECE, Aegean Sea, Cyclades, Amorgos island, Asfodilitis, abandoned village between Langada and Chora. Near windmill. Alt. 350 m.","Lichen Herbarium Berlin",NA
2365717776,"85739778-f762-11e1-a439-00145eb45e9a",25.4384,36.8347,2018,12,22,"Greece","201694","Ioannis GAVALAS","B","GREECE, Cyclades: Iraklia island, 1 Km N of cave Ag. Ioannis towards Selladi. Alt. 180 m.","Lichen Herbarium Berlin",NA
1501733370,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.63,38.14,2016,4,26,"Spain","1881646","V. Atienza Tamarit | S. Fos MartÃ­n | J. Alcober Bosch | C. J. Mansanet Salvador","BDBCV","Dunes de Pinet","BDBCV-General","Alicante"
1675761138,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.272217,50.168617,2016,6,25,"Germany","43382",NA,"FR","Pommern an der Mosel","Herbarium Senckenbergianum (FR) - Fungi",NA
1675761027,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.469529,41.036427,2015,6,4,"Italy","221766",NA,"FR","Prov. Olbia-Tempio, La Gallura, San Pantaleo southeast of Arzachena, southern outskirts, south of the Via Alessandro Manzoni","Herbarium Senckenbergianum (FR) - Fungi",NA
1501547128,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.64,38.03,2014,11,11,"Spain","1682723","M. A. GÃ³mez Serrano | S. Fos MartÃ­n","BDBCV","Dunes de Guardamar","BDBCV-General","Alicante"
1501563284,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.64,38.03,2014,11,11,"Spain","1703967","S. Fos MartÃ­n | M. A. GÃ³mez Serrano","BDBCV","Dunes de Guardamar","BDBCV-General","Alicante"
1501563314,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.64,38.03,2014,11,11,"Spain","1703968","M. A. GÃ³mez Serrano | S. Fos MartÃ­n","BDBCV","Dunes de Guardamar","BDBCV-General","Alicante"
1501424477,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.51,39.29,2013,4,10,"Spain","1558272","E. Laguna Lumbreras | S. Fos MartÃ­n","BDBCV","Barranc de la Falaguera","BDBCV-General","Valencia"
919310715,"7948250c-6958-4a29-a670-ed1015b26252",3.0747,41.8473,2013,7,26,"Spain","184453","S. Rui, E. Timdal","O","Calonge, Les Gavarres, Villa St. Joseph","L",NA
1212098321,"85739778-f762-11e1-a439-00145eb45e9a",26.03,38.1865,2013,9,20,"Greece","186916","H. Sipman & Th. Raus","B","GREECE, East Aegean islands, Chios: Emborios, S-side of bay. Alt. 5 m.","Lichen Herbarium Berlin",NA
1212098422,"85739778-f762-11e1-a439-00145eb45e9a",25.9892,38.5633,2013,9,27,"Greece","187341","H. Sipman & Th. Raus","B","GREECE, East Aegean islands, Chios: N-slope of Mt. Pelineo, E of Kambia. Alt. 610 m.","Lichen Herbarium Berlin",NA
1099919218,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.916667,55.116667,2013,10,15,"Denmark","1798876","Eric Steen Hansen","LD","Koldekilde","General","Bornholm"
1148856081,"8f7e3c45-4d76-4982-9478-651439e0cd4b",14.91667,55.11667,2013,10,15,"Denmark","TU61555","Eric Steen Hansen","TU(M)","Bornholm, Almindingen, Koldekilde",NA,NA
1262182085,"85739778-f762-11e1-a439-00145eb45e9a",14.9167,55.1167,2013,10,15,"Denmark","193496","Eric Steen Hansen","B","DENMARK, Bornholm: Almindingen, Koldekilde.","Lichen Herbarium Berlin",NA
1324747484,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",14.9166,55.1166,2013,10,15,"Denmark","96901","Hansen, E.S.","BG","Almindingen, Koldekilde","L","Bornholm"
2237880476,"84d26682-f762-11e1-a439-00145eb45e9a",14.9283,55.12329,2013,10,15,"Denmark","DMS-1017649","Eric Steen Hansen",NA,"Almindingen",NA,NA
2237881810,"84d26682-f762-11e1-a439-00145eb45e9a",14.9283,55.12329,2013,10,15,"Denmark","DMS-1017656","Eric Steen Hansen",NA,"Almindingen",NA,NA
1324739705,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.73087,59.07733,2011,1,22,"Norway","90729","Johnsen, J.I.","BG","Dale, Svinevika","L","Rogaland"
1324740056,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.72801,59.07703,2011,6,16,"Norway","92146","Johnsen, J.I.","BG","NV av Svinevika, ved gjerde","L","Rogaland"
1212098218,"85739778-f762-11e1-a439-00145eb45e9a",25.4017,36.4017,2011,9,14,"Greece","176592","H. Sipman & Th. Raus","B","GREECE, Cyclades Archipelago. Santorini islands, Nea Kaimeni, above chapel. Alt. 70 m","Lichen Herbarium Berlin",NA
1212098256,"85739778-f762-11e1-a439-00145eb45e9a",24.425,36.77,2011,9,20,"Greece","176846","H. Sipman & Th. Raus","B","GREECE, Cyclades Archipelago. Milos island, Trachilos peninsula N of Plaka. Alt. 40 m","Lichen Herbarium Berlin",NA
