"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince"
2464574224,"8f7e3c45-4d76-4982-9478-651439e0cd4b",26.844167,59.009722,2019,10,18,"Estonia","Avinurme ümbrus","TU88274","Tiina Randlane","TU(M)",NA,NA
2238550985,"84d26682-f762-11e1-a439-00145eb45e9a",11.565052,55.378891,2017,3,17,"Denmark","Suserup skov","DMS-9320376","Ulrik Søchting",NA,NA,NA
2238552363,"84d26682-f762-11e1-a439-00145eb45e9a",11.58711,55.418955,2017,3,19,"Denmark","Sønderskov","DMS-9320388","Ulrik Søchting",NA,NA,NA
2238540838,"84d26682-f762-11e1-a439-00145eb45e9a",8.662255,57.051299,2016,6,6,"Denmark","Atterhøj","DMS-9245643","Ulrik Søchting",NA,NA,NA
1675763934,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.964167,44.187217,2016,8,18,"Russian Federation","oberhalb von Mezmai, Kurdipsschlucht","48592-771",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
2238541744,"84d26682-f762-11e1-a439-00145eb45e9a",8.649593,57.046305,2016,8,1,"Denmark","Atterhøj","DMS-9245923","Ulrik Søchting",NA,NA,NA
1253322926,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-2.697222,55.445,2015,5,10,"United Kingdom","Denholm Dean","E00755791","B.J. Coppins","E","E","Scotland"
1270675813,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.26905,50.919533,2015,10,13,"Germany","Kleiner Zschand","42850",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1148951977,"8f7e3c45-4d76-4982-9478-651439e0cd4b",25.225278,58.383333,2014,5,12,"Estonia",NA,"TU71851","Liis Marmor","TU(M)",NA,NA
1324320342,"7948250c-6958-4a29-a670-ed1015b26252",10.776,59.6366,2014,5,4,"Norway","Rud S","200242","Jon T. Klepsland","O","L","Akershus"
2237889129,"84d26682-f762-11e1-a439-00145eb45e9a",10.54844,56.21526,2014,5,26,"Denmark","Mols Bjerge","DMS-1023846","Vagn Alstrup",NA,NA,NA
2399009934,"b124e1e0-4755-430f-9eab-894f25a9b59c",10.77602,59.636629,2014,5,4,"Norway","Rud S, Ås, Ak","11501426","Jon Klepsland","nbf","so2-lichens","Akershus"
1324743764,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",12.04767,64.22073,2014,6,12,"Norway","N of Hammer, N side of river Breiåa","99932","Tønsberg, T.","BG","L","NORD-TRØNDELAG"
1054224286,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",10.262318,63.317577,2013,9,3,"Norway","Reitan","JK13-L333","Klepsland, Jon T.","BioFokus","BioFokus","Sør-Trøndelag"
1324319169,"7948250c-6958-4a29-a670-ed1015b26252",10.2624,63.3176,2013,9,3,"Norway","Reitan","198126","Jon T. Klepsland","O","L","Sør-Trøndelag"
1324319511,"7948250c-6958-4a29-a670-ed1015b26252",12.0478,64.2193,2013,9,23,"Norway","Hammer NØ","198436","Jon T. Klepsland","O","L","Nord-Trøndelag"
1052816209,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.2985,50.898583,2013,10,29,"Germany","Großer Zschand","38540",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
2403904607,"b124e1e0-4755-430f-9eab-894f25a9b59c",8.723567,58.391862,2013,12,3,"Norway","Hasseltangen LVO, Grimstad, Aa","11502686","Tove Hafnor Dahl","nbf","so2-lichens","Aust-Agder"
872485448,"6aeebd1a-c3ad-4bc5-bdfe-24de0e2e9052",2.09897,41.77989,2012,6,6,"Spain","Castellterçol; Castellterçol, Riera de La Fàbrega","BC-Lichenotheca-930199","E. Llop","BC","BC-Lichenotheca","Barcelona"
911957251,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.366667,50.8975,2012,10,22,"Germany","Elbsandsteingebirge, Kirnitzschklamm","33893",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
911957253,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.10195,50.966667,2012,10,9,"Germany","Elbsandsteingebirge, mittleres Polenztal zwischen Gasthof Polenztal und Waltersdorfer Schleuse","34022",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1054070826,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",10.928762,59.73377,2011,4,17,"Norway","Bjørnebråten SV","JK11-L011","Klepsland, Jon T.","BioFokus","BioFokus","Akershus"
911957248,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.8,52.675,2011,4,22,"Poland","Jagie&#322;ouska Droga im Walde südwestlich von Bialowieza","35848",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
919261325,"7948250c-6958-4a29-a670-ed1015b26252",10.9288,59.7337,2011,4,17,"Norway","Bjørnebråten SV","176808","Jon T. Klepsland","O","L","Akershus"
2425460087,"7f2889e6-f762-11e1-a439-00145eb45e9a",1.37,41.95,2010,6,NA,"Spain","Riera de Madrona, vora de Sant Tirs camí de Casals; Bauma de la Font del Manel.","19396","Xavier Llimona Pagès","BCN","Lich","Lleida"
2410222585,"b124e1e0-4755-430f-9eab-894f25a9b59c",10.941274,59.746962,2010,9,27,"Norway","Bergseng, Ski, Ak","11505382","Per Larsson","nbf","so2-lichens","Akershus"
1148741419,"8f7e3c45-4d76-4982-9478-651439e0cd4b",26.12639,59.30861,2009,4,12,"Estonia","Neeruti Landscape Reserve","TU55980","Ede Oja | Liis Marmor | Tiiu Tõrra","TU(M)",NA,NA
1148679143,"8f7e3c45-4d76-4982-9478-651439e0cd4b",26.34417,59.53667,2009,5,18,"Estonia",NA,"TU66016","Ede Oja | Liis Marmor | Tiiu Tõrra","TU(M)",NA,NA
1148678015,"8f7e3c45-4d76-4982-9478-651439e0cd4b",27.57212,59.23319,2008,8,17,"Estonia",NA,"TU47019","Kristel Turja","TU(M)",NA,NA
1148678032,"8f7e3c45-4d76-4982-9478-651439e0cd4b",27.57212,59.23319,2008,8,17,"Estonia",NA,"TU47020","Kristel Turja","TU(M)",NA,NA
2464563727,"8f7e3c45-4d76-4982-9478-651439e0cd4b",27.577768,59.255083,2008,8,16,"Estonia","Konsu küla","TU48538","Piret Lõhmus","TU(M)",NA,NA
1148676421,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.12738,58.40028,2008,9,19,"Estonia","Odalätsi allikate lähedal","TU58875","Jurga Motiejunaite","TU(M)",NA,NA
1041902372,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",10.89876,59.72593,2008,11,27,"Norway","Kollåsen, Boger, 270 m NE from farm Berseng","12959/1","P. Larsson","TRH","L","Akershus"
1212104651,"85739778-f762-11e1-a439-00145eb45e9a",6.5067,46.6633,2007,1,13,"Switzerland","SWITZERLAND: between Lac de Neuchatel and Lac Léman, between La Sarraz and Pomplades. Alt. 535 m.","109343","P. van der Knaap & J. van Leeuwen","B","Lichen Herbarium Berlin",NA
1212103534,"85739778-f762-11e1-a439-00145eb45e9a",13.7683,53.0483,2007,3,24,"Germany","GERMANY, Brandenburg: Landkr. Uckermark. NSG Poratzer Moränenlandschaft. W of Luisenau. Alt. 75 m.","99034","H. Sipman, A. Aptroot & D. Heinrich","B","Lichen Herbarium Berlin",NA
1675763932,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.930283,44.2068,2007,8,25,"Russian Federation","Schlucht Guamskoe nordlich von Mesmaî","46139-862",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1065693328,"905daf20-04fd-11df-8c28-b8a03c50a862",20.075964,63.866723,2006,5,20,"Sweden","Brännland","47334","Lars Ericson","UME","General",NA
1148833001,"8f7e3c45-4d76-4982-9478-651439e0cd4b",24.8,56.25,2006,5,14,"Lithuania","Biržai, Ąžuolyne oak forest","TU71416","Jurga Motiejunaite","TU(M)",NA,NA
1148833034,"8f7e3c45-4d76-4982-9478-651439e0cd4b",24.79083,56.24797,2006,5,14,"Lithuania","Biržai district, Biržai Regional Park, Ąžuolynes n., Biržai forestry, forest sq. 76 or 77","TU71415","D. Urbanavicus","TU(M)",NA,NA
1041916893,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",11.7547,63.7592,2006,9,7,"Norway","Along E side of river Inna, Dillfossan","11644/1","Håkon Holien","TRH","L","Nord-Trøndelag"
911957239,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.963883,44.1875,2004,5,16,"Russian Federation","Kaukasus, Kurdzipsschlucht oberhalb von Mezmai, nahe dem Eingang","15804",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
328123663,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.686,43.036999,2003,3,20,"Spain","Cangas del Narcea. Hayedo en el camino del Pico Luis. Monte Muniellos.","23219-1","S. Pérez-Ortega","VAL","VAL_Lich","O"
328123664,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.686,43.036999,2003,3,20,"Spain","Cangas del Narcea. Hayedo en el camino del Pico Luis. Monte Muniellos.","23279-1","S. Pérez-Ortega","VAL","VAL_Lich","O"
788508061,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.16772,56.77811,2003,4,24,"Sweden","No locality information available","1263843","Ulf Arup","LD","General",NA
788505238,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.69136,56.0063,2003,6,14,"Sweden","No locality information available","1260843","Ulf Arup","LD","General",NA
911957247,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.963883,44.1875,2003,8,20,"Russian Federation","Kaukasus, Schlucht des Baches Kurdips oberhalb von Mezmai","15525",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
152924029,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911995,46.399623,2002,6,19,"Slovenia","Stara Fužina","F957785","Batič F., Mrak T.","ULBF-AGR","FloVegSI-FLO","Gorenjska"
29520735,"83492a58-f762-11e1-a439-00145eb45e9a",-1,43,2000,2,6,"Spain","Oronoz-Mugaire, valle de Bertizarana, Señorío de Bértiz","13476-1","J.Etayo","MA","MA-Lichen","Na"
328123407,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.686,43.036999,2000,10,19,"Spain","Cangas del Narcea. Bloques silíceos en el lecho del río Tablizas. Monte Muniellos","20601-1","S. Pérez-Ortega & S. Fos","VAL","VAL_Lich","O"
328123609,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.686,43.036999,2000,10,19,"Spain","Cangas del Narcea. Bloques silíceos en el lecho del río Tablizas. Monte Muniellos","22440-1","S. Pérez-Ortega & S. Fos","VAL","VAL_Lich","O"
768696,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.18974,56.60892,1995,4,23,"Sweden","No locality information available","1014603","Ulf Arup & Stefan Ekman","LD","General",NA
768917,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.88371,55.86527,1995,6,10,"Sweden","No locality information available","1039391","Ulf Arup & Stefan Ekman","LD","General",NA
1086440849,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",18,59,1995,9,8,"Sweden","Uppland, Vätö sn, Lidö, Norrkalven","F169741","Mats Nordin","S","S-Fungi","Uppland"
1086305063,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1995,10,15,"Sweden","Västergötland: Kinnarumma sn, Flenstorp. På Vaccinium myrtillus i fuktig blåbärsgranskog. 57°34'N, 12°51'O","L53558","Gunvor Westling","S","S-Fungi","Västergötland"
768919,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.22452,56.02391,1994,5,29,"Sweden","No locality information available","1039455","Ulf Arup & Stefan Ekman","LD","General",NA
29521612,"83492a58-f762-11e1-a439-00145eb45e9a",-1,42,1991,7,21,"Spain","Foz de Arbayún, Usún","3430-1","J.Etayo & P.Diederich","MA","MA-Lichen","Na"
1212103050,"85739778-f762-11e1-a439-00145eb45e9a",1.5333,44.45,1988,7,20,"France","FRANCE, dép. LOT. Igues d'Aujols, c. 2 km S of Arcambal. Stunted Quercus pubescens-forest on stony N-facing limestone slope. Alt. c. 150 m.","35726","H. Sipman","B","Lichen Herbarium Berlin",NA
1826811809,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.34,41.78,1984,3,4,"Spain","Font d'En Vinyes","11096","Antonio Gómez-Bolea","BCN","Lich","Barcelona"
1826811817,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.34,41.78,1984,3,4,"Spain","Font d'En Vinyes","11098","Antonio Gómez-Bolea","BCN","Lich","Barcelona"
1826811829,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.34,41.78,1984,3,4,"Spain","Font d'En Vinyes","11099","Antonio Gómez-Bolea","BCN","Lich","Barcelona"
1826811925,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.34,41.78,1984,3,4,"Spain","Font d'En Vinyes","11100","Antonio Gómez-Bolea","BCN","Lich","Barcelona"
1826811932,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.34,41.78,1984,3,4,"Spain","Font d'En Vinyes","11093","Antonio Gómez-Bolea","BCN","Lich","Barcelona"
1826811949,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.34,41.78,1984,3,4,"Spain","Font d'En Vinyes","11110","Antonio Gómez-Bolea","BCN","Lich","Barcelona"
1826812023,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.34,41.78,1984,3,4,"Spain","Font d'En Vinyes","11092","Antonio Gómez-Bolea","BCN","Lich","Barcelona"
1826812868,"7f2889e6-f762-11e1-a439-00145eb45e9a",0.88,42.12,1984,8,5,"Spain","Barranc del Puig de Migjorn","11725","Antonio Gómez-Bolea","BCN","Lich","Lleida"
