"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode"
2381427345,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.264846,60.207493,"Hordaland",2019,7,3,"Norway","JK19-101","Klepsland, Jon T.","BioFokus","Korsneset skytefelt","BioFokus"
1946431672,"b124e1e0-4755-430f-9eab-894f25a9b59c",5.415332,59.75937,"Hordaland",2018,4,28,"Norway","20624273","Jon Klepsland","nbf","Geitåsen N, Stord, Ho","so2-lichens"
2013150369,"7948250c-6958-4a29-a670-ed1015b26252",5.3842,59.9864,"Hordaland",2018,4,2,"Norway","221347","Jan C. Rivenæs","O","Grønehaugen","L"
2013150396,"7948250c-6958-4a29-a670-ed1015b26252",5.3845,59.9863,"Hordaland",2018,4,2,"Norway","221344","Jan C. Rivenæs","O","Grønehaugen","L"
2013150508,"7948250c-6958-4a29-a670-ed1015b26252",5.3928,59.9831,"Hordaland",2018,4,2,"Norway","221350","Jan C. Rivenæs","O","Grønehaugen","L"
2013152940,"7948250c-6958-4a29-a670-ed1015b26252",5.4119,59.7581,"Hordaland",2018,4,27,"Norway","223798","Arne Vatten","O","Sylvikehaugane, Digernes","L"
2013153344,"7948250c-6958-4a29-a670-ed1015b26252",5.4149,59.7579,"Hordaland",2018,4,28,"Norway","224322","Reidar Haugan","O","Sylvikehaugane","L"
2248479587,"7948250c-6958-4a29-a670-ed1015b26252",5.4087,59.7665,"Hordaland",2018,4,28,"Norway","225454","E. Timdal","O","hill E of Øvrabø","L"
2449421124,"7948250c-6958-4a29-a670-ed1015b26252",5.4153,59.7594,"Hordaland",2018,4,28,"Norway","226293","Jon T. Klepsland","O","Geitåsen N","L"
2268332707,"7948250c-6958-4a29-a670-ed1015b26252",5.4227,60.1445,"Hordaland",2018,5,10,"Norway","225655","K.M.F. Steinsvåg","O","Innerøya","L"
2462928004,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4003,59.9993,"Hordaland",2018,5,9,"Norway","18429/1","Håkon Holien","TRH","Bjørnavika S","L"
2467683625,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.44478,60.21298,"Hordaland",2018,5,10,"Norway","24123/1","Mika Bendiksby","TRH","Innerøya","L"
2467683953,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.3479,60.1787,"Hordaland",2018,5,12,"Norway","24124/1","Andreas Frisch","TRH","Svensvikmyrane","L"
1947382265,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.3268,59.6796,"Hordaland",2017,6,27,"Norway","18115/2","Geir Gaarder, Mathilde Lorentzen","TRH","Totsida nord","L"
1947382291,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.3325,59.6789,"Hordaland",2017,6,27,"Norway","18166/1","Geir Gaarder, Mathilde Lorentzen","TRH","Midgardsvika","L"
1837799293,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4428,59.7806,"Hordaland",2017,7,16,"Norway","37287/1","Andreas Frisch","TRH","Storavatnet øst","L"
1837799637,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4428,59.7806,"Hordaland",2017,7,16,"Norway","37305/1","Andreas Frisch","TRH","Storavatnet øst","L"
1837799781,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.7753,60.0334,"Hordaland",2017,7,20,"Norway","37253/1","Andreas Frisch","TRH","Futeneset, Håvikvatnet","L"
1563116885,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-1.963056,55.151389,"England",2016,1,1,"United Kingdom","E00817892","Coppins, Brian J.","E","Wallington Hall, West Wood","E"
1324743416,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.11258,61.48493,"Sogn og fjordane",2015,7,14,"Norway","99271","Gaarder, G.","BG","Svanøy, Strandsbøåsen vest","L"
1324743448,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.11835,61.48239,"Sogn og fjordane",2015,7,14,"Norway","99286","Gaarder, G.","BG","Svanøy, Strandsbøåsen vest","L"
1324743755,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.15353,60.50228,"Hordaland",2015,8,24,"Norway","99952","Flynn, K.M.","BG","Hanevik, Brenneset","L"
1324742352,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.35703,59.81941,"Hordaland",2014,5,30,"Norway","97039","Gaarder, G.","BG","Klenevågen sør","L"
1324742384,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.41493,59.7606,"Hordaland",2014,5,29,"Norway","97042","Gaarder, G., Jordal,J.B., Ihlen, P.G. & Blom, H.H.","BG","Geitåsen nord","L"
1324742385,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.44271,59.77744,"Hordaland",2014,5,27,"Norway","97072","Gaarder, G. & Jordal, J.B.","BG","Røyrtjønna nord","L"
1324742389,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.44237,59.77735,"Hordaland",2014,5,27,"Norway","97073","Gaarder, G. & Jordal, J.B.","BG","Røyrtjønna nord","L"
1324742397,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.4079,59.7614,"Hordaland",2014,5,27,"Norway","97098","Gaarder, G. & Jordal, J.B.","BG","Valvatnvågen","L"
1324742414,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.44359,59.78097,"Hordaland",2014,5,27,"Norway","97089","Gaarder, G. & Jordal, J.B.","BG","Storavatnet øst","L"
1324742472,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.41136,60.00921,"Hordaland",2014,5,24,"Norway","97254","Gaarder, G.","BG","Kjøkkelåsen sør","L"
1324742491,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.79103,60.04199,"Hordaland",2014,5,30,"Norway","97286","Gaarder, G.","BG","Hatledalsåsen midtre","L"
1324742506,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.77842,60.03314,"Hordaland",2014,5,31,"Norway","97289","Gaarder, G.","BG","Godkovane","L"
1324742548,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.66486,59.74481,"Hordaland",2014,6,12,"Norway","97342","Gaarder, G.","BG","Hatlanakken øst","L"
1324742564,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.78886,59.75895,"Hordaland",2014,6,10,"Norway","97340","Gaarder, G.","BG","Sjøangen","L"
1324320767,"7948250c-6958-4a29-a670-ed1015b26252",5.4006,59.9873,"Hordaland",2014,8,18,"Norway","200695","Jon T. Klepsland","O","Midtvatnet SV","L"
1324321237,"7948250c-6958-4a29-a670-ed1015b26252",5.21,59.703,"Hordaland",2014,8,12,"Norway","202860","Helge Fjeldstad","O","Gråkullfjellet, Bømlo kommune","L"
1324321273,"7948250c-6958-4a29-a670-ed1015b26252",5.2118,59.7054,"Hordaland",2014,8,11,"Norway","202964","H. Fjeldstad, G. Gaarder","O","Askedalen, Bømlo kommune","L"
1324742305,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.19304,59.66563,"Hordaland",2014,8,12,"Norway","96975","Gaarder, G.","BG","Fisketjørna sør","L"
1324742309,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.22403,59.68549,"Hordaland",2014,8,11,"Norway","96987","Gaarder, G.","BG","Askedalen sør","L"
2401281083,"b124e1e0-4755-430f-9eab-894f25a9b59c",5.400591,59.98735,"Hordaland",2014,8,18,"Norway","11900331","Jon Klepsland","nbf","Midtvatnet SV, Tysnes, Ho","so2-lichens"
