"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","locality","collectionCode","catalogNumber","recordedBy","institutionCode"
1143572716,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-2.220556,55.779167,"Scotland",2015,3,9,"United Kingdom","Allanton House parkland","E","E00745117","Coppins, Brian J.","E"
1262420265,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.097884,61.069395,"Sogn og Fjordane",2015,7,15,"Norway","Brossvika-Sygnefest","BioFokus","JK15-L509","Klepsland, Jon T.","BioFokus"
1262420275,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.116366,61.044849,"Sogn og Fjordane",2015,7,15,"Norway","Brossvikvatnet S","BioFokus","JK15-L516","Klepsland, Jon T.","BioFokus"
2013150838,"7948250c-6958-4a29-a670-ed1015b26252",5.0979,61.0694,"Sogn og Fjordane",2015,7,15,"Norway","Brossvika-Sygnefest","L","221783","Jon T. Klepsland","O"
2013150875,"7948250c-6958-4a29-a670-ed1015b26252",5.1164,61.0449,"Sogn og Fjordane",2015,7,15,"Norway","Brossvikvatnet S","L","221788","Jon T. Klepsland","O"
1324743477,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.3896,61.54539,"Sogn og fjordane",2015,9,30,"Norway","Osøyra: Søkja sør","L","99320","Gaarder, G.","BG"
1324742520,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.74241,60.17434,"Hordaland",2014,6,1,"Norway","Mjånes øst","L","97305","Gaarder, G.","BG"
1324742557,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.70438,59.73044,"Hordaland",2014,6,12,"Norway","Fjellbergsund","L","97341","Gaarder, G.","BG"
1324742312,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.12048,60.57126,"Hordaland",2014,8,14,"Norway","Kletten nord","L","96994","Gaarder, G.","BG"
1455758074,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.8941,58.4887,"Rogaland",2014,9,25,"Norway","Hellvik","L","17475/1","Harald Vik-Mo","TRH"
1046608158,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.932685,59.071544,"Rogaland",2014,10,7,"Norway","Ugelia Ø","BioFokus","L2728Høi","Høitomt, Torbjørn; Blindheim, Terje","BioFokus"
1229434128,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.933966,59.07108,"Rogaland",2014,10,7,"Norway","Ugelia Ø","BioFokus","400755","Høitomt, Torbjørn; Blindheim, Terje","BioFokus"
1229434205,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.933502,59.07061,"Rogaland",2014,10,7,"Norway","Ugelia Ø","BioFokus","400752","Høitomt, Torbjørn; Blindheim, Terje","BioFokus"
