"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince"
1944634571,"85739778-f762-11e1-a439-00145eb45e9a",26.0317,36.9133,2018,9,25,"Greece","198474","H. Sipman & Th. Raus","B","GREECE, Aegean Sea, Cyclades, Amorgos island, N-slope of Mt. Kroukelos, along donkey road from Langada to Stavros, just before Lithakies. Alt. 650 m.","Lichen Herbarium Berlin",NA
2365719666,"85739778-f762-11e1-a439-00145eb45e9a",26.0037,36.9066,2018,9,22,"Greece","201558","H. Sipman & Th. Raus","B","GREECE, Aegean Sea, Cyclades, Amorgos island, N-slope of Mt. Kroukelos, along donkey road from Langada to Stavros, near Langada. Alt. 243 m.","Lichen Herbarium Berlin",NA
1501743522,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.06,38.9,2016,3,31,"Spain","1891964","S. Fos MartÃ­n","BDBCV","Platja de Rabdells","BDBCV-General","Valencia"
1501472993,"95e635d4-f762-11e1-a439-00145eb45e9a",0.26,40.21,2014,4,7,"Spain","1608409","S. Fos MartÃ­n","BDBCV","Playa del Serradal","BDBCV-General","Castellon"
1501480222,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.7,39.11,2014,10,11,"Spain","1615724","M. A. CodoÃ±er Santamans | S. Fos MartÃ­n","BDBCV","Barranco del Barcal","BDBCV-General","Valencia"
1501542992,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.55,38.67,2014,11,5,"Spain","1678609","M. J. Sanchis Carles | S. Fos MartÃ­n","BDBCV","Barranc del Pantanet","BDBCV-General","Alicante"
1212157657,"85739778-f762-11e1-a439-00145eb45e9a",25.9733,38.2883,2013,9,15,"Greece","186707","H. Sipman & Th. Raus","B","GREECE, East Aegean islands, Chios: 1 km from Aghios Irini beach on road to Elata. Alt. ca. 50 m.","Lichen Herbarium Berlin",NA
1265801475,"6aeebd1a-c3ad-4bc5-bdfe-24de0e2e9052",1.735567,42.26169,2013,NA,NA,"Spain","BC-Lichenotheca-950539-2","P. Aymerich","BC","Saldes; Gisclareny, Bosc de Gresolet","BC-Lichenotheca","Barcelona"
1265801485,"6aeebd1a-c3ad-4bc5-bdfe-24de0e2e9052",1.735567,42.26169,2013,NA,NA,"Spain","BC-Lichenotheca-950541-3","P. Aymerich","BC","Saldes; Gisclareny, Bosc de Gresolet","BC-Lichenotheca","Barcelona"
1265801516,"6aeebd1a-c3ad-4bc5-bdfe-24de0e2e9052",1.735567,42.26169,2013,NA,NA,"Spain","BC-Lichenotheca-950542","P. Aymerich","BC","Saldes; Gisclareny, Bosc de Gresolet","BC-Lichenotheca","Barcelona"
1265801519,"6aeebd1a-c3ad-4bc5-bdfe-24de0e2e9052",1.735567,42.26169,2013,NA,NA,"Spain","BC-Lichenotheca-950538-3","P. Aymerich","BC","Saldes; Gisclareny, Bosc de Gresolet","BC-Lichenotheca","Barcelona"
1265801535,"6aeebd1a-c3ad-4bc5-bdfe-24de0e2e9052",1.735567,42.26169,2013,NA,NA,"Spain","BC-Lichenotheca-950537-2","P. Aymerich","BC","Saldes; Gisclareny, Bosc de Gresolet","BC-Lichenotheca","Barcelona"
1265801632,"6aeebd1a-c3ad-4bc5-bdfe-24de0e2e9052",1.735567,42.26169,2013,NA,NA,"Spain","BC-Lichenotheca-950543-2","P. Aymerich","BC","Saldes; Gisclareny, Bosc de Gresolet","BC-Lichenotheca","Barcelona"
1501419122,"95e635d4-f762-11e1-a439-00145eb45e9a",0.14,40.64,2012,5,30,"Spain","1552625","S. Fos MartÃ­n | V. Atienza Tamarit","BDBCV","Barranc de les Codines","BDBCV-General","Castellon"
