"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy"
2005116831,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.765,48.15445,2018,5,22,"Slovakia","54522-771","FR","Santovka, im Park","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
2235561914,"e553568e-2317-4592-8638-92e5ac93b40c",6.22361,48.71722,2018,8,28,"France","NCY021828","CJBN","Butte Sainte Geneviève","NCY","54 Meurthe-et-Moselle","Mahévas, Th."
2464716703,"f0ecd5eb-bc62-40fe-ab53-294cbb34a290",22.631231,48.196829,2018,9,20,"Ukraine","CWU 202959","CWU","near Berehove",NA,NA,"Alla Gromakova"
2365719697,"85739778-f762-11e1-a439-00145eb45e9a",5.1677,52.0858,2018,12,29,"Netherlands","201553","B","THE NETHERLANDS, Utrecht: Uithof university campus, Padua laan W of Transitorium III. Elev. c. 10 m.","Lichen Herbarium Berlin",NA,"H. Sipman & A. Aptroot"
2238516388,"84d26682-f762-11e1-a439-00145eb45e9a",12.092642,55.002481,2017,9,23,"Denmark","DMS-9219461",NA,"Petersgård",NA,NA,"Susanne Rabenborg"
1340042037,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.2073,55.56513,2016,10,9,"Sweden","1897548","LD","Torup","General",NA,"Arne Thell"
1324742829,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.72052,58.96711,2015,6,5,"Norway","98174","BG","Ledaal","L","Rogaland","Tønsberg, T. & Nygaard, E."
1324742888,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.72053,58.96702,2015,6,5,"Norway","98175","BG","Ledaal","L","Rogaland","Tønsberg, T. & Nygaard, E."
2013150706,"7948250c-6958-4a29-a670-ed1015b26252",5.6657,58.9435,2015,6,24,"Norway","221632","O","Madla","L","Rogaland","Jon T. Klepsland"
1676058035,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.63975,49.645333,2014,4,12,"Germany","217245","FR","Heppenheim, Darmstädterstraße, Untersuchungegebiet 1, Aufnahmebaum 2","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
1676058050,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.007806,49.671306,2014,4,27,"Germany","217280","FR","Michelstadt, Landrat-Neff-Straße, Untersuchungsgebiet 2, Aufnahmebaum 3","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
1676058048,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.695667,50.123083,2014,6,17,"Germany","217374","FR","Frankfurt am Main, Burgstraße, Untersuchungsgebiet 5, Aufnahmebaum 5","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
2319679840,"b124e1e0-4755-430f-9eab-894f25a9b59c",5.692633,58.954852,2014,12,7,"Norway","12377943","nbf","Rektor Oldens gate, Stavanger, Ro","so2-lichens","Rogaland","Endre Nygaard"
911997394,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.267867,50.141067,2013,3,27,"Germany","67633","FR","Wiesbaden-Naurod, Trockenborn.","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
1324319290,"7948250c-6958-4a29-a670-ed1015b26252",5.6206,58.9998,2013,7,25,"Norway","198285","O","Randaberg kirke","L","Rogaland","Jon T. Klepsland"
1324319327,"7948250c-6958-4a29-a670-ed1015b26252",5.728,58.8475,2013,7,26,"Norway","198305","O","Sandnes kirke","L","Rogaland","Jon T. Klepsland"
1324319341,"7948250c-6958-4a29-a670-ed1015b26252",5.75,58.8311,2013,7,26,"Norway","198299","O","Høyland kirke","L","Rogaland","Jon T. Klepsland"
1324319352,"7948250c-6958-4a29-a670-ed1015b26252",5.7292,58.8494,2013,7,26,"Norway","198301","O","Sandnes kirke","L","Rogaland","Jon T. Klepsland"
1324319354,"7948250c-6958-4a29-a670-ed1015b26252",5.7274,58.8482,2013,7,26,"Norway","198303","O","Sandnes kirke","L","Rogaland","Jon T. Klepsland"
1501450850,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.8,39.89,2013,7,25,"Spain","1585497","BDBCV","Sierra de El Toro","BDBCV-General","Castellon","S. Fos MartÃ­n"
1212167187,"85739778-f762-11e1-a439-00145eb45e9a",26.0375,38.4247,2013,9,19,"Greece","186900","B","GREECE, East Aegean islands, Chios: ca. 4 km N of Anavatos along gravel road to the north. Alt. 700 m.","Lichen Herbarium Berlin",NA,"H. Sipman & Th. Raus"
1212167218,"85739778-f762-11e1-a439-00145eb45e9a",26.005,38.4817,2013,9,29,"Greece","187381","B","GREECE, East Aegean islands, Chios: E of Diefcha, gravel road to Mt. Plakes. Alt. 700 m.","Lichen Herbarium Berlin",NA,"H. Sipman & Th. Raus"
1501403760,"95e635d4-f762-11e1-a439-00145eb45e9a",0.13,40.65,2012,5,30,"Spain","1534928","BDBCV","Barranco de la Obaga","BDBCV-General","Castellon","S. Fos MartÃ­n | V. Atienza Tamarit"
1501420807,"95e635d4-f762-11e1-a439-00145eb45e9a",0.14,40.64,2012,5,30,"Spain","1554533","BDBCV","Barranc de les Codines","BDBCV-General","Castellon","S. Fos MartÃ­n | V. Atienza Tamarit"
1265801864,"6aeebd1a-c3ad-4bc5-bdfe-24de0e2e9052",2.284529,42.146141,2012,8,22,"Spain","BC-Lichenotheca-950737","BC","Ripoll; Ripoll, El Barretó","BC-Lichenotheca","Girona","E. Llop"
1502331977,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.93,39.88,2011,4,27,"Spain","1331539","BDBCV","Javalambre","BDBCV-General","Valencia","V. Atienza Tamarit | C. J. Mansanet Salvador"
1054069970,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.751309,58.830618,2011,7,24,"Norway","255088","BioFokus","Høyland kirke","BioFokus","Rogaland","Klepsland, Jon T."
2425459286,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.46,42.05,2011,9,21,"Spain","20007","BCN","Cabrera","Lich","Girona","Esteve Llop"
2425460677,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.45,42.23,2011,9,6,"Spain","19957","BCN","L'Espunya","Lich","Girona","Esteve Llop"
1212166985,"85739778-f762-11e1-a439-00145eb45e9a",23.3717,37.6017,2011,10,1,"Greece","177395","B","GREECE, Peloponnese, nom. Attiki: Methana peninsula. Path between volcanoes N of Panagitsa. Alt. 640 m.","Lichen Herbarium Berlin",NA,"H. Sipman & Th. Raus"
1676057923,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.209444,52.458333,2011,12,30,"Germany","66963","FR","Calenberger Lössbörde, die Rehburger Berge, KD 'Klosterfundamente' nördl. von Rehbug","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
2270732864,"98bceab6-3c3e-4163-945d-6ca10576ebf1",28.070833,38.336944,2010,3,18,"Turkey","585840","ASU","Bozdaglari, Bozdag Koyu, between Salihli and Odemis.",NA,"Izmir","Volker John"
911997389,"828a3d8c-f762-11e1-a439-00145eb45e9a",28.070833,38.33695,2010,3,18,"Turkey","36941","FR","Prov. &#304;zmir (35), Bozda&#287;lar&#305;, Bozda&#287; Köyü, between Salihli and Ödemi&#351;.","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
911997405,"828a3d8c-f762-11e1-a439-00145eb45e9a",28.070833,38.33695,2010,3,18,"Turkey","36940","FR","Prov. &#304;zmir (35), Bozda&#287;lar&#305;, Bozda&#287; Köyü, between Salihli and Ödemi&#351;.","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
1270708615,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.768617,53.15805,2010,4,9,"Germany","41724","FR","Ortslage Flecken Zechlin","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
1212165189,"85739778-f762-11e1-a439-00145eb45e9a",24.6767,40.7117,2010,5,26,"Greece","122544","B","GREECE, nom. Kavala: Thasos island, along road from Maries to Dio Kefales, sideroad from Ipsario road. Alt. 800 m.","Lichen Herbarium Berlin",NA,"H. Sipman & T. Raus"
1212165350,"85739778-f762-11e1-a439-00145eb45e9a",24.6467,40.6783,2010,5,24,"Greece","122353","B","GREECE, nom. Kavala: Thasos island, Pinus forest 1 km NW of Kastro, along road to Limenaria. Alt. 570 m.","Lichen Herbarium Berlin",NA,"H. Sipman & T. Raus"
1212167071,"85739778-f762-11e1-a439-00145eb45e9a",24.685,40.73,2010,5,26,"Greece","185829","B","GREECE, nom. Kavala: Thasos island, along road from Maries to Dio Kefales, sideroad from Ipsario road. Alt. 900 m.","Lichen Herbarium Berlin",NA,"H. Sipman & T. Raus"
