"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode"
2449421036,"7948250c-6958-4a29-a670-ed1015b26252",5.1014,61.0689,"Sogn og Fjordane",2018,5,15,"Norway","226367","Jon T. Klepsland","O","Brossvika-Sygnefest","L"
1837799620,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.6651,59.1008,"Rogaland",2017,7,13,"Norway","37247/1","Andreas Frisch","TRH","Helleland","L"
1668754173,"61a9ca38-b62f-11e2-afcb-00145eb45e9a",8.2,48.6,NA,2016,9,3,"Germany","KR-M-0052056 / 627659 / 143054",NA,"SMNK","NSG 'Wilder See - Hornisgrinde', der Seekopf, NO-exponierte Karwand, Seeufernähe; BWS","SMNKfungicoll"
2013151102,"7948250c-6958-4a29-a670-ed1015b26252",5.9706,60.1449,"Hordaland",2015,9,10,"Norway","222101","Jon T. Klepsland","O","Øyarhamnsvatnet S","L"
1668754182,"61a9ca38-b62f-11e2-afcb-00145eb45e9a",8.2,48.6,NA,2014,10,9,"Germany","KR-M-0051807 / 580671 / 100520",NA,"SMNK","NSG ""Wilder See - Hornisgrinde"", Hinterer Pfälzer, NO-Hang, ca. 500 m O des Sees; BWS","SMNKfungicoll"
1676059761,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.141717,47.636317,NA,2014,11,15,"Germany","264157",NA,"FR","Regierungsbezirk Oberbayern, Landkreis Garmisch-Partenkirchen, Gemeinde Schwaigen, Murnauer Moos, Bärenfilz (Probenfläche 891)","Herbarium Senckenbergianum (FR) - Fungi"
1143573305,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",5.401111,59.9875,"Hordaland",2013,6,12,"Norway","E00745127","Yahr, Rebecca","E","Tysnes: Midt-Vatnet, south.","E"
1305186136,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-4.151667,57.7675,"Scotland",2013,11,14,"United Kingdom","E00786320","Coppins, Brian J.","E","Tain, Morangie Forest, Scotsburn Wood","E"
1253324935,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-5.406389,58.014167,"Scotland",2012,8,30,"United Kingdom","E00755931","Coppins, Brian J.","E","Summer Isles, Tannera Mòr, Cnoc Glas","E"
1054069152,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.354786,60.364358,"Hordaland",2011,9,1,"Norway","JK11-L494","Klepsland, Jon T.","BioFokus","Samlen V","BioFokus"
919261670,"7948250c-6958-4a29-a670-ed1015b26252",6.3547,60.3643,"Hordaland",2011,9,1,"Norway","177112","Jon T. Klepsland","O","Samlen V","L"
1324739605,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.27113,59.78788,"Hordaland",2010,5,21,"Norway","90048","Tønsberg, T.","BG","ESE of Ekornsætre, NE of Østre Bjørkåsvatnet","L"
1324739339,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.93543,60.16627,"Hordaland",2010,9,1,"Norway","89585","Tønsberg, T.","BG","E of Mundheim, Neshalvøya, just NW of lakelet Nesvatnet","L"
788646617,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.04547,56.71995,NA,2008,5,17,"Sweden","1409344","Örjan Fritz","LD","No locality information available","General"
20033393,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.40483,59.32887,"Rogaland",2004,9,3,"Norway","79719","Tønsberg, T.","BG","NE of farm Dale, along brook from lakelet Nøkksvatn","L"
1057346380,"7e380070-f762-11e1-a439-00145eb45e9a",-4.2026,56.4907,"Scotland",2004,10,13,"United Kingdom","BM000763475","Collaboration; R.S. Larsen & Scott LaGreca","NHMUK",NA,"BOT"
328125634,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.686,43.028,"O",2003,3,19,"Spain","22723-1","S. Pérez-Ortega","VAL","Cangas del Narcea. Árbol muerto de gran tamaño en robledal esciófilo, al borde del arroyo Teixerúo. Monte Muniellos","VAL_Lich"
328125644,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.686,43.028,"O",2003,3,19,"Spain","22787-1","S. Pérez-Ortega","VAL","Cangas del Narcea. Árbol muerto cercano al arroyo de Teixerúo. Monte Muniellos","VAL_Lich"
328125712,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.686,43.028,"O",2003,3,19,"Spain","23417-1","S. Pérez-Ortega","VAL","Cangas del Narcea. Árbol muerto cercano al arroyo de Teixerúo. Monte Muniellos","VAL_Lich"
20033363,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.19116,59.06649,"Rogaland",2003,8,30,"Norway","79198","Johnsen, J.I.","BG","sørvestsiden av Furenesvatnet","L"
20033253,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.64046,60.26633,"Hordaland",2002,3,28,"Norway","76802","Lindblom, L. & Blom, H.H.","BG","Bogøy","L"
20033156,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",4.73749,60.76228,"Hordaland",2002,9,17,"Norway","74110","Tønsberg, T.","BG","E of the road from Fedje to Stormark, SE of hill Fedjebjørnen","L"
20032669,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.6639,60.74091,"Hordaland",2000,5,29,"Norway","60025","Kåll, Sara","BG","NE of Romarheim, Høydalen NE, at the Lindås/Modalen municipality border","L"
20032659,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.66207,60.74086,"Hordaland",2000,6,3,"Norway","60014","Tønsberg, T. & Kåll, S.","BG","NE of Romarheim, Høydalen NE, just W of the Lindås/Modalen municipality border","L"
20032660,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.66188,60.74266,"Hordaland",2000,6,3,"Norway","60015","Tønsberg, T.","BG","NE of Romarheim, Tverrdalen W, just E of the Lindås/Modalen municipality border","L"
20032661,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.73935,60.77512,"Hordaland",2000,6,3,"Norway","60016","Tønsberg, T. & Kåll, S.","BG","5.5 km (direct) SW of Mo, NE of Mt. Flotaneset, uphill from road","L"
20032662,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.27674,59.52303,"Rogaland",2000,6,26,"Norway","60017","Tønsberg, T.","BG","between Saudafjorden and Hylsfjorden, along the road N of farm Tangen","L"
20032663,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.27674,59.52303,"Rogaland",2000,6,26,"Norway","60018","Tønsberg, T.","BG","between Saudafjorden and Hylsfjorden, along the road N of farm Tangen","L"
20032664,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.28182,59.52583,"Rogaland",2000,6,26,"Norway","60019","Tønsberg, T.","BG","between Saudafjorden and Hylsfjorden, along the road between Hjelmeland and Tangen","L"
20032665,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.28182,59.52583,"Rogaland",2000,6,26,"Norway","60020","Tønsberg, T.","BG","between Saudafjorden and Hylsfjorden, along the road between Hjelmeland and Tangen","L"
20032668,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.27674,59.52303,"Rogaland",2000,6,26,"Norway","60024","Tønsberg, T.","BG","between Saudafjorden and Hylsfjorden, along the road N of farm Tangen","L"
1676058161,"828a3d8c-f762-11e1-a439-00145eb45e9a",5.664667,60.740833,NA,2000,7,5,"Norway","259305",NA,"FR","Modalen","Herbarium Senckenbergianum (FR) - Fungi"
20032666,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.28678,59.64004,"Rogaland",2000,7,25,"Norway","60022","Tønsberg, T.","BG","N of the road from Saudasjøen to Svandalen, E of hill 254","L"
20032667,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.1811,59.48237,"Rogaland",2000,7,28,"Norway","60023","Tønsberg, T.","BG","W of Ropeid, just NE of Iglatjørna","L"
1212166962,"85739778-f762-11e1-a439-00145eb45e9a",14.4333,47.8333,NA,1999,8,3,"Austria","138376","R. Türk","B","AUSTRIA, Oberösterreich (=Upper Austria), Kalkalpen National Park, Reichraminger Hintergebirge, 5.8 km SSW of Reichraming, Zöbelboden. Alt. 890 m.","Lichen Herbarium Berlin"
