"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince"
2238551253,"84d26682-f762-11e1-a439-00145eb45e9a",11.553539,55.429403,2017,3,18,"Denmark","Sorø Akademi","DMS-9320476","Ulrik Søchting",NA,NA,NA
1836424580,"85739778-f762-11e1-a439-00145eb45e9a",5.3167,52.155,2016,12,27,"Netherlands","THE NETHERLANDS, Utrecht: Soest, nature reserve Korte Duinen, western sanddune field. Alt. 10 m.","195613","H. Sipman & A. Aptroot","B","Lichen Herbarium Berlin",NA
1676058084,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.561017,50.064633,2015,2,12,"Germany","Frankfurt, Unterwald","221447",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1676058093,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.599167,50.08135,2015,2,13,"Germany","Frankfurt, Unterwald","221456",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1676059339,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.386617,48.94875,2015,3,23,"Germany","Nationalpark Bayerischer Wald, ca. 4 km NE von Spiegelau und 5 km E von Althütte, Forstabteilung Feistenhäng, Transekt 1 N der Forststraße, 40 m S Aufnahmefläche 12, Baum-Nr. 88-06","262856",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1676059379,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.386383,48.948667,2015,3,24,"Germany","Nationalpark Bayerischer Wald, ca. 4 km NE von Spiegelau und 5 km E von Althütte, Forstabteilung Feistenhäng, Transekt 1 N der Forststraße, in Aufnahmefläche 28, Baum-Nr. 99-03","263010",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1676059405,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.3857,48.948417,2015,3,24,"Germany","Nationalpark Bayerischer Wald, ca. 4 km NE von Spiegelau und 5 km E von Althütte, Forstabteilung Feistenhäng, Transekt 1 N der Forststraße, in Aufnahmefläche 13, Baum-Nr. 88-15","262966",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1676059470,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.38585,48.949867,2015,3,23,"Germany","Nationalpark Bayerischer Wald, ca. 4 km NE von Spiegelau und 5 km E von Althütte, Forstabteilung Feistenhäng, Transekt 1 N der Forststraße, 30 m N von Aufnahmefläche 2, Baum-Nr. 03-17","263333",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1270708722,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.28095,50.919417,2015,10,13,"Germany","Lorenzsteine","42835",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1061244003,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.288617,50.929167,2014,10,29,"Germany","unter dem Arnstein","38417",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1676059679,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.141717,47.636317,2014,11,15,"Germany","Regierungsbezirk Oberbayern, Landkreis Garmisch-Partenkirchen, Gemeinde Schwaigen, Murnauer Moos, Bärenfilz (Probenfläche 891)","264146",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1676059753,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.957633,47.668233,2014,11,15,"Germany","Regierungsbezirk Oberbayern, Landkreis Weilheim-Schongau, Gemeinde Wildsteig, Wildmoos bei Peustelsau (Probenfläche 896)","264241",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1676059788,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.51365,48.8853,2014,11,17,"Germany","Regierungsbezirk Niederbayern, Nationalpark Bayerischer Wald, ca. 1 km SE Weidhütte (Probenfläche 898)","264282",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1676059806,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.349667,48.92945,2014,11,19,"Germany","Regierungsbezirk Niederbayern, Nationalpark Bayerischer Wald, ca. 1,6 km NW Spiegelau, nahe Rastplatz Lotzerbach, W Schwarzachstraße (Probenfläche 906)","264463",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1212167008,"85739778-f762-11e1-a439-00145eb45e9a",13.375,53.3217,2011,11,9,"Germany","DEUTSCHLAND, Mecklenburg-Vorpommern: NSG Heilige Hallen, 3,5 km W Feldberg, S of road to Lychen. Alt. ca. 140 m.","178238","H. Sipman & D. Heinrich","B","Lichen Herbarium Berlin",NA
1324739669,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.7045,59.09734,2010,5,19,"Norway","S side of Vikefjell","90136","Johnsen, J.I.","BG","L","Rogaland"
1324740946,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.26896,58.36643,2010,9,28,"Norway","NØ av Rekeland","94369","Johnsen, J.I.","BG","L","Rogaland"
1833730319,"828a3d8c-f762-11e1-a439-00145eb45e9a",17.984717,54.825,2010,10,17,"Poland","Wybrzeze Slowinskie, Bialogora nature reserve, NE part of the forest section no. 20","264845",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1212163584,"85739778-f762-11e1-a439-00145eb45e9a",13.8,53.0333,2007,3,24,"Germany","GERMANY, Brandenburg: Landkr. Uckermark. NSG Poratzer Moränenlandschaft. 2 km SE of Poratz. Alt. 80 m.","99021","H. Sipman, A. Aptroot & D. Heinrich","B","Lichen Herbarium Berlin",NA
1212163274,"85739778-f762-11e1-a439-00145eb45e9a",-3.6667,48.3333,2006,7,27,"France","FRANCE, Bretagne, Finistère: E of Huelgoat, Locmaria-Berrien, Forêt de Bodvarec. Elev. c. 125 m.","108917","A. Aptroot","B","Lichen Herbarium Berlin",NA
2028368539,"ee4d0706-38af-4bc4-8539-e17c0ca8512e",5.283333,52.066667,2005,11,5,"Netherlands","Zeist, Heidestein","336612","Lutzoni, François; Aptroot, André","DUKE",NA,"Utrecht"
911997685,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.262367,51.084717,2004,3,8,"Poland","Laubaner Hohwald (Lubanski Wielki Las), an der Lehmchaussee","15681",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
2464446967,"8f7e3c45-4d76-4982-9478-651439e0cd4b",19.58639,51.84444,2004,7,14,"Poland","Wzniesienia Lodzkie: Wzniesienia Lodzkie Landscape Park, 'Struga Dobieszkowska' nature reserve","TU79342","Pawel Czarnota","TU(M)",NA,NA
1212161755,"85739778-f762-11e1-a439-00145eb45e9a",14,53,2002,2,10,"Germany","DEUTSCHLAND, Brandenburg, Kr. Beeskow: Bugk, ca. 8 km S of Storkow. E-shore of lake E of the village. Alt. ca. 50 m.","61130","H. Sipman & P. van den Boom","B","Lichen Herbarium Berlin",NA
1056225976,"7e380070-f762-11e1-a439-00145eb45e9a",-2.335713,50.803791,2001,7,8,"United Kingdom",NA,"BM000763585","P W. James","NHMUK","BOT","England"
