"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince"
2365719760,"85739778-f762-11e1-a439-00145eb45e9a",13.88,53.1367,2019,4,29,"Germany","201925","H. Sipman & D. Heinrich","B","GERMANY, Brandenburg: Uckermark, NSG Fauler Ort, 1 km N of Pfingstberg. Alt. 60 m.","Lichen Herbarium Berlin",NA
2365719761,"85739778-f762-11e1-a439-00145eb45e9a",13.88,53.1367,2019,4,29,"Germany","201927","H. Sipman & D. Heinrich","B","GERMANY, Brandenburg: Uckermark, NSG Fauler Ort, 1 km N of Pfingstberg. Alt. 60 m.","Lichen Herbarium Berlin",NA
1947382531,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.213,59.7148,2018,4,30,"Norway","18161/1","Geir Gaarder","TRH","Våge vest","L","Hordaland"
2013152853,"7948250c-6958-4a29-a670-ed1015b26252",5.4137,59.7585,2018,4,23,"Norway","223787","Geir Gaarder","O","Geitåsen/Midthaugen","L","Hordaland"
1946699454,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.94945,48.21,2018,5,22,"Slovakia","54394-771",NA,"FR","bei Hontianske Tesáre, Schlucht ""Tesárska roklina""","Herbarium Senckenbergianum (FR) - Fungi",NA
1947382634,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4116,60.1425,2018,5,10,"Norway","18002/1","Geir Gaarder","TRH","Halhjem, Innerøya","L","Hordaland"
1949714922,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.82805,48.633333,2018,5,26,"Slovakia","54651-771",NA,"FR","Schlucht von Zádiel","Herbarium Senckenbergianum (FR) - Fungi",NA
2248479679,"7948250c-6958-4a29-a670-ed1015b26252",5.4198,59.7523,2018,5,7,"Norway","225499","E. Timdal","O","Geitåsen","L","Hordaland"
2265683634,"7948250c-6958-4a29-a670-ed1015b26252",5.6637,60.3026,2018,5,8,"Norway","230236","Björn Nordén, John Bjarne Jordal","O","Fusa: Holmefjord","L","Hordaland"
1990272421,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.898484,60.154819,2018,6,5,"Norway","595910","Gaarder, Geir; Lorentzen, Mathilde","MFU","Furhovda 10","MFU","Hordaland"
1851035976,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.538333,53.6975,2017,11,4,"Germany","50607-771",NA,"FR","Karstorf","Herbarium Senckenbergianum (FR) - Fungi",NA
1440673677,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.03472,60.117004,2016,6,9,"Norway","JK16-344","Klepsland, Jon T.","BioFokus","Djupevika (Varaldsøy)","BioFokus","Hordaland"
1455757878,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.7413,60.1162,2016,6,13,"Norway","17236/1","Ulrike Hanssen","TRH","Skåråsen sørvest","L","Hordaland"
2013147648,"7948250c-6958-4a29-a670-ed1015b26252",6.0347,60.117,2016,6,9,"Norway","206757","Jon T. Klepsland","O","Djupevika (Varaldsøy)","L","Hordaland"
1676061221,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.94225,47.957867,2016,8,16,"France","49085-771",NA,"FR","am Vorderblockloch bei Wildenstein","Herbarium Senckenbergianum (FR) - Fungi",NA
1836425465,"85739778-f762-11e1-a439-00145eb45e9a",14.2067,53.005,2016,10,13,"Germany","195519","H. Sipman & D. Heinrich","B","DEUTSCHLAND, Brandenburg, Landkreis Uckermark: Nationalpark Unteres Odertal. Forest SW of Criewen, Densenberge. Alt. ca. 20 m.","Lichen Herbarium Berlin",NA
1324743468,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.87902,59.5007,2015,9,26,"Norway","99303","Gaarder, G.","BG","vest for Vikedal, Solberg nord","L","Rogaland"
2013151155,"7948250c-6958-4a29-a670-ed1015b26252",5.9662,60.1455,2015,9,10,"Norway","222104","Jon T. Klepsland","O","Øyarhamnsvatnet SV","L","Hordaland"
1209696351,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.158,62.9213,2014,3,2,"Norway","15372/1","Geir Gaarder, John Bjarne Jordal","TRH","Raudtuva øst","L","Møre og Romsdal"
1209696353,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.1588,62.9225,2014,3,2,"Norway","15371/1","Geir Gaarder, John Bjarne Jordal","TRH","Raudtuva øst","L","Møre og Romsdal"
1209696354,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",8.0786,63.1519,2014,3,9,"Norway","15370/1","Geir Gaarder","TRH","Tustna, Austmarka","L","Møre og Romsdal"
1233564707,"828a3d8c-f762-11e1-a439-00145eb45e9a",16.11455,51.020867,2014,6,15,"Poland","41043",NA,"FR","bei Moisdorf, im ""Grund""","Herbarium Senckenbergianum (FR) - Fungi",NA
1324320055,"7948250c-6958-4a29-a670-ed1015b26252",6.5265,62.4769,2014,6,15,"Norway","199612","John Bjarne Jordal, Perry G. Larsen","O","Sandvika","L","Møre og Romsdal"
1324742538,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.15236,60.29304,2014,6,2,"Norway","97311","Gaarder, G., Høitomt, T. & Brynjulvsrud, J.G.","BG","Tørvikbygd, Lyselva","L","Hordaland"
