"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince"
2464522041,"8f7e3c45-4d76-4982-9478-651439e0cd4b",5.277946,44.771236,2018,3,20,"France","surroundings of Sainte-Croix village","TU56873.f","Jaan Liira","TU(M)",NA,NA
2303272844,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.12255,47.943633,2018,7,20,"Ukraine","Talhang über dem Bache Kuzij","54725-771",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1945780424,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.828133,53.469367,2018,8,9,"Germany","Hamburg-Fischbek: Scharlbarg","54733-771",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1638419050,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.22944,45.33139,2016,4,6,"Croatia","Primorsko-Goranska. Učka. Passstraße zwischen Poklon und Veprinac. Panjak fireroad, E von Ravne staje","000330016","Mayrhofer,Helmut, Prettner,Matthias & Grozić,Dino","GZU","Herbarium GZU",NA
1657195746,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,2016,4,5,"Croatia","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","000330172","Mayrhofer,Helmut & Prettner,Matthias","GZU","Herbarium GZU",NA
1657195155,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.20667,45.30667,2015,4,25,"Croatia","Istrien. Učka. Poklon, Passstraße über die Učka, Parkplatz des Restaurants Dopolavoro; Alleebäume entlang der Passstraße","000324357","Mayrhofer,Helmut, Seifter,Katharina & Župan,Dijana","GZU","Herbarium GZU",NA
1676071747,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.503076,40.184479,2015,5,31,"Italy","Prov. Oligastra, Il Supramonte, Genna Sìlana north of Urzulei, track down into the Gola di Gorroppu, lower part","221738",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1324324151,"7948250c-6958-4a29-a670-ed1015b26252",2.1663,42.3917,2015,7,16,"Spain","Núria Valley, hillside E of Pic de l'Àliga","200985","E. Timdal","O","L",NA
1676070306,"828a3d8c-f762-11e1-a439-00145eb45e9a",0.091167,42.746783,2013,6,27,"France","Tal von H&#275;as, oberhalb vom Cafe Le Refuge","43062",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
1676072020,"828a3d8c-f762-11e1-a439-00145eb45e9a",-0.021967,42.738,2013,6,28,"France","über Gavarnie","43147",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA
