"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy"
1676071954,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.483086,41.052824,2015,5,26,"Italy","262103","FR","Prov. Olbia-Tempio, La Gallura, San Pantaleo southeast of Arzachena, Loc. Paluneddu, Via Antona Arigheddu","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
1676071957,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.485699,41.053504,2015,6,5,"Italy","262121","FR","Prov. Olbia-Tempio, La Gallura, San Pantaleo southeast of Arzachena, Loc. Paluneddu, Via Paluneddu 1-3","Herbarium Senckenbergianum (FR) - Fungi",NA,NA
1563116411,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-3.3275,51.128333,2015,9,4,"United Kingdom","E00816055","E","Monksilver, All Saints' churchyard","E","England","Coppins, Brian J."
1423605149,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-4.828889,54.0525,2014,7,6,"United Kingdom","E00817016","E","Calf of Man, lighthouse area","E","Isle of Man","Coppins, Brian J."
31313360,"835f8992-f762-11e1-a439-00145eb45e9a",-9.15,37.950001,2004,2,18,"Portugal","10276-1","MAF","Santo Antào do Tojal","MAF-Lich","E","C. García"
31313361,"835f8992-f762-11e1-a439-00145eb45e9a",-9.15,37.950001,2004,2,18,"Portugal","10277-1","MAF","Santo Antào do Tojal","MAF-Lich","E","C. García"
31313363,"835f8992-f762-11e1-a439-00145eb45e9a",-9.15,37.950001,2004,2,18,"Portugal","10278-1","MAF","Santo Antào do Tojal","MAF-Lich","E","C. García"
31313365,"835f8992-f762-11e1-a439-00145eb45e9a",-9.15,37.950001,2004,2,18,"Portugal","10279-1","MAF","Santo Antào do Tojal","MAF-Lich","E","C. García"
31313391,"835f8992-f762-11e1-a439-00145eb45e9a",-9.15,37.950001,2004,2,18,"Portugal","10292-1","MAF","Santo Antào do Tojal","MAF-Lich","E","C. García"
1826811049,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.7,41.69,1984,2,17,"Spain","10259","BCN","Sot de l'Aram","Lich","Barcelona","Antonio Gómez-Bolea"
1826811061,"7f2889e6-f762-11e1-a439-00145eb45e9a",3.18,42.23,1984,2,25,"Spain","10304","BCN","Roses","Lich","Girona","Antonio Gómez-Bolea"
1826811099,"7f2889e6-f762-11e1-a439-00145eb45e9a",3.18,42.23,1984,2,25,"Spain","10344","BCN","Roses","Lich","Girona","Antonio Gómez-Bolea"
1826811116,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.7,41.69,1984,2,17,"Spain","10271","BCN","Sot de l'Aram","Lich","Barcelona","Antonio Gómez-Bolea"
1826811377,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.94,41.78,1984,6,23,"Spain","10564","BCN","Cala Bona","Lich","Girona","Antonio Gómez-Bolea & Montserrat Boqueras"
1826811426,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.46,41.78,1984,6,23,"Spain","10603","BCN","Km 6, carretera La Costa","Lich","Barcelona","Antonio Gómez-Bolea & Montserrat Boqueras"
1826811472,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.46,41.78,1984,6,23,"Spain","10707","BCN","Km 4, carretera La Costa a Mosqueroles","Lich","Barcelona","Antonio Gómez-Bolea & Montserrat Boqueras"
1826812238,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.94,41.78,1984,6,23,"Spain","11597","BCN","Torrent d'Aiguafina","Lich","Girona","Montserrat Boqueras & Antonio Gómez-Bolea"
