"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode"
2013152897,"7948250c-6958-4a29-a670-ed1015b26252",5.4161,59.757,"Hordaland",2018,4,27,"Norway","223804","Arne Vatten","O","Digernes","L"
2467683963,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.46,59.9926,"Hordaland",2018,5,9,"Norway","28759/1","Andreas Frisch","TRH","Beltestad, Hovdanes","L"
2467684222,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4612,59.9923,"Hordaland",2018,5,9,"Norway","28758/1","Andreas Frisch","TRH","Beltestad, Hovdanes","L"
1944634823,"85739778-f762-11e1-a439-00145eb45e9a",24.636,38.8053,NA,2018,10,7,"Greece","198899","H. Sipman & Th. Raus","B","GREECE, Aegean Sea, Sporades, Skyros Island, SE part, valley W of Mt. Dafni. Alt. 420 m.","Lichen Herbarium Berlin"
1837799797,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",6.0931,59.0759,"Rogaland",2017,7,17,"Norway","37189/1","Andreas Frisch","TRH","Tysdalsvatnet: Strandabrynane aust","L"
1837799831,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",6.0931,59.0759,"Rogaland",2017,7,17,"Norway","37188/1","Andreas Frisch","TRH","Tysdalsvatnet: Strandabrynane aust","L"
2238499749,"84d26682-f762-11e1-a439-00145eb45e9a",10.460371,57.369901,NA,2017,8,3,"Denmark","DMS-9201502","Susanne Rabenborg",NA,"Understed",NA
2238537985,"84d26682-f762-11e1-a439-00145eb45e9a",10.242743,57.30687,NA,2016,1,28,"Denmark","DMS-9242121","Susanne Rabenborg",NA,"Nymølle Bæk",NA
2238541973,"84d26682-f762-11e1-a439-00145eb45e9a",8.572254,57.01801,NA,2016,5,25,"Denmark","DMS-9247848","Ulrik Søchting",NA,"Bleghule",NA
2238539701,"84d26682-f762-11e1-a439-00145eb45e9a",8.476271,56.971002,NA,2016,6,11,"Denmark","DMS-9245354","Ulrik Søchting",NA,"Bertelsrimme",NA
1676073347,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.94225,47.957867,NA,2016,8,16,"France","49084-771",NA,"FR","am Vorderblockloch bei Wildenstein","Herbarium Senckenbergianum (FR) - Fungi"
1041932517,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",10.7837,63.3712,"Sør-Trøndelag",2014,2,13,"Norway","652229/1","Harald Vik-Mo","TRH","Krokotbekken-Nyhus.","L"
1324743573,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.04316,59.35994,"Rogaland",2014,6,26,"Norway","99445","Johnsen, J.I.","BG","Jelsa, Dommersnes, Meland","L"
1229461526,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.064636,59.174812,"Rogaland",2014,10,8,"Norway","THH14347","Hofton, Tom H.","BioFokus","Husåsen ved Fister kirke","BioFokus"
