"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince"
2365719789,"85739778-f762-11e1-a439-00145eb45e9a",5.1677,52.0858,2018,12,29,"Netherlands","201550","H. Sipman & A. Aptroot","B","THE NETHERLANDS, Utrecht: Uithof university campus, Padua laan W of Transitorium III. Elev. c. 10 m.","Lichen Herbarium Berlin",NA
1901092843,"a48c2e76-4984-4540-9bf6-f4d579ed7d99",-1.976429,43.265886,2016,3,19,"Spain","3543","Olariaga I.","ARAN","Hernani, Hernani-Txantxilla","Fungi","Gipuzkoa"
1563117271,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-1.435,51.045,2015,8,26,"United Kingdom","E00817999","Coppins, Brian J.","E","Farley Chambelayne, St. John churchyard","E","England"
1676072094,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.40675,43.334283,2013,6,26,"France","42713",NA,"FR","Itxassou, vor der Bürgermeisterei","Herbarium Senckenbergianum (FR) - Fungi",NA
1676072123,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.401383,43.313333,2013,6,24,"France","42499",NA,"FR","Laxiatal bei Itxassou, kurz vor der Mündung in die Nive am Gasthaus","Herbarium Senckenbergianum (FR) - Fungi",NA
991959227,"828a3d8c-f762-11e1-a439-00145eb45e9a",-6.0694,35.104,2007,10,24,"Morocco","24954",NA,"FR","Atlantikküste, Larache, Marabut (Friedhof) ""Sidi Oued Dar""","Herbarium Senckenbergianum (FR) - Fungi",NA
991959231,"828a3d8c-f762-11e1-a439-00145eb45e9a",-5.3048,35.241,2007,11,9,"Morocco","24947",NA,"FR","zentr.-westl. Rif, Bni Ider, Marabut (Friedhof)","Herbarium Senckenbergianum (FR) - Fungi",NA
1056630263,"7e380070-f762-11e1-a439-00145eb45e9a",-4.888275,51.853226,2003,8,25,"United Kingdom","BM000763126","P W. James","NHMUK",NA,"BOT","Wales"
328127410,"890afcd2-f762-11e1-a439-00145eb45e9a",-0.258,39.883999,1993,6,25,"Spain","8279-1","S. Fos & P. Pérez-Rovira","VAL","Artana. Sierra de Espadán. El Hondo","VAL_Lich","Cs"
178330355,"890afcd2-f762-11e1-a439-00145eb45e9a",-5.538,36.077,1992,10,18,"Spain","3739-1","S. Fos","VAL","Tarifa. Sierra del Cabrito. Puerto del Bujeo","VAL_Lich","Ca"
178330358,"890afcd2-f762-11e1-a439-00145eb45e9a",-5.587,36.238998,1992,10,18,"Spain","3753-1","S. Fos","VAL","Los Barrios.  El Mojón","VAL_Lich","Ca"
178330369,"890afcd2-f762-11e1-a439-00145eb45e9a",-5.639,36.129002,1992,10,18,"Spain","3802-1","S. Fos","VAL","Tarifa. Sierra de Salaviciosa. Cañada de la Jara","VAL_Lich","Ca"
178330390,"890afcd2-f762-11e1-a439-00145eb45e9a",-5.585,36.167,1992,10,17,"Spain","3843-1","S. Fos","VAL","Tarifa. Sierra de Salaviciosa. El Tiradero","VAL_Lich","Ca"
178330696,"890afcd2-f762-11e1-a439-00145eb45e9a",-5.663,36.515999,1992,10,19,"Spain","8247-1","S. Fos","VAL","Alcalá de los Gazules. Cerro de las Beatas","VAL_Lich","Ca"
178330698,"890afcd2-f762-11e1-a439-00145eb45e9a",-6.843,38.355999,1992,10,16,"Spain","8253-1","S. Fos","VAL","Jeréz de los Caballeros. Ctra. a Higuera de Vargas","VAL_Lich","Ba"
