"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode"
1919494238,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.17517,55.71708,"Skåne",2018,1,19,"Sweden","1959396","Arne Thell & Emil Åsegård","LD","Kobjer","General"
1946699652,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.854717,48.178617,NA,2018,5,24,"Slovakia","54465-771",NA,"FR","omoka, um den Waldparkplatz","Herbarium Senckenbergianum (FR) - Fungi"
1946699653,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.46555,48.48,NA,2018,5,25,"Slovakia","54605-771",NA,"FR","nördlich der Straße Gömörhosszúszó - Aggtelek","Herbarium Senckenbergianum (FR) - Fungi"
2303272888,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.12255,47.943633,NA,2018,7,20,"Ukraine","54724-771",NA,"FR","Talhang über dem Bache Kuzij","Herbarium Senckenbergianum (FR) - Fungi"
2303272889,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.187783,47.96305,NA,2018,7,19,"Ukraine","54685-771",NA,"FR","beim Mittelpunkt Europas","Herbarium Senckenbergianum (FR) - Fungi"
1945781923,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.22,47.559717,NA,2018,8,23,"Germany","54738-771",NA,"FR","Immenstadt, neben der Friedhofsmauer","Herbarium Senckenbergianum (FR) - Fungi"
1632918607,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",-1.581389,54.109722,"England",2017,8,23,"United Kingdom","1902339","Mark R. D. Seaward","LD","Fountains Abbey monastery ruin","General"
1632918639,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",-1.581389,54.109722,"England",2017,8,23,"United Kingdom","1902403","Mark R. D. Seaward","LD","Fountains Abbey monastery ruin","General"
1632918997,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",-1.453056,53.895278,"England",2017,8,22,"United Kingdom","1911460","Mark R. D. Seaward & Arne Thell","LD","East Keswick","General"
1851035993,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.16805,49.476533,NA,2017,12,9,"Poland","50773-771",NA,"FR","Harklowa, bei der Kirche","Herbarium Senckenbergianum (FR) - Fungi"
2403326807,"b124e1e0-4755-430f-9eab-894f25a9b59c",5.704877,58.909917,"Rogaland",2016,5,19,"Norway","14486855","Endre Nygaard","nbf","Jåttåveien, Stavanger, Ro","so2-lichens"
1676072332,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.2725,50.1688,NA,2016,6,25,"Germany","43385",NA,"FR","Pommern an der Mosel","Herbarium Senckenbergianum (FR) - Fungi"
1500366634,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",14.424444,47.053056,NA,2016,8,20,"Austria","E00817861","Obermayer, Walter","E","Steiermark (=Styria), Eastern Alps, Gurktal Alps","E"
1836429649,"85739778-f762-11e1-a439-00145eb45e9a",13.295,53.1417,NA,2016,10,14,"Germany","195527","H. Sipman & D. Heinrich","B","DEUTSCHLAND, Brandenburg, Landkreis Oberhavel: NW of Templin, NNW of Regowschleuse, Havel valley. Alt. 60 m.","Lichen Herbarium Berlin"
1233566542,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.886133,50.930383,NA,2014,6,13,"Poland","40957",NA,"FR","Kammerswaldau, NW-Seite des Galgenberges","Herbarium Senckenbergianum (FR) - Fungi"
1135331489,"c1a13bf0-0c71-11dd-84d4-b8a03c50a862",10.64732,47.78104,"Bayern",2014,8,9,"Germany","L-693328","Walter Obermayer","UPS","Schwaben (=Swabia), Alpenvorland, 2.2 km east of the centre of Marktoberdorf","BOT"
1262183055,"85739778-f762-11e1-a439-00145eb45e9a",10.6473,47.781,NA,2014,8,9,"Germany","193561","Walter Obermayer","B","GERMANY, Bayern (=Bavaria), Schwaben (=Swabia), Alpenvorland, 2.2 km east of the centre of Marktoberdorf. Alt. 770 m.","Lichen Herbarium Berlin"
2270735866,"98bceab6-3c3e-4163-945d-6ca10576ebf1",10.643056,47.781042,"Bavaria",2014,8,9,"Germany","604027","Walter Obermayer","ASU","Schwaben (= Swabia), Alpenvorland, 2.2 km east of the centre of Marktoberdorf",NA
1676071619,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.5775,50.080367,NA,2014,11,26,"Germany","221332",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi"
914864770,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.267867,50.141067,NA,2013,3,27,"Germany","67637",NA,"FR","Wiesbaden-Naurod, Trockenborn.","Herbarium Senckenbergianum (FR) - Fungi"
1676072042,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.630283,43.316667,NA,2013,6,25,"France","42719",NA,"FR","La Rhune, Nordseite, Forêt Tourbiere","Herbarium Senckenbergianum (FR) - Fungi"
1676072046,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.62945,43.31625,NA,2013,6,25,"France","42669",NA,"FR","La Rhune, Nordseite, Forêt Tourbière","Herbarium Senckenbergianum (FR) - Fungi"
1324319349,"7948250c-6958-4a29-a670-ed1015b26252",5.7292,58.8494,"Rogaland",2013,7,26,"Norway","198302","Jon T. Klepsland","O","Sandnes kirke","L"
1054037297,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.023174,58.942813,"Rogaland",2012,6,27,"Norway","L341Høi","Høitomt, Torbjørn","BioFokus","Meling","BioFokus"
2265683322,"7948250c-6958-4a29-a670-ed1015b26252",6.0231,58.9428,"Rogaland",2012,6,27,"Norway","210135","Torbjørn Høitomt","O","Meling","L"
1324742652,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.79505,59.34419,"Rogaland",2012,9,24,"Norway","97671","Johnsen, J.I.","BG","Nedstrand, ved Tveit jordbruksskule","L"
2013146610,"7948250c-6958-4a29-a670-ed1015b26252",5.7791,58.8968,"Rogaland",2012,10,1,"Norway","205626","Tom H. Hofton","O","Dale S","L"
2265682906,"7948250c-6958-4a29-a670-ed1015b26252",5.7281,58.8449,"Rogaland",2012,10,4,"Norway","210168","Torbjørn Høitomt","O","Sandnes sentrum, ved den søndre gravlunden","L"
2265683383,"7948250c-6958-4a29-a670-ed1015b26252",5.731,58.8471,"Rogaland",2012,10,4,"Norway","210169","Torbjørn Høitomt","O","Sandnes sentrum, den store parken ved elva","L"
1086983740,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.5,50.696383,NA,2011,6,12,"Germany","37891",NA,"FR","Rauschenbachtalsperre, Nordseite","Herbarium Senckenbergianum (FR) - Fungi"
914864745,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.985,51.201117,NA,2011,6,30,"Germany","31776",NA,"FR","Niederludwigsdorf","Herbarium Senckenbergianum (FR) - Fungi"
1054070084,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.53657,58.242448,"Vest-Agder",2011,7,5,"Norway","JK11-L230","Klepsland, Jon T.","BioFokus","Kåda (Hidra)","BioFokus"
914864676,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.722783,50.836667,NA,2011,7,27,"Germany","31811",NA,"FR","Hain, Oybin","Herbarium Senckenbergianum (FR) - Fungi"
