"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode"
2462928008,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4076,60.0019,"Hordaland",2018,5,9,"Norway","18519/1","Håkon Holien","TRH","Vierevika E","L"
2467684085,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.1271,60.469,"Hordaland",2018,5,13,"Norway","28839/1","Andreas Frisch","TRH","Kvernvatnet vest","L"
2464562441,"8f7e3c45-4d76-4982-9478-651439e0cd4b",24.469833,59.413722,NA,2018,8,5,"Estonia","TU86625","Ave Suija","TU(M)","Sõrve küla,kavandatav Sõrve kaitseala",NA
2464562787,"8f7e3c45-4d76-4982-9478-651439e0cd4b",24.458972,59.394583,NA,2018,8,11,"Estonia","TU86622","Ave Suija","TU(M)","Liikva küla, kavandatav Sõrve kaitseala",NA
2464563726,"8f7e3c45-4d76-4982-9478-651439e0cd4b",24.451222,59.392222,NA,2018,8,11,"Estonia","TU86616","Ave Suija","TU(M)","Liikva küla, kavandatav Sõrve kaitseala",NA
1836160911,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",7.814336,58.580807,"Aust-Agder",2017,4,15,"Norway","JK17-049","Klepsland, Jon T.","BioFokus","Steinsfjellet N","BioFokus"
2013152211,"7948250c-6958-4a29-a670-ed1015b26252",7.8143,58.5808,"Aust-Agder",2017,4,15,"Norway","223146","Jon T. Klepsland","O","Steinsfjellet N","L"
2467684118,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.2707,62.9145,"Møre og Romsdal",2017,7,5,"Norway","28840/1","Andreas Frisch","TRH","Tverrfjell nord for Stormyra","L"
2013150872,"7948250c-6958-4a29-a670-ed1015b26252",5.6889,61.0922,"Sogn og Fjordane",2016,1,21,"Norway","221812","Jon T. Klepsland","O","Sørevikvika-Monsenderusta","L"
1440673506,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",8.396305,62.874065,"Møre og Romsdal",2016,4,17,"Norway","JK16-172","Klepsland, Jon T.","BioFokus","Mulvikknuken NV","BioFokus"
1455758162,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.1127,62.9223,"Møre og Romsdal",2016,4,15,"Norway","17084/1","Håkon Holien","TRH","S of Hustad, Lunheim, NW-facing slope","L"
1455758326,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",8.3961,62.8733,"Møre og Romsdal",2016,4,17,"Norway","17108/1","Håkon Holien","TRH","between Meisingset and Ålvundfjord, Durmålhaugen, NE-facing slope","L"
2013151487,"7948250c-6958-4a29-a670-ed1015b26252",8.3963,62.8741,"Møre og Romsdal",2016,4,17,"Norway","222367","Jon T. Klepsland","O","Mulvikknuken NV","L"
1440673543,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",9.968445,59.044708,"Vestfold",2016,5,5,"Norway","JK16-213","Klepsland, Jon T.","BioFokus","Salsås","BioFokus"
2013151478,"7948250c-6958-4a29-a670-ed1015b26252",9.9685,59.0447,"Vestfold",2016,5,5,"Norway","222397","Jon T. Klepsland","O","Salsås","L"
2238538908,"84d26682-f762-11e1-a439-00145eb45e9a",8.564974,56.998293,NA,2016,5,7,"Denmark","DMS-9244506","Ulrik Søchting",NA,"Fru Hares Høj",NA
1315955491,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",9.611254,60.257207,"Buskerud",2016,6,21,"Norway","JK16-081","Klepsland, Jon T.","BioFokus","Ringneselva","BioFokus"
1440673672,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",12.568434,65.25061,"Nordland",2016,6,13,"Norway","JK16-363","Klepsland, Jon T.","BioFokus","Fjellvatnet SØ","BioFokus"
2013151403,"7948250c-6958-4a29-a670-ed1015b26252",9.6113,60.2572,"Buskerud",2016,6,21,"Norway","222307","Jon T. Klepsland","O","Ringneselva","L"
2013151629,"7948250c-6958-4a29-a670-ed1015b26252",12.5684,65.2506,"Nordland",2016,6,13,"Norway","222501","Jon T. Klepsland","O","Fjellvatnet SØ","L"
1676074987,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.79,47.810417,NA,2016,9,17,"France","49068-771",NA,"FR","St. Antoine, Waldreservat","Herbarium Senckenbergianum (FR) - Fungi"
1676074992,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.01725,47.960633,NA,2016,9,15,"France","49100-771",NA,"FR","bei Gerbholz südlich von Mittlach, über dem Tal des Vorderen Salzbaches","Herbarium Senckenbergianum (FR) - Fungi"
1842840855,"61a9ca38-b62f-11e2-afcb-00145eb45e9a",8.2,48.6,NA,2016,9,3,"Germany","KR-M-0052033 / 651356 / 147682",NA,"SMNK","NSG ""Wilder See - Hornisgrinde"", der Seekopf, ostexponierte Karwand; BWS","SMNKfungicoll"
1842840871,"61a9ca38-b62f-11e2-afcb-00145eb45e9a",8.2,48.6,NA,2016,9,3,"Germany","KR-M-0052064 / 651519 / 147691",NA,"SMNK","NSG ""Wilder See - Hornisgrinde"", der Seekopf, ostexponierte Karwand, unterer Bereich; BWS","SMNKfungicoll"
2237887644,"84d26682-f762-11e1-a439-00145eb45e9a",8.464032,56.26252,NA,2016,9,17,"Denmark","DMS-1023288","Ulrik Søchting",NA,"Stråsø Plantage",NA
1676074640,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.553889,50.081111,NA,2015,1,21,"Germany","221376",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi"
1257495840,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-4.925,56.851944,"Scotland",2015,2,14,"United Kingdom","E00755977","Coppins, Brian J.","E","Leanachan Forest, by dismantled tramway","E"
1302841224,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",10.0684,63.9808,"Sør-Trøndelag",2015,6,10,"Norway","17052/1","Håkon Holien","TRH","SE of lake Rysdalsvatnet","L"
1324743046,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",12.94691,65.33346,"Nordland",2015,6,22,"Norway","98657","Tønsberg, T.","BG","Tosbotn, E bank of river Bjørnstøkkelva just upstream from main road","L"
1324743057,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",12.70513,65.25546,"Nordland",2015,6,22,"Norway","98660","Tønsberg, T.","BG","Tosaunet, along and just E of gravel road to Hongbarstad, 0.2 km (ai) S of river Aunelva","L"
1262420253,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.096387,61.071302,"Sogn og Fjordane",2015,7,15,"Norway","JK15-L502","Klepsland, Jon T.","BioFokus","Brossvika-Sygnefest","BioFokus"
1262420300,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.688926,61.092189,"Sogn og Fjordane",2015,7,17,"Norway","JK15-L545","Klepsland, Jon T.","BioFokus","Sørevikvika-Monsenderusta","BioFokus"
2013150864,"7948250c-6958-4a29-a670-ed1015b26252",5.0964,61.0713,"Sogn og Fjordane",2015,7,15,"Norway","221777","Jon T. Klepsland","O","Brossvika-Sygnefest","L"
1324743079,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",10.96996,64.44304,"NORD-TRØNDELAG",2015,8,5,"Norway","98695","Tønsberg, T.","BG","S of Dalavatnet, Dale Nature Reserve, SE of the creek","L"
1324743086,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",10.97,64.44348,"NORD-TRØNDELAG",2015,8,5,"Norway","98702","Tønsberg, T.","BG","S of Dalavatnet, Dale Nature Reserve, Stordalen, SE of the creek","L"
1324743226,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.49501,59.67109,"Rogaland",2015,9,6,"Norway","98958","Tønsberg, T.","BG","S of Hellandsbygda, W of Storlivatnet, downhill from road","L"
1288176903,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.395283,50.936583,NA,2015,10,14,"Germany","42886",NA,"FR","bei Hinterhermsdorf, Weißbachtal","Herbarium Senckenbergianum (FR) - Fungi"
1288176904,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.395283,50.936583,NA,2015,10,14,"Germany","42895",NA,"FR","bei Hinterhermsdorf, Weißbachtal","Herbarium Senckenbergianum (FR) - Fungi"
1324743596,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.27368,60.25743,"Hordaland",2014,2,6,"Norway","99492","Tønsberg, T.","BG","Milde, the arboretum, N of 'Kongeeika'","L"
1324743611,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.27452,60.25638,"Hordaland",2014,2,6,"Norway","99491","Tønsberg, T.","BG","Milde, the arboretum, E of Grønnevika","L"
1291900248,"8f7e3c45-4d76-4982-9478-651439e0cd4b",25.200556,58.390833,NA,2014,5,18,"Estonia","TU71906","Liis Marmor","TU(M)",NA,NA
2237866045,"84d26682-f762-11e1-a439-00145eb45e9a",12.32048,56.00106,NA,2014,5,24,"Denmark","DMS-1004280","Ulrik Søchting",NA,"Gribskov, samlet",NA
2237867391,"84d26682-f762-11e1-a439-00145eb45e9a",12.32048,56.00106,NA,2014,5,24,"Denmark","DMS-1004279","Ulrik Søchting",NA,"Gribskov, samlet",NA
1209697264,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",11.7656,64.8093,"Nord-Trøndelag",2014,9,18,"Norway","15696/1","Håkon Holien","TRH","along stream Kobbholbekken","L"
1061246722,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.301667,50.926533,NA,2014,10,29,"Germany","38435",NA,"FR","zwischen Arnstein & Kleinstein, Schandauer Straße unmittelbar vor der Kirnitzschtalstraße","Herbarium Senckenbergianum (FR) - Fungi"
1061246723,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.1825,50.95195,NA,2014,10,28,"Germany","38385",NA,"FR","Schwarzbachtal, zwischen zweiter & dritter Brücke","Herbarium Senckenbergianum (FR) - Fungi"
2237911315,"84d26682-f762-11e1-a439-00145eb45e9a",8.494174,56.245314,NA,2014,10,31,"Denmark","DMS-1044727","Ulrik Søchting",NA,"Biowide 035 Stråsø Plantage",NA
1143573304,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",5.401111,59.9875,"Hordaland",2013,6,11,"Norway","E00745128","Yahr, Rebecca","E","Tysnes: Midt-Vatnet, south.","E"
1209695862,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",11.5204,64.5434,"Nord-Trøndelag",2013,8,26,"Norway","15946/1","Håkon Holien","TRH","W of Landfallvik","L"
1257495814,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-5.630556,56.003611,"Scotland",2013,9,25,"United Kingdom","E00755976","Coppins, Brian J.","E","Taynish NNR - Compartment 15","E"
1052819034,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.034717,50.968883,NA,2013,10,18,"Germany","38462",NA,"FR","Uttewalder Grund","Herbarium Senckenbergianum (FR) - Fungi"
1041915358,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",12.1771,65.0476,"Nordland",2012,9,18,"Norway","15075/1","Håkon Holien","TRH","Straumhatten, N-facing slope","L"
1041940875,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",12.1816,64.9512,"Nord-Trøndelag",2012,9,20,"Norway","15076/1","Håkon Holien","TRH","SW of Folla bridge, Berg, E-facing slope","L"
918802979,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.32,50.915,NA,2012,10,11,"Germany","33941",NA,"FR","Elbsandsteingebirge, mittleres Kirnitzschtal, bei der Thorwalder Brücke","Herbarium Senckenbergianum (FR) - Fungi"
918802983,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.333883,50.908333,NA,2012,10,11,"Germany","33955",NA,"FR","Elbsandsteingebirge, mittleres Kirnitzschtal zwischen Marienquelle und niederer Schleuse","Herbarium Senckenbergianum (FR) - Fungi"
918802975,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.891117,52.690283,NA,2011,4,22,"Poland","35860",NA,"FR","Bia&#322;owie&#380a, Wanderweg nördlich vom Reservat ""Bagno Wysokie""","Herbarium Senckenbergianum (FR) - Fungi"
918802978,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.8,52.675,NA,2011,4,22,"Poland","35836",NA,"FR","Jagie&#322;&#322;o&#324;ska Droga im Walde südwestlich von Bia&#322;owie&#380;a","Herbarium Senckenbergianum (FR) - Fungi"
1054009722,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",9.209478,60.436229,"Buskerud",2011,5,25,"Norway","THH11091","Hofton, Tom H.","BioFokus","Sevreåne, Nedre Nystølfossen V-side","BioFokus"
1324739856,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.80451,58.90482,"Rogaland",2011,5,14,"Norway","91775","Johnsen, J.I.","BG","øst av Dale","L"
