"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","locality","collectionCode","catalogNumber","recordedBy","institutionCode","notes","citation","doi"
1305187139,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-2.596944,56.009722,"Scotland",2015,4,21,"United Kingdom","Tyninghame, Fir Links Wood","E","E00786359","Coppins, A.M.","E","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Rob Cubey (2018). Royal Botanic Garden Edinburgh Herbarium (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ypoair"
1305184338,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-2.649722,56.024722,"Scotland",2015,6,6,"United Kingdom","Whitekirk Parish Church","E","E00786336","Coppins, Brian J.","E","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Rob Cubey (2018). Royal Botanic Garden Edinburgh Herbarium (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ypoair"
1305184442,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-3.436944,51.173889,"England",2013,6,28,"United Kingdom","Dunster Park & Heathlands SSSI, Dunster Park","E","E00786318","Coppins, Brian J.","E","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Rob Cubey (2018). Royal Botanic Garden Edinburgh Herbarium (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ypoair"
788646733,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.98394,55.90104,NA,2008,10,1,"Sweden","No locality information available","General","1409464","Ulf Arup","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1212028009,"85739778-f762-11e1-a439-00145eb45e9a",27.1767,35.78,NA,2007,9,22,"Greece","GREECE, Dodecanese, Karpathos island. Trail from Avlona to Vourgounda bay. Alt. 300 m.","Lichen Herbarium Berlin","101992","H. Sipman & Th. Raus","B","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1212027861,"85739778-f762-11e1-a439-00145eb45e9a",26.895,35.3883,NA,2007,10,1,"Greece","GREECE, Dodecanese, Kasos island. Alt. 350 m.","Lichen Herbarium Berlin","102453","H. Sipman & Th. Raus","B","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1212027996,"85739778-f762-11e1-a439-00145eb45e9a",26.895,35.3883,NA,2007,10,1,"Greece","GREECE, Dodecanese, Kasos island. Alt. 350 m.","Lichen Herbarium Berlin","102479","H. Sipman & Th. Raus","B","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1143573146,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-1.281111,50.765,"England",2006,8,8,"United Kingdom","Castle Point, east of Cowes","E","E00745168","Yahr, Rebecca","E","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Rob Cubey (2018). Royal Botanic Garden Edinburgh Herbarium (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ypoair"
621562,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",15.36684,56.14493,"Blekinge",1989,5,31,"Sweden","No locality information available","General","1046495","U. Arup & S. Ekman","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
621566,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",15.24992,56.24794,"Blekinge",1989,5,31,"Sweden","No locality information available","General","1046751","U. Arup & S. Ekman","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
