"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","notes","citation","doi"
2265683618,"7948250c-6958-4a29-a670-ed1015b26252",6.1666,60.3122,"Hordaland",2019,5,15,"Norway","230249","A. Aptroot","O","Kvam: Berge","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2462927799,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",11.5433,64.0348,"Nord-Trøndelag",2019,6,2,"Norway","18619/1","Håkon Holien","TRH","Byafossen, S bank of river Byaelva","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2449421328,"7948250c-6958-4a29-a670-ed1015b26252",5.6501,59.9728,"Hordaland",2018,5,9,"Norway","226348","Jon T. Klepsland","O","Nedrevåg-Blåberget","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2467683772,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.6644,60.2992,"Hordaland",2018,5,8,"Norway","24015/1","Andreas Frisch","TRH","Holmefjord, Eikhaugen","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2467683830,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.6502,59.9727,"Hordaland",2018,5,9,"Norway","24017/1","Andreas Frisch","TRH","Skardnipa near Teigen","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2467683920,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.6646,60.2983,"Hordaland",2018,5,8,"Norway","24016/1","Andreas Frisch","TRH","Holmefjord, Eikhaugen","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2467683744,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",10.2965,63.1656,"Sør-Trøndelag",2017,6,11,"Norway","24020/1","Andreas Frisch","TRH","Kjellstad","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2467683677,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.67965,59.1067,"Rogaland",2017,7,13,"Norway","24018/1","Andreas Frisch","TRH","Hodnafjellet","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2467683694,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",6.1995,58.8302,"Rogaland",2017,7,12,"Norway","24014/1","Andreas Frisch","TRH","Dirdal","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2467683903,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.67965,59.1067,"Rogaland",2017,7,13,"Norway","24019/1","Andreas Frisch","TRH","Hodnafjellet","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
