"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","notes","citation","doi"
1148820616,"8f7e3c45-4d76-4982-9478-651439e0cd4b",23.54979,58.55608,2015,6,20,"Estonia","Puhtulaid","TU71695","Ede Oja | Marek Oja","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1148820637,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.4419,58.23735,2015,6,25,"Estonia","Loode tammik","TU71693","Ede Oja | Marek Oja","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1148820640,"8f7e3c45-4d76-4982-9478-651439e0cd4b",23.55063,58.55505,2015,6,20,"Estonia","Puhtulaid","TU71694","Ede Oja | Marek Oja","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1569807175,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.35018,56.08603,2014,3,28,"Sweden","Bäckaskogs slott 360 m N of the castle","1528280","Tony Svensson","LD","General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1148832815,"8f7e3c45-4d76-4982-9478-651439e0cd4b",25.55713,55.0578,2011,9,20,"Lithuania","Asveja Regional Park, Dubingiai forest district, Valley of the Zverna rivulet","TU55250","Ede Oja","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
788707398,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.32856,55.67655,2009,6,25,"Sweden","Dalby Söderskog","1472013","Martin Löfdal","LD","General","Skåne","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1291888825,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.43333,58.23333,2006,8,11,"Estonia","Kaarma vald, Loode tammik  ","TU41801","Ede Oja","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1291888885,"8f7e3c45-4d76-4982-9478-651439e0cd4b",21.98333,58.45,2006,8,9,"Estonia","Kihelkonna vald, Tagamõisa puisniit  ","TU41803","Ede Oja","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1291888910,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.43333,58.23333,2006,8,11,"Estonia","Kaarma vald, Loode tammik  ","TU41802","Ede Oja","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1291872530,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.43333,58.23333,2003,7,13,"Estonia","Kaarma vald, Loode tammik  ","TU27424","Ede Oja","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1978787872,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.62104,55.69832,1996,3,3,"Sweden","350 m ESE of Djurgårdshuset","1961969","Ulf Arup & Stefan Ekman","LD","General","Skåne","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1265018130,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.79356,57.25213,1996,6,1,"Sweden","Blå Jungfrun","1888457","Martin Westberg","LD","General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1265020135,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.79356,57.25213,1996,6,1,"Sweden","Blå Jungfrun","1898890","Ulf Arup","LD","General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1265020171,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.79356,57.25213,1996,6,1,"Sweden","Blå Jungfrun","1898826","Louise Lindblom","LD","General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
637466,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.33124,55.67585,1996,8,20,"Sweden","Dalby Söderskog","1072352","Stefan Ekman","LD","General","Skåne","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
637240,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.32957,55.67437,1995,4,30,"Sweden","No locality information available","1055471","U. Arup & S. Ekman","LD","General","Skåne","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1086339996,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",17,58,1995,8,10,"Sweden","Södermanland, Mörkö s:n, Fifång, Lermaren","F68476","Mats Nordin","S","S-Fungi","Södermanland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086340044,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",17,58,1995,8,10,"Sweden","Södermanland, Mörkö s:n, Fifång, Sörviken","F68478","Mats Nordin","S","S-Fungi","Södermanland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086302782,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",15,59,1993,5,15,"Sweden","Närke: Götlunda sn, Södra Hammaren, c. 4 km. S Sickelsjö. 59°15'N, 15°49'O","L52430","Gunvor Westling","S","S-Fungi","Närke","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
2512671532,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.95763,57.28314,1991,5,11,"Sweden","Hagudden","1982947","Allan Nicklasson","LD","General","Öland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1503065001,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",23.566667,58.566667,1991,8,9,"Estonia","Puhtu biological station (c. 3 km SSE of Virtsu).","C0053586F","R. Moberg","F","Botany","Läänemaa","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Grant S, von Konrat M (2020). Field Museum of Natural History (Botany) Lichen Collection. Version 2.11. Field Museum. Occurrence dataset https://doi.org/10.15468/sc258x accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/sc258x"
19954753,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",23.5666,58.5666,1991,8,9,"Estonia","Puhtu biological station (c. 3 km SSE of Virtsu)","500782","Moberg, R.","BG","L","Läänemaa","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1291872569,"8f7e3c45-4d76-4982-9478-651439e0cd4b",23.55,58.55,1989,6,12,"Estonia","Puhtu, Puhtu ornitoloogiajaam  ","TU15410","Hans Trass","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
