"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","notes","citation","doi"
1638392587,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",19.38833,42.87653,2016,6,9,"Montenegro","000331675","Mayrhofer,Helmut & Tschuden,Paul","GZU","Montenegro, Kolašin, Sinjavina Mountains range, NE-facing slope of Babin Zub","Herbarium GZU",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Graz, Institute of Plant Sciences. University of Graz, Institute of Plant Sciences - Herbarium GZU. Occurrence dataset https://doi.org/10.15468/axtkuz accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/axtkuz"
1638392608,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",19.39125,42.88278,2016,6,9,"Montenegro","000331681","Mayrhofer,Helmut & Tschuden,Paul","GZU","Montenegro, Kolašin, Sinjavina Mountains range, NE-facing slope of Babin Zub","Herbarium GZU",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Graz, Institute of Plant Sciences. University of Graz, Institute of Plant Sciences - Herbarium GZU. Occurrence dataset https://doi.org/10.15468/axtkuz accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/axtkuz"
1148950162,"8f7e3c45-4d76-4982-9478-651439e0cd4b",10.970167,64.443056,2015,8,5,"Norway","TU75672","Ave Suija","TU(M)","Nord-Trøndelag county, Flatanger municipality, Dale Nature Reserve",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1265801007,"6aeebd1a-c3ad-4bc5-bdfe-24de0e2e9052",-5.3218,43.0895,2012,9,6,"Spain","BC-Lichenotheca-933989","X. Llimona & S. Fernández-Brime","BC","Caso; Caso, Brañagallones, baixada de la Peña'l Vientu","BC-Lichenotheca","Asturias","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Nualart N, Muñiz D (2019). Institut Botanic de Barcelona (IBB-CSIC-ICUB), BC-Lichen. Version 1.7. Botanical Institute of Barcelona (IBB-CSIC-ICUB). Occurrence dataset https://doi.org/10.15468/dgecw5 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/dgecw5"
2425460534,"7f2889e6-f762-11e1-a439-00145eb45e9a",-5.24,43.12,2012,9,7,"Spain","20422","Esteve Llop","BCN","Ribera del río Nalón, robledal","Lich","Asturias o Oviedo","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
2425461117,"7f2889e6-f762-11e1-a439-00145eb45e9a",-5.29,43.19,2012,9,5,"Spain","20303","Esteve Llop","BCN","Senda desde Orlé a Pendones","Lich","Asturias o Oviedo","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
2425461194,"7f2889e6-f762-11e1-a439-00145eb45e9a",-5.24,43.11,2012,9,8,"Spain","20456","Esteve Llop","BCN","El Sapperu, senda desde Tarna al Tabayón del Mongayu","Lich","Asturias o Oviedo","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
1143573235,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-5.618611,56.274444,2008,9,13,"United Kingdom","E00745002","Sutcliffe, Mike","E","Argylle and Bute, Seil, Ballachuan Hazelwood","E","Scotland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Rob Cubey (2018). Royal Botanic Garden Edinburgh Herbarium (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ypoair"
1212096183,"85739778-f762-11e1-a439-00145eb45e9a",27.1267,35.5917,2007,9,17,"Greece","105641","H. Sipman & Th. Raus","B","GREECE, Dodecanese, Karpathos island. Summit area of Mt. Kali Limni. Alt. 1100 m.","Lichen Herbarium Berlin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
911951142,"828a3d8c-f762-11e1-a439-00145eb45e9a",-5.0688,35.161467,2007,10,26,"Morocco","24961",NA,"FR","zentr.-westl. Rif, Jbel Tazaout (Tassaot)","Herbarium Senckenbergianum (FR) - Fungi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
