"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","notes","citation","doi"
2269036006,"7948250c-6958-4a29-a670-ed1015b26252",7.624,61.0378,"Sogn og Fjordane",2019,4,26,"Norway","225658","S. Rui, E. Timdal","O","Rikheimslunden","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2412567814,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",25.056558,48.311439,"Ivano-Frankivska Oblast",2019,6,29,"Ukraine","1962849","Arne Thell","LD","Kosiv town, at the road to Hotel ‘Baika’","General","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
2464521536,"8f7e3c45-4d76-4982-9478-651439e0cd4b",5.07884,44.64751,NA,2018,3,21,"France","TU56883","Jaan Liira","TU(M)","near village Saou",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
2013153363,"7948250c-6958-4a29-a670-ed1015b26252",5.4774,59.693,"Hordaland",2018,4,29,"Norway","224342","Reidar Haugan","O","Valebygda, W of Valen","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1946694478,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.854717,48.178617,NA,2018,5,24,"Slovakia","54462-771",NA,"FR","omoka, um den Waldparkplatz","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1946694479,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.46555,48.48,NA,2018,5,25,"Slovakia","54602-771",NA,"FR","nördlich der Straße Gömörhosszúszó - Aggtelek","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1949713891,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.740833,47.832783,NA,2018,5,21,"Slovakia","54384-771",NA,"FR","über Garamkövesd","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2013824342,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.94075,48.2113,NA,2018,5,23,"Slovakia","54421-771",NA,"FR","oberhalb von Pirsenstein (Hajnácka)","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1945678166,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.821533,53.462083,NA,2018,8,11,"Germany","54735-771",NA,"FR","Hamburg-Fischbek: Scharlbarg, am Schullandheim","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2464717315,"f0ecd5eb-bc62-40fe-ab53-294cbb34a290",22.657463,48.207441,NA,2018,9,19,"Ukraine","CWU 203063","Alla Gromakova","CWU","Berehove city",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Savchenko A, Ordynets A, Prylutskyi O, Yatsiuk I, Akulov A, Usichenko A. V. N. Karazin Kharkiv National University herbarium, Department of Mycology and Plant Resistance. V. N. Karazin Kharkiv National University. Occurrence dataset https://doi.org/10.15468/kuspj6 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/kuspj6"
