"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy","notes","citation","doi"
1839175414,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.971383,51.138883,2018,2,26,"Germany","53024-771","FR","Görlitz, Südstadt, Kreuzkirchenpark","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1987572325,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.547217,51.309167,2018,4,12,"Germany","54281-771","FR","Spreeaue zwischen Halbendorf & Neudorf","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2013153682,"7948250c-6958-4a29-a670-ed1015b26252",5.7431,58.9491,2018,6,28,"Norway","224585","O","N of junction Hillevågsveien og Torgveien","L","Rogaland","Reidar Haugan","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2365719605,"85739778-f762-11e1-a439-00145eb45e9a",5.1677,52.0858,2018,12,29,"Netherlands","201551","B","THE NETHERLANDS, Utrecht: Uithof university campus, Padua laan W of Transitorium III. Elev. c. 10 m.","Lichen Herbarium Berlin",NA,"H. Sipman & A. Aptroot","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1675764046,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.678783,50.839583,2017,7,16,"Poland","49160-771","FR","zwischen Warmbrunn & Giersdorf, beim Abzweig des Fahrweges durch die Aue","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2238536414,"84d26682-f762-11e1-a439-00145eb45e9a",10.47,57.199167,2017,10,4,"Denmark","DMS-9240080",NA,"Rugtved Skov",NA,NA,"Susanne Rabenborg","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
2238535481,"84d26682-f762-11e1-a439-00145eb45e9a",10.849634,55.298165,2017,11,29,"Denmark","DMS-9240190",NA,"Østerø",NA,NA,"Susanne Rabenborg","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
1657181595,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,2016,4,5,"Croatia","000330137","GZU","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","Herbarium GZU",NA,"Mayrhofer,Helmut & Prettner,Matthias","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Graz, Institute of Plant Sciences. University of Graz, Institute of Plant Sciences - Herbarium GZU. Occurrence dataset https://doi.org/10.15468/axtkuz accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/axtkuz"
1675763915,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.82205,51.656033,2016,6,20,"Germany","43343","FR","Autobahnraststätte Plötzetal/ Ost","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1324321848,"7948250c-6958-4a29-a670-ed1015b26252",5.7425,58.9498,2016,8,20,"Norway","204987","O","Hillevågsveien","L","Rogaland","S. Rui, E. Timdal","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
