"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","notes","citation","doi"
2381428863,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.267133,60.205643,"Hordaland",2019,7,3,"Norway","JK19-097","Klepsland, Jon T.","BioFokus","Korsneset skytefelt","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1324743593,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.55203,58.25445,"VEST-AGDER",2016,1,31,"Norway","99464","Johnsen, J.I.","BG","Kleppe","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1324743597,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.68274,58.97091,"Rogaland",2016,1,23,"Norway","99465","Johnsen, J.I.","BG","Vestsiden av Lt. Stokkavatnet","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1324743652,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.63249,59.6702,"Rogaland",2016,3,10,"Norway","99637","Tønsberg, T.","BG","between Utbjoa and Innbjoa, Vedvik, W of the stream, between the gravel road and the cabin","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
2238538874,"84d26682-f762-11e1-a439-00145eb45e9a",8.487749,57.021537,NA,2016,5,26,"Denmark","DMS-9245525","Ulrik Søchting",NA,"Glarbjerg Sande",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
2238542045,"84d26682-f762-11e1-a439-00145eb45e9a",8.444498,56.939602,NA,2016,5,18,"Denmark","DMS-9245537","Ulrik Søchting",NA,"Dyrhøj Bakker",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
2238542036,"84d26682-f762-11e1-a439-00145eb45e9a",8.273912,56.809439,NA,2016,6,1,"Denmark","DMS-9246765","Lennarth Skov Espersen",NA,"Roddenbjerg",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
2238541606,"84d26682-f762-11e1-a439-00145eb45e9a",8.546884,57.042976,NA,2016,7,28,"Denmark","DMS-9245845","Ulrik Søchting",NA,"Bleghule",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
1675764043,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.79,47.810417,NA,2016,9,17,"France","49255-771",NA,"FR","St. Antoine, Waldreservat","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675763886,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.294635,50.156017,NA,2015,1,9,"Germany","221522",NA,"FR","Hoher Taunus, das Theißtal westl. von Niedernhausen, Feldkreuz bei den Fischteichen","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
