"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","notes","citation","doi"
2381427345,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.264846,60.207493,"Hordaland",2019,7,3,"Norway","JK19-101","Klepsland, Jon T.","BioFokus","Korsneset skytefelt","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1946431672,"b124e1e0-4755-430f-9eab-894f25a9b59c",5.415332,59.75937,"Hordaland",2018,4,28,"Norway","20624273","Jon Klepsland","nbf","Geitåsen N, Stord, Ho","so2-lichens","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
2013150369,"7948250c-6958-4a29-a670-ed1015b26252",5.3842,59.9864,"Hordaland",2018,4,2,"Norway","221347","Jan C. Rivenæs","O","Grønehaugen","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013150396,"7948250c-6958-4a29-a670-ed1015b26252",5.3845,59.9863,"Hordaland",2018,4,2,"Norway","221344","Jan C. Rivenæs","O","Grønehaugen","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013150508,"7948250c-6958-4a29-a670-ed1015b26252",5.3928,59.9831,"Hordaland",2018,4,2,"Norway","221350","Jan C. Rivenæs","O","Grønehaugen","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013152940,"7948250c-6958-4a29-a670-ed1015b26252",5.4119,59.7581,"Hordaland",2018,4,27,"Norway","223798","Arne Vatten","O","Sylvikehaugane, Digernes","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013153344,"7948250c-6958-4a29-a670-ed1015b26252",5.4149,59.7579,"Hordaland",2018,4,28,"Norway","224322","Reidar Haugan","O","Sylvikehaugane","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2248479587,"7948250c-6958-4a29-a670-ed1015b26252",5.4087,59.7665,"Hordaland",2018,4,28,"Norway","225454","E. Timdal","O","hill E of Øvrabø","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2449421124,"7948250c-6958-4a29-a670-ed1015b26252",5.4153,59.7594,"Hordaland",2018,4,28,"Norway","226293","Jon T. Klepsland","O","Geitåsen N","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2268332707,"7948250c-6958-4a29-a670-ed1015b26252",5.4227,60.1445,"Hordaland",2018,5,10,"Norway","225655","K.M.F. Steinsvåg","O","Innerøya","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2462928004,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4003,59.9993,"Hordaland",2018,5,9,"Norway","18429/1","Håkon Holien","TRH","Bjørnavika S","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2467683625,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.44478,60.21298,"Hordaland",2018,5,10,"Norway","24123/1","Mika Bendiksby","TRH","Innerøya","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2467683953,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.3479,60.1787,"Hordaland",2018,5,12,"Norway","24124/1","Andreas Frisch","TRH","Svensvikmyrane","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1947382265,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.3268,59.6796,"Hordaland",2017,6,27,"Norway","18115/2","Geir Gaarder, Mathilde Lorentzen","TRH","Totsida nord","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1947382291,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.3325,59.6789,"Hordaland",2017,6,27,"Norway","18166/1","Geir Gaarder, Mathilde Lorentzen","TRH","Midgardsvika","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
