"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy","notes","citation","doi"
2005116754,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.876333,48.16695,2018,5,22,"Slovakia","54535-771","FR","Dudince, im Park","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2449421249,"7948250c-6958-4a29-a670-ed1015b26252",8.425,59.3864,2018,8,17,"Norway","226572","O","Kassenes V","L","Telemark","Jon T. Klepsland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1837799728,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",6.2643,58.3401,2017,7,14,"Norway","37109/1","TRH","Skåras","L","Rogaland","Andreas Frisch","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1821769199,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",11.011922,59.972788,2017,8,24,"Norway","JK17-507","BioFokus","Solvangen (Skjetten)","BioFokus","Akershus","Klepsland, Jon T.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
2013152565,"7948250c-6958-4a29-a670-ed1015b26252",11.0119,59.9728,2017,8,24,"Norway","223442","O","Solvangen (Skjetten)","L","Akershus","Jon T. Klepsland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1233562558,"828a3d8c-f762-11e1-a439-00145eb45e9a",16.009417,50.920467,2015,6,14,"Poland","41028","FR","beim Bärstein","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2013151166,"7948250c-6958-4a29-a670-ed1015b26252",8.5705,59.4578,2015,9,9,"Norway","222100","O","Meås SØ","L","Telemark","Jon T. Klepsland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013151210,"7948250c-6958-4a29-a670-ed1015b26252",7.8119,58.5838,2015,9,3,"Norway","222092","O","Kjersti Park","L","Aust-Agder","Jon T. Klepsland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1061067328,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.183667,50.948417,2014,10,28,"Germany","38381","FR","Schwarzbachtal","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1061067329,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.183617,50.94805,2014,10,28,"Germany","38379","FR","im Schwarzbachtal","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
