"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","notes","citation","doi"
2235561948,"e553568e-2317-4592-8638-92e5ac93b40c",6.03639,48.62528,"54 Meurthe-et-Moselle",2018,1,20,"France","NCY021819","Mahévas, Th.","CJBN","NCY",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","MNHN, Chagnoux S (2020). Herbarium specimens of Jardins botaniques and Conservatoire Botanique of Nancy (NCY). Version 70.192. Herbier des conservatoires et jardins botaniques de Nancy. Occurrence dataset https://doi.org/10.15468/g1zohr accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/g1zohr"
1927441466,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.598341,60.480445,"Hordaland",2018,10,12,"Norway","JK18-876","Klepsland, Jon T.","BioFokus","BioFokus","Kvanndalen","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
2449421200,"7948250c-6958-4a29-a670-ed1015b26252",6.5983,60.4804,"Hordaland",2018,10,12,"Norway","226709","Jon T. Klepsland","O","L","Kvanndalen","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2238494564,"84d26682-f762-11e1-a439-00145eb45e9a",9.32056,55.931053,NA,2017,6,2,"Denmark","DMS-9194900","Susanne Rabenborg",NA,NA,"Rørbæk Krat","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
1832335803,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.531,51.300417,NA,2016,4,20,"Germany","48988-771",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Halbendorf/ Spree W","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2238541429,"84d26682-f762-11e1-a439-00145eb45e9a",8.626554,57.041046,NA,2016,5,26,"Denmark","DMS-9245627","Ulrik Søchting",NA,NA,"Atterhøj","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
2238543317,"84d26682-f762-11e1-a439-00145eb45e9a",8.29568,56.818126,NA,2016,5,26,"Denmark","DMS-9247142","Lennarth Skov Espersen",NA,NA,"Gammel ørumgård","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
1324321862,"7948250c-6958-4a29-a670-ed1015b26252",6.1905,59.1545,"Rogaland",2016,8,21,"Norway","205001","S. Rui, E. Timdal","O","L","Årdal church","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1675794545,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.9577,47.966867,NA,2016,9,16,"France","49072-771",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","beim Wildensteiner Stausee, neben dem Sportplatz","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1323867719,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.255049,58.344505,"Rogaland",2016,10,10,"Norway","JK16-862","Klepsland, Jon T.","BioFokus","BioFokus","Lundaknuden","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1440673879,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.304815,58.331536,"Rogaland",2016,10,11,"Norway","JK16-874","Klepsland, Jon T.","BioFokus","BioFokus","Nedre Lauvås SØ","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
