"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","stateProvince","institutionCode","collectionCode","notes","citation","doi"
2239703601,"84d26682-f762-11e1-a439-00145eb45e9a",9.280684,56.206943,2019,3,23,"Denmark","Skygge","DMS-10010130","Susanne Rabenborg",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
2248479590,"7948250c-6958-4a29-a670-ed1015b26252",5.7567,59.6478,2018,4,27,"Norway","Mækjevik","225435","E. Timdal","Rogaland","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2238549425,"84d26682-f762-11e1-a439-00145eb45e9a",11.587003,55.41887,2017,3,19,"Denmark","Sønderskov","DMS-9320389","Ulrik Søchting",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
2013149106,"7948250c-6958-4a29-a670-ed1015b26252",13.1819,47.9306,2017,10,26,"Austria","Northern Alpine Foreland, Flachgau Region (=Salzburg Umgebung District), 16.4 km northwest of the centre of Salzburg, Köstendorf 650 m soutwest of Weng, western bank of the brook Wallerbach","211772","Roman Türk","Salzburg","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1324743537,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.55203,58.25445,2016,1,31,"Norway","Kleppe","99409","Johnsen, J.I.","VEST-AGDER","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1324743739,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.63424,58.79803,2016,2,11,"Norway","øst av Grudavatnet","99755","Johnsen, J.I.","Rogaland","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1324743615,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.63249,59.6702,2016,3,10,"Norway","between Utbjoa and Innbjoa, Vedvik, W of the stream, between the gravel road and the cabin","99502","Tønsberg, T.","Rogaland","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1455757862,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.1221,60.3591,2016,4,3,"Norway","Straume","17071/1","Harald Vik-Mo","Hordaland","TRH","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1823259115,"b124e1e0-4755-430f-9eab-894f25a9b59c",5.12214,60.359139,2016,4,3,"Norway","Straume, Fjell, Ho","18470633","Harald Vik-Mo","Hordaland","nbf","so2-lichens","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
2237893197,"84d26682-f762-11e1-a439-00145eb45e9a",10.561552,56.001308,2016,4,21,"Denmark","Issehoved","DMS-1026221","Ulrik Søchting",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
