"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","notes","citation","doi"
2449421195,"7948250c-6958-4a29-a670-ed1015b26252",9.3189,59.1179,"Telemark",2018,6,6,"Norway","226401","Jon T. Klepsland","O","Stålfjellaksla S","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2449421201,"7948250c-6958-4a29-a670-ed1015b26252",9.1351,59.2689,"Telemark",2018,6,7,"Norway","226410","Jon T. Klepsland","O","Tyrivatn N","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013152640,"7948250c-6958-4a29-a670-ed1015b26252",8.6506,58.696,"Aust-Agder",2017,10,4,"Norway","223529","Jon T. Klepsland","O","Svartflaug N","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013151898,"7948250c-6958-4a29-a670-ed1015b26252",8.2776,58.7429,"Aust-Agder",2016,8,11,"Norway","222819","Jon T. Klepsland","O","Hækjenkleiv","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1324324069,"7948250c-6958-4a29-a670-ed1015b26252",16.5235,58.9648,"Södermanland",2015,5,4,"Sweden","200823","S. Kistenich, E. Timdal","O","Lagmansö, c. 1.3 km E of the manor","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013150430,"7948250c-6958-4a29-a670-ed1015b26252",16.711,59.5077,"Västmanland",2010,10,4,"Sweden","221403","Björn Nordén,","O","Västerås: Aggarӧn in lake Mälaren","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1042951988,"de49c340-0c61-11dd-84ce-b8a03c50a862",15.6924,58.2374,"Ã–stergÃ¶tland",2005,6,19,"Sweden","GB-116538","Stridvall, Leif & Stridvall, Anita","GB","[ADMINISTRATIVE PROVINCE (LÃ„N)] Ã–stergÃ¶tlands lÃ¤n [DISTRICT (KOMMUN)] LinkÃ¶ping [PARISH (FÃ–RSAMLING)] VÃ¥rdnÃ¤s [PLACE (LOKAL)] Brokinds herrgÃ¥rd SO [DETAILS OF COLLECTION SITE (LOKALFÃ–RTYDLIGANDE)] Vid Kinda kanal [BIOTOPE (BIOTOP)] Ekhage [SUBSTRATE (SUBSTRAT)] PÃ¥ gammal ek [DETERMINED BY (ARTBESTÃ„MD AV)] Stridvall, Leif","General","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Gothenburg Herbarium - General (GBIF:IH:GB:Herbarium). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/afkfpi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/afkfpi"
1042945330,"de49c340-0c61-11dd-84ce-b8a03c50a862",12.519,58.2852,"VÃ¤stergÃ¶tland",2003,11,12,"Sweden","GB-117263","Stridvall, Leif & Stridvall, Anita","GB","VÃ¤stergÃ¶tland, TrollhÃ¤ttan, Norra BjÃ¶rke, Hunneberg, vid Ã¶stra HÃ¶gsÃ¤terklven, nedanfÃ¶r branten. Gammal Ã¤dellÃ¶vskog. Nedfallen bit frÃ¥n gammal ek. [DETERMINED BY (ARTBESTÃ„MD AV)] Stridvall, Leif","General","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Gothenburg Herbarium - General (GBIF:IH:GB:Herbarium). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/afkfpi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/afkfpi"
1086321874,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",17,58,"Södermanland",2000,4,9,"Sweden","L62743","G. Odelvik & R. Karlsson","S","Sverige. Södermanland: Ösmo sn, Hammersta, 750 m. SV om Alsnäset, ädellövskog vid Sittuviken. 9I 9f 0112.","S-Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086247248,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",17,59,"Uppland",2000,6,12,"Sweden","L24468","G. Odelvik & R. Karlsson","S","Uppland: Låssa sn, Ådö, 650 m. NNO om Ådö slott, början av vägen till Granskog, buskmark, på bark av Quercus robur. RUBIN 10I 9a 0613","S-Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
