"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","notes","citation","doi"
2238537986,"84d26682-f762-11e1-a439-00145eb45e9a",10.396807,57.148422,2018,1,30,"Denmark","Aså by","DMS-9242027","Susanne Rabenborg",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
1676058231,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.06075,51.043667,2016,6,26,"Germany","Leverkusen. Oulustraße","43407",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1676058090,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.507625,40.162935,2015,5,31,"Italy","Prov. Oligastra, Il Supramonte, Genna Sìlana north of Urzulei, track down into the Gola di Gorroppu, upper part, way to the fountain","221739",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1324319318,"7948250c-6958-4a29-a670-ed1015b26252",5.75,58.8311,2013,7,26,"Norway","Høyland kirke","198300","Jon T. Klepsland","O","L","Rogaland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1212166920,"85739778-f762-11e1-a439-00145eb45e9a",13.885,52.42,2011,6,10,"Germany","DEUTSCHLAND, Brandenburg: Löcknitztal, c. 4 Km östl. von Erkner. Klein Wall. Alt. c. 40 m.","137920","Jörg GELBRECHT","B","Lichen Herbarium Berlin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1054069972,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",7.449246,58.025799,2011,7,23,"Norway","Skrivergården ??","255081","Klepsland, Jon T.","BioFokus","BioFokus","Vest-Agder","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1503063077,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",-4.002249,57.089313,2010,2,11,"United Kingdom","Insh Marshes Nature Reserve: woodland opposite Insh House","C0303241F","B. J. Coppins","F","Botany","Highland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Grant S, von Konrat M (2020). Field Museum of Natural History (Botany) Lichen Collection. Version 2.11. Field Museum. Occurrence dataset https://doi.org/10.15468/sc258x accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/sc258x"
1503039320,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",13.195388,55.7138,2010,3,18,"Sweden","Lund, St. Lars hospital, in the park","C0305187F","A. Thell & P. Frödén","F","Botany","Skåne","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Grant S, von Konrat M (2020). Field Museum of Natural History (Botany) Lichen Collection. Version 2.11. Field Museum. Occurrence dataset https://doi.org/10.15468/sc258x accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/sc258x"
1503052449,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",13.195388,55.7138,2010,3,18,"Sweden","Lund, St. Lars hospital, in the park","C0305188F","A. Thell & P. Frödén","F","Botany","Skåne","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Grant S, von Konrat M (2020). Field Museum of Natural History (Botany) Lichen Collection. Version 2.11. Field Museum. Occurrence dataset https://doi.org/10.15468/sc258x accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/sc258x"
788723252,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.193147,55.704215,2010,3,18,"Sweden","No locality information available","1487937","Patrik Frödén & Arne Thell","LD","General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1212167083,"85739778-f762-11e1-a439-00145eb45e9a",24.685,40.73,2010,5,26,"Greece","GREECE, nom. Kavala: Thasos island, along road from Maries to Dio Kefales, sideroad from Ipsario road. Alt. 900 m.","185828","H. Sipman & T. Raus","B","Lichen Herbarium Berlin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1212167157,"85739778-f762-11e1-a439-00145eb45e9a",24.6767,40.7117,2010,5,26,"Greece","GREECE, nom. Kavala: Thasos island, along road from Maries to Dio Kefales, sideroad from Ipsario road. Alt. 800 m.","185827","H. Sipman & T. Raus","B","Lichen Herbarium Berlin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1503053288,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",14.5764,56.0522,2010,5,8,"Sweden","Sölvesborg, entrance of the sport arena","C0305186F","A. Thell","F","Botany","Blekinge","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Grant S, von Konrat M (2020). Field Museum of Natural History (Botany) Lichen Collection. Version 2.11. Field Museum. Occurrence dataset https://doi.org/10.15468/sc258x accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/sc258x"
788575508,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.04107,55.78998,2009,1,22,"Sweden","No locality information available","1333623","Emma Sandler Berlin","LD","General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
