"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","notes","citation","doi"
2449421036,"7948250c-6958-4a29-a670-ed1015b26252",5.1014,61.0689,"Sogn og Fjordane",2018,5,15,"Norway","226367","Jon T. Klepsland","O","Brossvika-Sygnefest","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1837799620,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.6651,59.1008,"Rogaland",2017,7,13,"Norway","37247/1","Andreas Frisch","TRH","Helleland","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1668754173,"61a9ca38-b62f-11e2-afcb-00145eb45e9a",8.2,48.6,NA,2016,9,3,"Germany","KR-M-0052056 / 627659 / 143054",NA,"SMNK","NSG 'Wilder See - Hornisgrinde', der Seekopf, NO-exponierte Karwand, Seeufernähe; BWS","SMNKfungicoll","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. Fungus Collections at Staatliches Museum für Naturkunde Karlsruhe (Herbarium KR). Occurrence dataset https://doi.org/10.15468/0bhhip accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0bhhip"
2013151102,"7948250c-6958-4a29-a670-ed1015b26252",5.9706,60.1449,"Hordaland",2015,9,10,"Norway","222101","Jon T. Klepsland","O","Øyarhamnsvatnet S","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1668754182,"61a9ca38-b62f-11e2-afcb-00145eb45e9a",8.2,48.6,NA,2014,10,9,"Germany","KR-M-0051807 / 580671 / 100520",NA,"SMNK","NSG ""Wilder See - Hornisgrinde"", Hinterer Pfälzer, NO-Hang, ca. 500 m O des Sees; BWS","SMNKfungicoll","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. Fungus Collections at Staatliches Museum für Naturkunde Karlsruhe (Herbarium KR). Occurrence dataset https://doi.org/10.15468/0bhhip accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0bhhip"
1676059761,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.141717,47.636317,NA,2014,11,15,"Germany","264157",NA,"FR","Regierungsbezirk Oberbayern, Landkreis Garmisch-Partenkirchen, Gemeinde Schwaigen, Murnauer Moos, Bärenfilz (Probenfläche 891)","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1143573305,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",5.401111,59.9875,"Hordaland",2013,6,12,"Norway","E00745127","Yahr, Rebecca","E","Tysnes: Midt-Vatnet, south.","E","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Rob Cubey (2018). Royal Botanic Garden Edinburgh Herbarium (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ypoair"
1305186136,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-4.151667,57.7675,"Scotland",2013,11,14,"United Kingdom","E00786320","Coppins, Brian J.","E","Tain, Morangie Forest, Scotsburn Wood","E","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Rob Cubey (2018). Royal Botanic Garden Edinburgh Herbarium (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ypoair"
1253324935,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",-5.406389,58.014167,"Scotland",2012,8,30,"United Kingdom","E00755931","Coppins, Brian J.","E","Summer Isles, Tannera Mòr, Cnoc Glas","E","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Rob Cubey (2018). Royal Botanic Garden Edinburgh Herbarium (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ypoair"
1054069152,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.354786,60.364358,"Hordaland",2011,9,1,"Norway","JK11-L494","Klepsland, Jon T.","BioFokus","Samlen V","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
