"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","notes","citation","doi"
2462927767,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",11.8835,63.978,"Nord-Trøndelag",2019,10,27,"Norway","18758/1","Ole Jakob Sørensen","TRH","Ogndalen, Kjesbu øvre","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2464527214,"8f7e3c45-4d76-4982-9478-651439e0cd4b",26.607114,57.532413,NA,2018,4,21,"Estonia","TU52143","Anneli Palo","TU(M)","Karisöödi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
2464528915,"8f7e3c45-4d76-4982-9478-651439e0cd4b",26.599157,57.528626,NA,2018,4,21,"Estonia","TU52142","Anneli Palo","TU(M)","Karisöödi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
2464557377,"8f7e3c45-4d76-4982-9478-651439e0cd4b",22.421067,58.47246,NA,2018,7,11,"Estonia","TU85194","Maarja Nõmm","TU(M)","Järise küla",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1901092275,"a48c2e76-4984-4540-9bf6-f4d579ed7d99",-1.66958,43.306154,"Nafarroa",2018,8,18,"Spain","3968","Olariaga I.","ARAN","Bera, Bera-Gartzin-Txarrantxarri","Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Olariaga Ibarguren I (2018). Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi. Version 1.4. Aranzadi Science Society. Occurrence dataset https://doi.org/10.15470/dtsml1 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15470/dtsml1"
2464539340,"8f7e3c45-4d76-4982-9478-651439e0cd4b",24.6244,58.1134,NA,2018,8,7,"Estonia","TU52769","Liis Marmor","TU(M)","Nepste küla, Rannametsa jõe ääres",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
2235464262,"33a1cfe1-4e4c-4da0-925b-d67df32d72e8",-4.434466,38.503696,"Ciudad Real",2018,11,17,"Spain","000062","Asociación El Ilustre Minero","SIM","Fuencaliente, Arroyo del Nacedero, Finca de la Garganta","IM","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Olariaga Ibarguren I (2020). SIM-XII Jornadas Micológicas El Ilustre Minero. Version 2.1. Sociedad(e) Ibérica de Micología-Iberian Mycological Society. Occurrence dataset https://doi.org/10.15470/wivsa9 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15470/wivsa9"
1837799481,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.9295,63.0371,"Møre og Romsdal",2017,7,6,"Norway","37085/1","Andreas Frisch","TRH","Sallaupen aust: Seterdalen, Aspøya","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2464505747,"8f7e3c45-4d76-4982-9478-651439e0cd4b",26.95457,59.14138,NA,2017,7,24,"Estonia","TU53037","Ede Oja","TU(M)","Kaukvere lähedal Kautvere PEP, kv 00081, eraldis nr 4",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1901093515,"a48c2e76-4984-4540-9bf6-f4d579ed7d99",-2.190622,43.201174,"Gipuzkoa",2016,1,2,"Spain","2717","Olariaga I.","ARAN","Zestoa, Errezil-Etumeta","Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Olariaga Ibarguren I (2018). Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi. Version 1.4. Aranzadi Science Society. Occurrence dataset https://doi.org/10.15470/dtsml1 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15470/dtsml1"
