"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","notes","citation","doi"
2464501090,"8f7e3c45-4d76-4982-9478-651439e0cd4b",26.814521,59.479221,2017,6,10,"Estonia","Kalvi küla","TU84654.b","Ave Suija","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1839175646,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.286667,50.923883,2016,10,15,"Germany","Kirnitzschtal unterhalb der Buschmühle","50657-765",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1212178190,"85739778-f762-11e1-a439-00145eb45e9a",13.2533,53.26,2013,5,9,"Germany","GERMANY, Brandenburg: Uckermark, E-shore of lake Brückentinsee, NW of Rutenberg N of Lychen. Alt. 70 m.","183873","H. Sipman & D. Heinrich","B","Lichen Herbarium Berlin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1054224241,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",7.354773,58.072343,2013,7,4,"Norway","Fasselandsvatnet NØ (Torp SØ)","JK13-L286","Klepsland, Jon T.","BioFokus","BioFokus","Vest-Agder","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1054212181,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.913852,58.934264,2013,10,10,"Norway","Ommålknuten","THH13415","Hofton, Tom H.","BioFokus","BioFokus","Rogaland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1233564696,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.4668,52.540633,2013,10,31,"Germany","Berlin-Weißensee, jüdischer Friedhof, Grabfeld U 4","16221",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
912722391,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.385833,50.902783,2012,10,22,"Germany","Elbsandsteingebirge, Kirnitzschklamm, in wegelosem Abschnitt jenseits des Aufstiegs zum Herrmannseck","33883",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1148716652,"8f7e3c45-4d76-4982-9478-651439e0cd4b",21.91751,58.51526,2011,7,20,"Estonia","Undva pank","TU55277","Ede Oja","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1148683998,"8f7e3c45-4d76-4982-9478-651439e0cd4b",27.49715,59.4283,2010,6,8,"Estonia","Toila ligidal","TU59513b","Inga Jüriado","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
1148683874,"8f7e3c45-4d76-4982-9478-651439e0cd4b",27.32086,59.44385,2010,8,24,"Estonia","kavandatav õpperada","TU59491","Inga Jüriado","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
