"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","stateProvince","collectionCode","notes","citation","doi"
2464564609,"8f7e3c45-4d76-4982-9478-651439e0cd4b",2.81284,50.02525,2019,2,28,"France","Longueval village, Delville Wood South African National Memorial","TU86586","Jaan Liira","TU(M)",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Tartu N H M, Abarenkov K. Natural History Museum, University of Tartu. PlutoF. Occurrence dataset https://doi.org/10.15156/bio/587444 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15156/bio/587444"
2013150347,"7948250c-6958-4a29-a670-ed1015b26252",9.7944,59.1221,2018,6,9,"Norway","Hanakne","221446","Annie Beret Aas Hovind","O","Telemark","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2303272847,"828a3d8c-f762-11e1-a439-00145eb45e9a",-9.3771,38.9116,2018,8,10,"Portugal","bei Santa Susana","60892-926",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1944634794,"85739778-f762-11e1-a439-00145eb45e9a",26.02,36.7567,2018,9,25,"Greece","GREECE, Aegean Sea, Cyclades, Amorgos island, summit of Mt. Kroukelos. Alt. 830 m.","198444","H. Sipman & Th. Raus (leg. Th. Raus)","B",NA,"Lichen Herbarium Berlin","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
2235561943,"e553568e-2317-4592-8638-92e5ac93b40c",6.1025,49.16417,2018,9,25,"France","La Côte","NCY021835","Mahévas, Th.","CJBN","57 Moselle","NCY","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","MNHN, Chagnoux S (2020). Herbarium specimens of Jardins botaniques and Conservatoire Botanique of Nancy (NCY). Version 70.192. Herbier des conservatoires et jardins botaniques de Nancy. Occurrence dataset https://doi.org/10.15468/g1zohr accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/g1zohr"
2303272840,"828a3d8c-f762-11e1-a439-00145eb45e9a",-9.374417,38.798883,2018,10,15,"Portugal","Sintra","60897-926",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2401401474,"b124e1e0-4755-430f-9eab-894f25a9b59c",5.896838,58.484213,2017,1,7,"Norway","Hellvik, Eigersund, Ro","16199004","Endre Nygaard","nbf","Rogaland","so2-lichens","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
1836161042,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",5.737123,59.073589,2017,7,13,"Norway","Kastdal (Dale SØ)","JK17-331","Klepsland, Jon T.","BioFokus","Rogaland","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
2013152470,"7948250c-6958-4a29-a670-ed1015b26252",5.7371,59.0736,2017,7,13,"Norway","Kastdal (Dale SØ)","223344","Jon T. Klepsland","O","Rogaland","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2238499581,"84d26682-f762-11e1-a439-00145eb45e9a",15.104193,55.028809,2017,7,7,"Denmark","Hundsemyre","DMS-9199709","Susanne Rabenborg",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
