"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","notes","citation","doi"
2449421037,"7948250c-6958-4a29-a670-ed1015b26252",5.6497,59.9721,"Hordaland",2018,5,9,"Norway","226345","Jon T. Klepsland","O","Nedrevåg-Blåberget","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2449421260,"7948250c-6958-4a29-a670-ed1015b26252",5.4383,60.6374,"Hordaland",2018,5,14,"Norway","226363","Jon T. Klepsland","O","Helltveit NV","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2467684292,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4391,60.6374,"Hordaland",2018,5,14,"Norway","28811/1","Andreas Frisch","TRH","Kvalvika-Røyldalane","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2467684323,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4391,60.6374,"Hordaland",2018,5,14,"Norway","28812/1","Andreas Frisch","TRH","Kvalvika-Røyldalane","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1836161004,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.199741,58.830166,"Rogaland",2017,7,12,"Norway","JK17-317","Klepsland, Jon T.","BioFokus","Dirdal Ø","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
2013152383,"7948250c-6958-4a29-a670-ed1015b26252",6.1997,58.8302,"Rogaland",2017,7,12,"Norway","223335","Jon T. Klepsland","O","Dirdal Ø","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1836109680,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",8.66266,58.700433,"Aust-Agder",2017,9,14,"Norway","JK17-568","Klepsland, Jon T.","BioFokus","Hovdefjell S","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
2013152571,"7948250c-6958-4a29-a670-ed1015b26252",8.6627,58.7004,"Aust-Agder",2017,9,14,"Norway","223486","Jon T. Klepsland","O","Hovdefjell S","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2238543002,"84d26682-f762-11e1-a439-00145eb45e9a",8.63121,57.065118,NA,2016,6,9,"Denmark","DMS-9246224","Ulrik Søchting",NA,"Skelsgård Bakke",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
2013151712,"7948250c-6958-4a29-a670-ed1015b26252",11.5697,65.0449,"Nord-Trøndelag",2016,7,3,"Norway","222581","Jon T. Klepsland","O","Gjertrudvika N","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
