"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy","notes","citation","doi"
1945781922,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.825417,53.462917,2018,8,9,"Germany","54734-771","FR","Hamburg-Fischbek: Scharlbarg","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1901091865,"a48c2e76-4984-4540-9bf6-f4d579ed7d99",-1.754996,43.377062,2017,1,3,"France","9342","ARAN","Hendaia, Hendaia-Ondarraitz","Fungi","Lapurdi","Prieto, M. & Olariaga, I.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Olariaga Ibarguren I (2018). Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi. Version 1.4. Aranzadi Science Society. Occurrence dataset https://doi.org/10.15470/dtsml1 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15470/dtsml1"
1676072321,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.688083,52.6943,2016,6,20,"Germany","43346","FR","Autobahnrastplatz Allertal","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1676072092,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.40675,43.334283,2013,6,26,"France","42712","FR","Itxassou, vor der Bürgermeisterei","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1676072109,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.194417,43.068833,2013,6,26,"France","42764","FR","beim Hotel Sources de la Nive","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1676070710,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.803611,45.748889,2011,6,23,"Italy","67340","FR","Prov. Verona, Lago di Garda, Malcesine, Loc. Caris, Via Caris","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
914864773,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.294167,44.915833,2011,8,29,"Russian Federation","31655","FR","Adygeya, Teutscheschskii Rajon, Waldstück an der Straße NE Pcegatlukaj","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
914864581,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.89445,51.326383,2010,9,22,"Germany","30034","FR","Oberlausitz, NSG Königsbrücker Heide, südlich der Dorfstelle Otterschütz","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2425459338,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.45,42.23,2008,4,29,"Spain","19789","BCN","L'Espunya","Lich","Girona","Esteve Llop & Antonio Gómez-Bolea","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
2425459820,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.58,42.14,2008,5,13,"Spain","19891","BCN","El Ventós","Lich","Girona","Esteve Llop & Antonio Gómez-Bolea","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
