"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","notes","citation","doi"
1919494238,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.17517,55.71708,"Skåne",2018,1,19,"Sweden","1959396","Arne Thell & Emil Åsegård","LD","Kobjer","General","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1946699652,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.854717,48.178617,NA,2018,5,24,"Slovakia","54465-771",NA,"FR","omoka, um den Waldparkplatz","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1946699653,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.46555,48.48,NA,2018,5,25,"Slovakia","54605-771",NA,"FR","nördlich der Straße Gömörhosszúszó - Aggtelek","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2303272888,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.12255,47.943633,NA,2018,7,20,"Ukraine","54724-771",NA,"FR","Talhang über dem Bache Kuzij","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2303272889,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.187783,47.96305,NA,2018,7,19,"Ukraine","54685-771",NA,"FR","beim Mittelpunkt Europas","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1945781923,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.22,47.559717,NA,2018,8,23,"Germany","54738-771",NA,"FR","Immenstadt, neben der Friedhofsmauer","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1632918607,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",-1.581389,54.109722,"England",2017,8,23,"United Kingdom","1902339","Mark R. D. Seaward","LD","Fountains Abbey monastery ruin","General","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1632918639,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",-1.581389,54.109722,"England",2017,8,23,"United Kingdom","1902403","Mark R. D. Seaward","LD","Fountains Abbey monastery ruin","General","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1632918997,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",-1.453056,53.895278,"England",2017,8,22,"United Kingdom","1911460","Mark R. D. Seaward & Arne Thell","LD","East Keswick","General","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1851035993,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.16805,49.476533,NA,2017,12,9,"Poland","50773-771",NA,"FR","Harklowa, bei der Kirche","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
