"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","notes","citation","doi"
2365720354,"85739778-f762-11e1-a439-00145eb45e9a",13.5833,53.1217,2019,4,30,"Germany","201928","H. Sipman & D. Heinrich","B","GERMANY, Brandenburg: Uckermark, W of Ahrensdorf , E of Seehof. Alt. 60 m.","Lichen Herbarium Berlin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
2365720355,"85739778-f762-11e1-a439-00145eb45e9a",13.305,52.4517,2019,6,12,"Germany","201976","H. Sipman","B","GERMANY, Berlin:  Botanischer Garten Berlin-Dahlem, Arboretum, Pyrus field. Alt. ca. 40 m.","Lichen Herbarium Berlin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
2512671917,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.379522,56.257896,2019,8,12,"Sweden","1997346","Per-Erik Persson","LD","160 m NNV Fixavången","General","Skåne","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
1946699725,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.854717,48.178617,2018,5,24,"Slovakia","54464-771",NA,"FR","omoka, um den Waldparkplatz","Herbarium Senckenbergianum (FR) - Fungi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1949725388,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.440883,47.803417,2018,5,21,"Slovakia","54334-771",NA,"FR","Búcs","Herbarium Senckenbergianum (FR) - Fungi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1949725389,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.740833,47.832783,2018,5,21,"Slovakia","54378-771",NA,"FR","über Garamkövesd","Herbarium Senckenbergianum (FR) - Fungi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2303272890,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.187783,47.96305,2018,7,19,"Ukraine","54684-771",NA,"FR","beim Mittelpunkt Europas","Herbarium Senckenbergianum (FR) - Fungi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1848984620,"858c1c6c-f762-11e1-a439-00145eb45e9a",8.706463,48.882392,2017,12,5,"Germany","M-0290291 / 911650 / 469873","Dornes, A.P.","SNSB-M","DE, Baden-Württemberg, Schwarzwald-Randplatten: Pforzheim; Buckenberg, Kopernikusallee. In ca. 335 m. NN. MTB|Koor.: 7118/1 | 48.882392°, 08.706463°","BSMlichfungicoll",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Collection of Lichenicolous Fungi at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/ni5yho accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ni5yho"
1657195730,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,2016,4,5,"Croatia","000330131","Mayrhofer,Helmut & Prettner,Matthias","GZU","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","Herbarium GZU",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Graz, Institute of Plant Sciences. University of Graz, Institute of Plant Sciences - Herbarium GZU. Occurrence dataset https://doi.org/10.15468/axtkuz accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/axtkuz"
1657195737,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,2016,4,5,"Croatia","000330177","Mayrhofer,Helmut & Prettner,Matthias","GZU","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","Herbarium GZU",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Graz, Institute of Plant Sciences. University of Graz, Institute of Plant Sciences - Herbarium GZU. Occurrence dataset https://doi.org/10.15468/axtkuz accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/axtkuz"
2238539669,"84d26682-f762-11e1-a439-00145eb45e9a",8.446799,56.939612,2016,5,18,"Denmark","DMS-9244494","Ulrik Søchting",NA,"Dyrhøj Bakker",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
2238542384,"84d26682-f762-11e1-a439-00145eb45e9a",8.603848,57.0253,2016,5,26,"Denmark","DMS-9247868","Lennarth Skov Espersen",NA,"Atterhøj",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
1657195769,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",18.68306,42.38631,2016,6,6,"Montenegro","000331584","Mayrhofer,Helmut","GZU","Montenegro, Plavi Horizonti beach, 1.3km SE Radoviči, next to restaurant","Herbarium GZU",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Graz, Institute of Plant Sciences. University of Graz, Institute of Plant Sciences - Herbarium GZU. Occurrence dataset https://doi.org/10.15468/axtkuz accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/axtkuz"
1676072330,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.06075,51.043667,2016,6,26,"Germany","43404",NA,"FR","Leverkusen. Oulustraße","Herbarium Senckenbergianum (FR) - Fungi",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
