"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","notes","citation","doi"
2365720357,"85739778-f762-11e1-a439-00145eb45e9a",13.88,53.1367,2019,4,29,"Germany","201926","H. Sipman & D. Heinrich","B","GERMANY, Brandenburg: Uckermark, NSG Fauler Ort, 1 km N of Pfingstberg. Alt. 60 m.","Lichen Herbarium Berlin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1822934794,"b124e1e0-4755-430f-9eab-894f25a9b59c",10.151268,59.177621,2017,6,21,"Norway","18366235","Jon Klepsland","nbf","Brentåsen, Sandefjord, Ve","so2-lichens","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
1823126191,"b124e1e0-4755-430f-9eab-894f25a9b59c",10.229979,59.16305,2017,6,20,"Norway","18366229","Jon Klepsland","nbf","Storåsen ved Hjertås, Sandefjord, Ve","so2-lichens","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
1823868934,"b124e1e0-4755-430f-9eab-894f25a9b59c",10.226098,59.166991,2017,6,20,"Norway","18366226","Jon Klepsland","nbf","Storåsen ved Hjertås, Sandefjord, Ve","so2-lichens","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
1824348546,"b124e1e0-4755-430f-9eab-894f25a9b59c",10.290049,59.223153,2017,6,22,"Norway","18366251","Jon Klepsland","nbf","Bokemoa LVO, Sandefjord, Ve","so2-lichens","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
1824698873,"b124e1e0-4755-430f-9eab-894f25a9b59c",10.230598,59.23694,2017,6,21,"Norway","18366238","Jon Klepsland","nbf","Omdal, Sandefjord, Ve","so2-lichens","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
1825101074,"b124e1e0-4755-430f-9eab-894f25a9b59c",9.967931,59.052473,2017,6,6,"Norway","18366187","Jon Klepsland","nbf","Ulfsbakktjørn N, Larvik, Ve","so2-lichens","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
1825432607,"b124e1e0-4755-430f-9eab-894f25a9b59c",9.9607,59.046329,2017,6,6,"Norway","18366213","Jon Klepsland","nbf","Bakkanetjørna V, Larvik, Ve","so2-lichens","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
2013152319,"7948250c-6958-4a29-a670-ed1015b26252",10.23,59.1631,2017,6,20,"Norway","223237","Jon T. Klepsland","O","Hjertås","L","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013152327,"7948250c-6958-4a29-a670-ed1015b26252",10.2261,59.167,2017,6,20,"Norway","223233","Jon T. Klepsland","O","Hjertås","L","Vestfold","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
