"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","recordedBy","stateProvince","notes","citation","doi"
1676072638,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.7507,43.835117,2016,8,24,"Russian Federation","48849-771","FR","Schachetal oberhalb von Solochaul","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1676072660,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.7507,43.835117,2016,8,24,"Russian Federation","48850-771","FR","Schachetal oberhalb von Solochaul","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1065694162,"905daf20-04fd-11df-8c28-b8a03c50a862",12.90822,55.952,2012,8,13,"Sweden","48374","UME","Bälteberga","General","N. Alsthin",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
919263310,"7948250c-6958-4a29-a670-ed1015b26252",5.9571,59.1026,2012,10,3,"Norway","184684","O","Strand: Vatland NR","L","Björn Nordén, J.B. Nordahl","Rogaland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1901120080,"a48c2e76-4984-4540-9bf6-f4d579ed7d99",-2.218,43.229,2012,12,26,"Spain","880","ARAN","Zestoa, Zestoa-Aizarna","Fungi","Olariaga I.","Gipuzkoa","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Olariaga Ibarguren I (2018). Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi. Version 1.4. Aranzadi Science Society. Occurrence dataset https://doi.org/10.15470/dtsml1 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15470/dtsml1"
914898955,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.816667,52.70695,2011,4,24,"Poland","35785","FR","Bia&#322;owie&#380;a, am Waldpfad ""Zebra Zubra""","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1324740694,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.67105,59.10008,2010,4,17,"Norway","93507","BG","ved Hellandsvågen","L","Johnsen, J.I.","Rogaland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1930708632,"d415c253-4d61-4459-9d25-4015b9084fb0",15.5708,47.2083,2009,10,26,"Austria","03303859","NY","Steiermark (=Styria), Eastern Alps, Styrian Fringe Mountains, Grazer Bergland, Raabklamm (orographically right side of the river Raab), 4.3 km west-southwest of Weiz, 0.2 km northwest of a water power station, near a dilapidated saw mill. (grid number 8759/3)","NY","J. Hafellner","Styria","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Ramirez J, Tulig M, Watson K, Thiers B (2020). The New York Botanical Garden Herbarium (NY). Version 1.27. The New York Botanical Garden. Occurrence dataset https://doi.org/10.15468/6e8nje accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/6e8nje"
914898645,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.934167,44.206117,2004,5,16,"Russian Federation","15884","FR","Kaukasus, Mezmai, gegenüber den Felsen über dem Kurdzhips","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
914899001,"828a3d8c-f762-11e1-a439-00145eb45e9a",27.408333,42.05,2004,8,30,"Bulgaria","16434","FR","Strandza, Bachtal nördlich von Brasljan","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
