"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy","notes","citation","doi"
1833735198,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.536917,53.696967,2017,11,4,"Germany","50528-771","FR","Karstorf","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1056008475,"7e380070-f762-11e1-a439-00145eb45e9a",9.307249,40.889953,2012,8,15,"Italy","BM000501806","NHMUK","Olbia-Tempio","BOT","Sardegna","Tiziana Cossu","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum (2020). Natural History Museum (London) Collection Specimens. Occurrence dataset https://doi.org/10.5519/0002965 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.5519/0002965"
2425460663,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.46,42.14,2011,3,26,"Spain","19922","BCN","El Corb","Lich","Girona","Esteve Llop","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
2425459830,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.45,42.23,2008,4,29,"Spain","19809","BCN","L'Espunya","Lich","Girona","Esteve Llop & Antonio Gómez-Bolea","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
1826813508,"7f2889e6-f762-11e1-a439-00145eb45e9a",1.32,39.04,2008,9,9,"Spain","16737","BCN","Illa d’Eivissa: Sant Antoni de Portmany, Santa Agnès de Corona, Es Pla de Corona","Lich","Illes Balears","Néstor L. Hladun & Gemma Figueras","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
1826814319,"7f2889e6-f762-11e1-a439-00145eb45e9a",1.27,38.91,2008,9,12,"Spain","16782","BCN","Illa d’Eivissa: Sant Josep de Sa Talaia, carretera de Sant Josep de Sa Talaia a Cala Vedella, camino a Sa Talaia de Sant Josep, laderas de la cumbre y cumbre de Sa Talaia","Lich","Illes Balears","Néstor L. Hladun & Gemma Figueras","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
2425460225,"7f2889e6-f762-11e1-a439-00145eb45e9a",2.33,42.23,2007,10,30,"Spain","19749","BCN","Falgars","Lich","Girona","Esteve Llop & Antonio Gómez-Bolea","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Guardia R (2019). CeDoc de Biodiversitat Vegetal: BCN-Lich. CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona. Occurrence dataset https://doi.org/10.15468/mpc1pf accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/mpc1pf"
1501022939,"95e635d4-f762-11e1-a439-00145eb45e9a",-0.24,39.06,2006,2,27,"Spain","658193","BDBCV","Barranc de Bolomor","BDBCV-General","Valencia","S. Fos MartÃ­n","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Ranz J (2017). Banco de Datos de la Biodiversidad de la Comunitat Valenciana. Biodiversity data bank of Generalitat Valenciana. Occurrence dataset https://doi.org/10.15468/b4yqdy accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/b4yqdy"
1212243418,"85739778-f762-11e1-a439-00145eb45e9a",-4.0667,48.2,2006,7,31,"France","108838","B","FRANCE, Bretagne, Finistère: Chateaulin, along N shore of River Aulne near Ty Carré. Elev. 10 m.","Lichen Herbarium Berlin",NA,"A. Aptroot","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1212243435,"85739778-f762-11e1-a439-00145eb45e9a",-4.0667,48.2,2006,7,31,"France","108972","B","FRANCE, Bretagne, Finistère: Chateaulin, along N shore of River Aulne near Ty Carré. Elev. 10 m.","Lichen Herbarium Berlin",NA,"A. Aptroot","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
