"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","notes","citation","doi"
2235561933,"e553568e-2317-4592-8638-92e5ac93b40c",6.03639,48.62528,"54 Meurthe-et-Moselle",2018,1,20,"France","NCY021815","Mahévas, Th.","CJBN","NCY",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","MNHN, Chagnoux S (2020). Herbarium specimens of Jardins botaniques and Conservatoire Botanique of Nancy (NCY). Version 70.192. Herbier des conservatoires et jardins botaniques de Nancy. Occurrence dataset https://doi.org/10.15468/g1zohr accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/g1zohr"
1901096516,"a48c2e76-4984-4540-9bf6-f4d579ed7d99",-7.0342,42.245052,"Ourense",2018,5,25,"Spain","9776","Prieto, M. & Olariaga, I.","ARAN","Fungi","A Veiga, A Veiga-Valdín-O Val","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Olariaga Ibarguren I (2018). Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi. Version 1.4. Aranzadi Science Society. Occurrence dataset https://doi.org/10.15470/dtsml1 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15470/dtsml1"
2248479798,"7948250c-6958-4a29-a670-ed1015b26252",9.9541,59.2194,"Vestfold",2018,5,NA,"Norway","225354","Dagny Mandt","O","L","Kristiansås nord for Kvelde","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1932864609,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",9.321715,59.125338,"Telemark",2018,6,6,"Norway","JK18-252","Klepsland, Jon T.","BioFokus","BioFokus","Solstad V (Maurhøgda)","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
2449421411,"7948250c-6958-4a29-a670-ed1015b26252",9.3217,59.1253,"Telemark",2018,6,6,"Norway","226403","Jon T. Klepsland","O","L","Solstad V (Maurhøgda)","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1838832126,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",9.406182,59.044348,"Telemark",2017,5,1,"Norway","4015Høi","Høitomt, Torbjørn","BioFokus","BioFokus","Eiklund","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1981552568,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",9.4062,59.0443,"Telemark",2017,5,1,"Norway","15676/1","Torbjørn Høitomt","TRH","L","Eiklund","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2013152746,"7948250c-6958-4a29-a670-ed1015b26252",10.0511,59.2593,"Vestfold",2017,11,17,"Norway","223608","Jon T. Klepsland","O","L","Rønningsvannet NØ","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1851914108,"c711c16e-8db5-4f66-aa06-03d9e472fbbc",10.137881,47.440586,NA,2016,9,28,"Germany","MB-004970 / 804930 / 435438","Rexer, K.-H. (no. KR 14586)","MB","MBcoll","Deutschland, Bayern, Oberstdorf, Balderschwang, Scheueralpe","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Fungal, Lichen and Plant Collections at the Herbarium Marburgense. Occurrence dataset https://doi.org/10.15468/7o2xuw accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/7o2xuw"
2013150833,"7948250c-6958-4a29-a670-ed1015b26252",8.2917,59.4081,"Telemark",2015,6,9,"Norway","221727","Jon T. Klepsland","O","L","Flekkstveit-Lindevik","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
