"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","DB","BBarcode","b1test","name"
2235010614,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.51695,52.56055,2016,"2",21,"Germany","Acer negundo-Bestand gegenüber von Sportplatz ""Am Breiten Luch""/Wartenberger Str.","55883-862",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,89,"Bacidina neosquamulosa"
1262181449,"85739778-f762-11e1-a439-00145eb45e9a",13.3583,52.46,2015,"5",10,"Germany","GERMANY, Land Berlin, Schöneberg: Naturpark Südbahnhofgelände. Alt. c. 50 m.","193275","H. Sipman and P. & B. van den Boom","B","Lichen Herbarium Berlin",NA,"GBIF",NA,91,"Bacidina neosquamulosa"
1233359654,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.886383,50.930133,2014,"6",15,"Poland","Kammerswaldau, an der Mufflonhütte","40963",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,59,"Bacidina neosquamulosa"
1060551539,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.158333,50.95,2014,"10",27,"Germany","am Kohlichtgraben","38360",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,81,"Bacidina neosquamulosa"
1085604048,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87305,51.295283,2014,"10",2,"Germany","Königshöhe, 200 m westlich","38774",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,89,"Bacidina neosquamulosa"
1085604050,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.896133,51.3267,2014,"10",2,"Germany","im Bereich der ehem. Ortslage Otterschütz, westlich vom Otterbach","38772",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,89,"Bacidina neosquamulosa"
1085604053,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87075,51.29705,2014,"10",2,"Germany","Königshöhe, 350 m WNW","38770",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,89,"Bacidina neosquamulosa"
1288099921,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.4557,52.543617,2013,"9",13,"Germany","Berlin-Weißensee, Jüdischer Friedhof, Grabfeld C 1","43271",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,90,"Bacidina neosquamulosa"
911920308,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.663883,50.847217,2012,"5",19,"Czechia","Lauschemoor","33546",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,65,"Bacidina neosquamulosa"
1212046307,"85739778-f762-11e1-a439-00145eb45e9a",13.4417,52.445,2011,"4",12,"Germany","GERMANY, Berlin: Britz, in front of Albert-Einstein-Schule, Parchimer Allee 109. Alt. c. 40 m.","136844","H. Sipman & L. Zedda","B","Lichen Herbarium Berlin",NA,"GBIF",NA,91,"Bacidina neosquamulosa"
1212045216,"85739778-f762-11e1-a439-00145eb45e9a",13.7688,53.0873,2007,"3",24,"Germany","GERMANY, Brandenburg: Landkr. Uckermark. Ca. 1 km W of Neu Temmen, towards Temmen. Alt. 70 m.","99018","H. Sipman, A. Aptroot & D. Heinrich","B","Lichen Herbarium Berlin",NA,"GBIF",NA,85,"Bacidina neosquamulosa"
1212043133,"85739778-f762-11e1-a439-00145eb45e9a",13.8333,52.4917,2006,"4",30,"Germany","GERMANY, Brandenburg: Rüdersdorf, industrial zone S of lake Stienitzsee, near cement works. Alt. 60 m.","85527","H. Sipman & P. van den Boom","B","Lichen Herbarium Berlin",NA,"GBIF",NA,90,"Bacidina neosquamulosa"
911920098,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.4875,52.091667,2005,"10",12,"Germany","Niederlausitz, Schlaubetal, Schlaubemühle, nördlich, nahe der Schlaube, nördlich der Teiche","23207",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,88,"Bacidina neosquamulosa"
NA,NA,13.364395,52.513562,2005,"11-Jun",NA,"GERMANY","GERMANY, Berlin: Thiergarten gardens, near entrance of park maintenance yard at Bellevue str. Alt. ca. 40 m.","67757","H. Sipman","BERLIN_DB",NA,NA,"BERLIN_DB","B 60 0130442",91,"Bacidina neosquamulosa"
1057248755,"7e380070-f762-11e1-a439-00145eb45e9a",5.606046,52.53098,1999,"11",19,"Netherlands",NA,"BM000501158","A Aproot","NHMUK","BOT","Flevoland","GBIF",NA,91,"Bacidina neosquamulosa"
