"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","DB","BBarcode"
152909990,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,1987,"9",15,"Slovenia",NA,"F775728","Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
NA,NA,9.397062,49.930299,1955,"10. Juli",NA,"GERMANY","DEUTSCHLAND, Bayern: Spessart, Weibersbrunn, Metzger. Alt. 300 m.","178234","O. Behr","BERLIN_DB",NA,NA,"BERLIN_DB","B 60 0024785"
1701215256,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",9.315456,48.831538,1948,"6",NA,"Germany","Near Waiblingen","C0098461F","E. Putzler","F","Botany","Baden-Württemberg","GBIF",NA
442140659,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.760278,47.994167,1916,"4",21,"Germany","Baden: Mooswald bei Freiburg","B 60 0128003 / 149222 / 91334","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA
442143432,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.63,47.806667,1914,"6",1,"Germany","Baden: Müllheimer Eichwald, bei Vogisheim","B 60 0024782 / 145648 / 90033","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA
442143428,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.730278,47.662777,1913,"4",13,"Germany","Baden: 1) Südwestlich Hägelberg","B 60 0024781 / 145645 / 90032","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA
442143431,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.661667,47.612778,1913,"5",22,"Germany","Baden:  4) Lörrach - Adelhausen","B 60 0024781c / 149785 / 91552","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA
442143435,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.661667,47.612778,1912,"1",NA,"Germany","Baden: Lörrach - Adelhausen","B 60 0024783b / 152097 / 92492","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA
442143436,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.661667,47.612778,1912,"4",19,"Germany","Baden: Lörrach - Adelhausen","B 60 0024783c / 152099 / 92493","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA
442143430,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.790278,47.602222,1912,"7",7,"Germany","Baden: 3) Minseln - Nordschwaben","B 60 0024781b / 149783 / 91551","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA
442143429,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.643611,47.64389,1911,"10",12,"Germany","Baden: 2) Rümminger Wald","B 60 0024781a / 149781 / 91550","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA
442143433,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.661667,47.612778,1911,"10",11,"Germany","Baden: Lörrach - Adelhausen","B 60 0024783 / 145649 / 90034","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA
442143434,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.661667,47.612778,1911,"10",19,"Germany","Baden: Lörrach - Adelhausen","B 60 0024783a / 152095 / 92491","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA
