"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
741254,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",10.713611,54.772778,1967,"7",14,"Denmark","1087658","Gunnar Degelius","LD","Magleby","General","Langeland","GBIF",NA,82,"Diploicia canescens"
NA,NA,19.9524,48.216169,1965,"19.8.1965",NA,NA,"M-0302898","I. Pišút","MUNICH_HTL","Slovakia, Ragačské kpce, Hajnáčka",NA,NA,"MUNICH_HTL",NA,92,"Diploicia canescens"
NA,NA,6.760524,50.553692,1964,"11. April",NA,"GERMANY","97398","H. Breuer","BERLIN_DB","DEUTSCHLAND, Nordrhein-Westfalen: Münstereifel, Stadtmauer.",NA,NA,"BERLIN_DB","B 60 0141333",84,"Diploicia canescens"
NA,NA,6.795323,50.671785,1963,"Dezember",NA,"GERMANY","107205","Th. Müller","BERLIN_DB","DEUTSCHLAND, Nordrhein-Westfalen: Kl. Vernich, Kreis Euskirchen, Erft-Ufer, 120 m s.m.",NA,NA,"BERLIN_DB","B 60 0159140",96,"Diploicia canescens"
NA,NA,6.826539,50.735849,1959,"16. Aug.",NA,"GERMANY","97396","Th. Müller","BERLIN_DB","DEUTSCHLAND, Nordrhein-Westfalen: Kr. Euskirchen, Vernich, Kopfweide, Erftufer. Alt. 120 m ü. M.",NA,NA,"BERLIN_DB","B 60 0141335",97,"Diploicia canescens"
2513163952,"15f819bd-6612-4447-854b-14d12ee1022d",5.690973,50.851368,1950,"5",25,"Netherlands","L  0165895","Maas Geesteranus RA",NA,"Kasteel Neercanne","Botany","Limburg","GBIF",NA,99,"Diploicia canescens"
2237906482,"84d26682-f762-11e1-a439-00145eb45e9a",12.1,54.85,1943,"5",31,"Denmark","DMS-1040886","Mogens Skytte Christiansen",NA,"Åstrup",NA,NA,"GBIF",NA,83,"Diploicia canescens"
2237877209,"84d26682-f762-11e1-a439-00145eb45e9a",12.20813,54.94154,1943,"6",1,"Denmark","DMS-1013841","Mogens Skytte Christiansen",NA,"Marienborg",NA,NA,"GBIF",NA,83,"Diploicia canescens"
2237877032,"84d26682-f762-11e1-a439-00145eb45e9a",11.21721,54.91115,1942,"8",9,"Denmark","DMS-1014227","Paul Gelting",NA,"Horslunde",NA,NA,"GBIF",NA,82,"Diploicia canescens"
2513163992,"15f819bd-6612-4447-854b-14d12ee1022d",5.250773,51.813554,1942,"12",20,"Netherlands","L  0165824","Maas Geesteranus RA",NA,"Gameren","Botany","Gelderland","GBIF",NA,94,"Diploicia canescens"
