"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
788556762,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.560556,48.725556,"Baden-Württemberg",1969,"5",5,"Germany","1313944","Felix Schumm","LD","Nassachmühle","General","GBIF",NA,89,"Flavoparmelia caperata"
1212105036,"85739778-f762-11e1-a439-00145eb45e9a",7.45,47.9333,NA,1967,NA,NA,"France","178840","H. Reznik","B","FRANCE, Dep. Haut-Rhin: Alsace, Rüstenhart near Colmar.","Lichen Herbarium Berlin","GBIF",NA,101,"Flavoparmelia caperata"
NA,NA,9.05,48.533333,NA,1964,"15.11.1964",NA,"Deutschland",NA,"W.U. Berthold","BERLIN_HTL","Tübingen",NA,"BERLIN_HTL",NA,89,"Flavoparmelia caperata"
788546836,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",5.595556,49.647222,"Luxembourg",1963,"4",18,"Belgium","1303969","G. Thiry","LD","Buzenol","General","GBIF",NA,87,"Flavoparmelia caperata"
NA,NA,9.196558,47.705563,NA,1963,"08. April",NA,"GERMANY","97422","H. Breuer","BERLIN_DB","DEUTSCHLAND, Baden-Württemberg: Bodensee, Insel Mainau.",NA,"BERLIN_DB","B 60 0146372",95,"Flavoparmelia caperata"
NA,NA,6.954622,50.598215,NA,1963,"29. Juli",NA,"GERMANY","97425","H. Breuer","BERLIN_DB","DEUTSCHLAND, Nordrhein-Westfalen: Kr. Bonn, Rheinbach, Rheinbacher Stadtwald.",NA,"BERLIN_DB","B 60 0146371",89,"Flavoparmelia caperata"
NA,NA,6.950146,50.626653,NA,1962,"",NA,"GERMANY","97424","H. Breuer","BERLIN_DB","DEUTSCHLAND, Nordrhein-Westfalen: Kr. Bonn, Rheinbach.",NA,"BERLIN_DB","B 60 0146361",95,"Flavoparmelia caperata"
788557061,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.900278,45.997778,"Ticino",1961,"7",11,"Switzerland","1314244","C. M. Norrman","LD","Agno","General","GBIF",NA,110,"Flavoparmelia caperata"
NA,NA,8.962099,49.50375,NA,1961,"May",NA,"GERMANY","179220","H. Reznik","BERLIN_DB","GERMANY, Baden-Württemberg: Nordbaden, Odenwald. Gammelsbachtal near Eberbach.",NA,"BERLIN_DB","B 60 0190782",89,"Flavoparmelia caperata"
NA,NA,8.857772,49.419536,NA,1961,"easter",NA,"GERMANY","179219","H. Reznik","BERLIN_DB","GERMANY, Hessen: Odenwald, Darsberg near Klein-Gemünd. Wald am Vogelherd.",NA,"BERLIN_DB","B 60 0190641",89,"Flavoparmelia caperata"
