"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy","DB","b1test","name","BBarcode"
1839175414,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.971383,51.138883,2018,2,26,"Germany","53024-771","FR","Görlitz, Südstadt, Kreuzkirchenpark","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",83,"Flavoparmelia soredians",NA
1987572325,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.547217,51.309167,2018,4,12,"Germany","54281-771","FR","Spreeaue zwischen Halbendorf & Neudorf","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",87,"Flavoparmelia soredians",NA
2365719605,"85739778-f762-11e1-a439-00145eb45e9a",5.1677,52.0858,2018,12,29,"Netherlands","201551","B","THE NETHERLANDS, Utrecht: Uithof university campus, Padua laan W of Transitorium III. Elev. c. 10 m.","Lichen Herbarium Berlin",NA,"H. Sipman & A. Aptroot","GBIF",93,"Flavoparmelia soredians",NA
1675764046,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.678783,50.839583,2017,7,16,"Poland","49160-771","FR","zwischen Warmbrunn & Giersdorf, beim Abzweig des Fahrweges durch die Aue","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",69,"Flavoparmelia soredians",NA
1657181595,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,2016,4,5,"Croatia","000330137","GZU","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","Herbarium GZU",NA,"Mayrhofer,Helmut & Prettner,Matthias","GBIF",103,"Flavoparmelia soredians",NA
1675763915,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.82205,51.656033,2016,6,20,"Germany","43343","FR","Autobahnraststätte Plötzetal/ Ost","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",89,"Flavoparmelia soredians",NA
1500365571,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",13.599444,45.152222,2016,9,23,"Croatia","E00817841","E","Istria, Vrsar, 200 m north of the harbour, 100 m east of the bathing beach, path to a vantage point on a small rocky hill","E",NA,"Obermayer, Walter","GBIF",143,"Flavoparmelia soredians",NA
1836418062,"85739778-f762-11e1-a439-00145eb45e9a",5.31,52.1517,2016,12,27,"Netherlands","195609","B","THE NETHERLANDS, Utrecht: Soest, nature reserve Korte Duinen, afforestation in former Zonnegloren area. Alt. 10 m.","Lichen Herbarium Berlin",NA,"H. Sipman & A. Aptroot","GBIF",92,"Flavoparmelia soredians",NA
1675763876,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.595278,50.0814,2015,2,13,"Germany","221463","FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",97,"Flavoparmelia soredians",NA
1675763852,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.664972,49.876528,2014,6,22,"Germany","217349","FR","Darmstadt, Mathildenhöhe/Nikolaiweg, Untersuchungsgebiet 4, Aufnahmebaum 6","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",97,"Flavoparmelia soredians",NA
1675763853,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.078944,50.078944,2014,7,15,"Germany","218128","FR","Untermainebene, Frankfurt, Schwanheim, Schwanheimer Wald, Schwanheimer Bahnstraße, westl. des Spielparkes","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",81,"Flavoparmelia soredians",NA
1675763854,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.605228,50.076132,2014,7,15,"Germany","218142","FR","Untermainebene, Frankfurt, Goldstein, Unterschweinstiegschneise, Waldfriedhof","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",97,"Flavoparmelia soredians",NA
1675763862,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.583734,50.077225,2014,7,15,"Germany","218135","FR","Untermainebene, Frankfurt, Schwanheim, Schwanheimer Wald, Rechte Wiese"" östl. der Schwanheimer Bahnstraße""","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",97,"Flavoparmelia soredians",NA
1675763863,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.632679,50.138744,2014,7,14,"Germany","218124","FR","Main-Taunusvorland, Frankfurt, Nordwesten, Volkspark Niddatal, südlicher Bereich","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",99,"Flavoparmelia soredians",NA
1212105093,"85739778-f762-11e1-a439-00145eb45e9a",5.26,52.1433,2013,12,28,"Netherlands","186227","B","THE NETHERLANDS, Utrecht: Soesterberg, former airfield, near ecoduct Op Hees. Alt. 10 m.","Lichen Herbarium Berlin",NA,"H. Sipman & A. Aptroot","GBIF",92,"Flavoparmelia soredians",NA
911958251,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87195,51.517783,2011,8,16,"Germany","29509","FR","Schipkau","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",89,"Flavoparmelia soredians",NA
911958281,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.89445,51.326383,2010,9,22,"Germany","30037","FR","Oberlausitz, NSG Königsbrücker Heide, südlich der Dorfstelle Otterschütz","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",89,"Flavoparmelia soredians",NA
