"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","DB","BBarcode","b1test","name"
2235561948,"e553568e-2317-4592-8638-92e5ac93b40c",6.03639,48.62528,"54 Meurthe-et-Moselle",2018,"1",20,"France","NCY021819","Mahévas, Th.","CJBN","NCY",NA,"GBIF",NA,92,"Hypotrachyna afrorevoluta"
1832335803,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.531,51.300417,NA,2016,"4",20,"Germany","48988-771",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Halbendorf/ Spree W","GBIF",NA,87,"Hypotrachyna afrorevoluta"
1675794545,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.9577,47.966867,NA,2016,"9",16,"France","49072-771",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","beim Wildensteiner Stausee, neben dem Sportplatz","GBIF",NA,62,"Hypotrachyna afrorevoluta"
1675788162,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.294635,50.156017,NA,2015,"1",9,"Germany","221529",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Hoher Taunus, das Theißtal westl. von Niedernhausen, Feldkreuz bei den Fischteichen","GBIF",NA,86,"Hypotrachyna afrorevoluta"
1675788109,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.595,50.082817,NA,2015,"2",13,"Germany","221461",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Frankfurt, Schwanheimer Wald","GBIF",NA,97,"Hypotrachyna afrorevoluta"
1675788160,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.5602,50.066111,NA,2015,"3",8,"Germany","221482",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Frankfurt, Unterwald","GBIF",NA,97,"Hypotrachyna afrorevoluta"
1270682659,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.282333,50.91995,NA,2015,"10",13,"Germany","42807",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Lorenzsteine","GBIF",NA,76,"Hypotrachyna afrorevoluta"
1675788099,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.605228,50.076132,NA,2014,"7",15,"Germany","218140",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Untermainebene, Frankfurt, Goldstein, Unterschweinstiegschneise, Waldfriedhof","GBIF",NA,97,"Hypotrachyna afrorevoluta"
1675788121,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.583734,50.077225,NA,2014,"7",15,"Germany","218130",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Untermainebene, Frankfurt, Schwanheim, Schwanheimer Wald, Rechte Wiese"" östl. der Schwanheimer Bahnstraße""","GBIF",NA,97,"Hypotrachyna afrorevoluta"
1675788116,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.5986,50.083889,NA,2014,"9",24,"Germany","221194",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Frankfurt, Schwanheimer Wald","GBIF",NA,99,"Hypotrachyna afrorevoluta"
1061067479,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.197367,50.946383,NA,2014,"10",28,"Germany","38441",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","im Sebnitztal","GBIF",NA,78,"Hypotrachyna afrorevoluta"
1675793864,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.957317,47.668283,NA,2014,"11",15,"Germany","264229",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Regierungsbezirk Oberbayern, Landkreis Weilheim-Schongau, Gemeinde Wildsteig, Wildmoos bei Peustelsau (Probenfläche 894)","GBIF",NA,70,"Hypotrachyna afrorevoluta"
1675793877,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.141717,47.636317,NA,2014,"11",15,"Germany","264165",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Regierungsbezirk Oberbayern, Landkreis Garmisch-Partenkirchen, Gemeinde Schwaigen, Murnauer Moos, Bärenfilz (Probenfläche 891)","GBIF",NA,83,"Hypotrachyna afrorevoluta"
1675794591,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.8564,51.0692,NA,2013,"4",23,"Germany","35035-776",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Schönau-Berzdorf, Waldbachtal","GBIF",NA,80,"Hypotrachyna afrorevoluta"
1052816568,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.29805,50.910417,NA,2013,"10",29,"Germany","38503",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Großer Zschand, beim Zeughaus","GBIF",NA,74,"Hypotrachyna afrorevoluta"
911979333,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87195,51.517783,NA,2011,"8",3,"Germany","29516",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Schipkau","GBIF",NA,89,"Hypotrachyna afrorevoluta"
