"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","DB","BBarcode","b1test","name"
788545837,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",10.776389,47.538611,"Bayern",1968,"8",28,"Germany","1302967","A. Schröppel","LD","General","Bleckenau","GBIF",NA,41,"Hypotrachyna afrorevoluta"
NA,NA,10.564371,47.569483,NA,1956,"17.5.1956",NA,NA,"M-0163748","A. Schröppel","MUNICH_HTL",NA,"Germany, Bavaria, Allgäu, Pfronten, Steinach","MUNICH_HTL",NA,56,"Hypotrachyna afrorevoluta"
NA,NA,10.574982,47.547683,NA,1954,"15.8.1954",NA,NA,"M-0163737","A. Schröppel","MUNICH_HTL",NA,"Germany, Bavaria, Allgäu, Pfronten, Reichenbach","MUNICH_HTL",NA,56,"Hypotrachyna afrorevoluta"
NA,NA,10.481094,47.565849,NA,1953,"4.3.1953",NA,NA,"M-0163753","A. Schröppel","MUNICH_HTL",NA,"Germany, Bavaria, Allgäu, Pfronten, Vilstal","MUNICH_HTL",NA,52,"Hypotrachyna afrorevoluta"
788574362,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.80583,54.18883,"Schleswig-Holstein",1950,"4",30,"Germany","1332393","W. Saxen","LD","General","No locality information available","GBIF",NA,82,"Hypotrachyna afrorevoluta"
788550799,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.2975,54.407222,"Schleswig-Holstein",1950,"5",28,"Germany","1307947","W. Saxen","LD","General","Wohlde","GBIF",NA,83,"Hypotrachyna afrorevoluta"
788580022,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.340556,48.791667,"Baden-Württemberg",1948,"3",13,"Germany","1338333","E. Putzler","LD","General","Stetten im Remstal","GBIF",NA,94,"Hypotrachyna afrorevoluta"
788571506,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",10.305278,53.939167,"Schleswig-Holstein",1948,NA,NA,"Germany","1329393","Johannes Ullrich","LD","General","Bad Segeberg","GBIF",NA,81,"Hypotrachyna afrorevoluta"
788550679,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.42322,48.9469,"Bayern",1896,"8",NA,"Germany","1307827","F. Arnold","LD","General","No locality information available","GBIF",NA,77,"Hypotrachyna afrorevoluta"
788574252,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.346667,47.936389,"Bayern",1893,"6",18,"Germany","1332273","Arnold","LD","General","Allmannshausen","GBIF",NA,79,"Hypotrachyna afrorevoluta"
NA,NA,8.020932,53.18471,NA,1892,"Jan.",NA,"GERMANY","148576","Sandstede","BERLIN_DB",NA,"DEUTSCHLAND, Niedersachsen: [Ohrwege bei Zwischenahn in Oldenburg]","BERLIN_DB","B 60 0024654",87,"Hypotrachyna afrorevoluta"
NA,NA,12.01127,47.866213,NA,1882,"21-May",NA,"GERMANY","191533","Arnold","BERLIN_DB",NA,"DEUTSCHLAND, Bayern: [Hochpangerfilz bei Aibling in Oberbayern]","BERLIN_DB","B 60 0024636",85,"Hypotrachyna afrorevoluta"
NA,NA,11.505027,47.752339,NA,1880,"Oct.",NA,"GERMANY","191534","Arnold","BERLIN_DB",NA,"DEUTSCHLAND, Bayern: [An Buchen in der Waldschlucht des Zwiesel ober dem Stallauer Weier bei Tölz, Oberbayern]","BERLIN_DB","B 60 0024635",78,"Hypotrachyna afrorevoluta"
