"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","stateProvince","institutionCode","collectionCode","DB","BBarcode"
2013149106,"7948250c-6958-4a29-a670-ed1015b26252",13.1819,47.9306,2017,"10",26,"Austria","Northern Alpine Foreland, Flachgau Region (=Salzburg Umgebung District), 16.4 km northwest of the centre of Salzburg, Köstendorf 650 m soutwest of Weng, western bank of the brook Wallerbach","211772","Roman Türk","Salzburg","O","L","GBIF",NA
1836420352,"85739778-f762-11e1-a439-00145eb45e9a",5.31,52.1517,2016,"12",27,"Netherlands","THE NETHERLANDS, Utrecht: Soest, nature reserve Korte Duinen, afforestation in former Zonnegloren area. Alt. 10 m.","195608","H. Sipman & A. Aptroot",NA,"B","Lichen Herbarium Berlin","GBIF",NA
1675788158,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.294635,50.156017,2015,"1",9,"Germany","Hoher Taunus, das Theißtal westl. von Niedernhausen, Feldkreuz bei den Fischteichen","221523",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1675788321,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.778583,50.635633,2013,"8",31,"Germany","[Stützerbach am Rennsteig], am ""Mordfleck""","44029",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1212124986,"85739778-f762-11e1-a439-00145eb45e9a",5.26,52.1433,2013,"12",28,"Netherlands","THE NETHERLANDS, Utrecht: Soesterberg, former airfield, near ecoduct Op Hees. Alt. 10 m.","186226","H. Sipman & A. Aptroot",NA,"B","Lichen Herbarium Berlin","GBIF",NA
911979444,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.66055,50.848883,2012,"5",19,"Czechia","Lauschemoor, Wäldchen im Nordwesten","33531",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
911979435,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.101117,50.98,2012,"10",9,"Germany","Elbsandsteingebirge, auf dem Hocksteingipfel","34008",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
911979450,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.283883,50.905283,2012,"10",10,"Germany","Elbsandsteingebirge, Lärchenbestand am Roßsteig nahe der Goldsteinaussicht","33919",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
911979253,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.532217,51.926383,2011,"3",27,"Germany","zwischen Tauer & Bärenklau, unweit von Krolls Lauch","29448",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
2028330659,"ee4d0706-38af-4bc4-8539-e17c0ca8512e",5.283333,52.066667,2005,"11",5,"Netherlands","Zeist, near railway station along main road","47862","Lutzoni, François; Aptroot, André","Utrecht","DUKE",NA,"GBIF",NA
1935695966,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.85694,47.28333,2003,"5",17,"Austria","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Schönegg, Schönau bei Pöllau, Bereich zwischen der Ortschaft Tutten und er Landesstraße nach Pöllau [415 m, 8761/1 (47°17'00""N, 15°51'25""E ±200 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","0042624","Suppan,Ursula",NA,"GJO","Herbarium GJO","GBIF",NA
1872036740,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",5.748663,50.464369,2003,"7",10,"Belgium","Mouth of Ninglingspo valley","C1017741F","A. Aptroot","Liége","F","Botany","GBIF",NA
911978979,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.557633,46.3357,2003,"8",1,"Slovenia","Julische Alpen, Bovec, Ortslage, bei der unteren Kirche","15457",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1717209681,"cef8bb20-149a-11de-bab0-b8a03c50a862",21.4309,53.6869,2000,"4",30,"Poland","p: warminsko-mazurskie; c: Mrągowo; Krutyń",NA,"Fałtynowicz, W.","warminsko-mazurskie","MNHW",NA,"GBIF",NA
1099013770,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.58333,48.133339,1989,"2",5,"Germany","Germany, Bavaria, Upper Bavaria, München, Botanischer Garten, am Eingang, Wegmarke 18, 150cm above ground, O.","M-0162111 / 471557 / 190698","Deuter, H. (no. 0538)",NA,"SNSB-M","BSMlichenscoll","GBIF",NA
1099013780,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.58333,48.133339,1988,"7",23,"Germany","Germany, Bavaria, Upper Bavaria, München, Landkreis Bertesgaden, direkt am Hintersee (nördlich).","M-0161782 / 468709 / 188224","Deuter, H. (no. 0198)",NA,"SNSB-M","BSMlichenscoll","GBIF",NA
2449363274,"85739778-f762-11e1-a439-00145eb45e9a",6.5667,47.8333,1983,"9",7,"France","FRANKREICH, Dep. Haute Saône: Faucogney, Mauern und Baumstämme im Ortskern ca.400 mü. NN.  und Porphyrfelsklippen östlich des Ortes ca. 450 m ü.NN.","115036","Frahm, Hakelier, Huerlimann",NA,"B","Lichen Herbarium Berlin","GBIF",NA
152930668,"89579e3e-f762-11e1-a439-00145eb45e9a",15.911726,46.399707,1980,"3",10,"Slovenia",NA,"F776108","Batič F.",NA,"ULBF-AGR","FloVegSI-FLO","GBIF",NA
152930662,"89579e3e-f762-11e1-a439-00145eb45e9a",14.745284,45.599752,1976,"6",15,"Slovenia",NA,"F775774","Batič F.",NA,"ULBF-AGR","FloVegSI-FLO","GBIF",NA
788550859,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.49935,47.19516,1966,"8",27,"Austria","No locality information available","1308007","M. Steiner","Tirol","LD","General","GBIF",NA
788552832,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.49935,47.19516,1963,"8",NA,"Austria","No locality information available","1309987","M. Steiner","Tirol","LD","General","GBIF",NA
1144697632,"f577c9f3-ae71-4278-b6bf-512ba1dfaa21",19.49167,48.7075,1962,"7",20,"Slovakia","Slovaquie - Slovakia boreoorient., Nizke Poloniny, in convalle rivi Hlboky potok prope pag. Nova Sedlica.","G-G-244565/1","Pisút, I. & L. Opold (Coll. Rondon)",NA,"G","Geneva Herbarium – General Collection (G)","GBIF",NA
788550979,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",21.22132,49.12644,1962,"7",20,"Slovakia","No locality information available","1308127","I. Pisút","Presovsky kraj","LD","General","GBIF",NA
2449365630,"85739778-f762-11e1-a439-00145eb45e9a",8.1833,48.65,1961,"4",6,"Germany","GERMANY, Baden-Württemberg: Nordschwarzwald, Schönbrunn bei Neusatzeck.","178777","H. Reznik",NA,"B","Lichen Herbarium Berlin","GBIF",NA
788550919,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.49935,47.19516,1960,"9",21,"Austria","No locality information available","1308067","M. Steiner","Tirol","LD","General","GBIF",NA
