"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","DB","BBarcode","b1test","name"
NA,NA,8.41371,48.466951,1969,"26.7.1969",NA,"Deutschland","Freudenstadt",NA,"H. Schindler","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,77,"Melanohalea laciniatula"
911996953,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.325283,48.519717,1968,"6",8,"Germany","Schwarzwald, Baiersbronn, an der Straße in Mitteltal","17763",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,78,"Melanohalea laciniatula"
911996798,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.37555,48.504167,1968,"7",8,"Germany","Schwarzwald, Freudenstadt, nahe dem Hotel ""Rappen""","8184",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,81,"Melanohalea laciniatula"
NA,NA,8.104946,47.904024,1968,"10.1968",NA,NA,"Germany, Baden-Württemberg, Black Forest, near Hinterzarten","M-0302877","F. Schuhwerk","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,65,"Melanohalea laciniatula"
2237885240,"84d26682-f762-11e1-a439-00145eb45e9a",9.404335,54.85168,1967,"7",4,"Denmark","Kruså","DMS-1019729","Svanhildur Svane",NA,NA,NA,"GBIF",NA,79,"Melanohalea laciniatula"
NA,NA,15.384273,49.227981,1965,"6.1965",NA,NA,"Czech Republic, Moravia, Telč, near Vel. Parezity","M-0302879","A. Vezda","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,66,"Melanohalea laciniatula"
NA,NA,6.477831,50.360743,1963,"13. Sept.",NA,"GERMANY","DEUTSCHLAND, Nordrhein-Westfalen: Kr. Schleiden, Kronenburg, Hammerhütte, Kyllbrücke.","97538","H. Breuer","BERLIN_DB",NA,NA,"BERLIN_DB","B 60 0141407",71,"Melanohalea laciniatula"
NA,NA,6.48731,50.360852,1963,"09. Sept.",NA,"GERMANY","DEUTSCHLAND, Nordrhein-Westfalen: Kr. Schleiden, Kronenburg, Kyll-Tal. Alt. 460 m ü. M.","97537","H. Breuer","BERLIN_DB",NA,NA,"BERLIN_DB","B 60 0141408",71,"Melanohalea laciniatula"
NA,NA,9.561385,50.67471,1961,"10.1961",NA,"Deutschland","Schlitz",NA,"W.U. Berthold","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,84,"Melanohalea laciniatula"
788508245,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",17.95532,49.83548,1955,"9",15,"Czechia","No locality information available","1264033","A. Vezda","LD","General","Moravskoslezsky kraj","GBIF",NA,71,"Melanohalea laciniatula"
