"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB"
1668754173,"61a9ca38-b62f-11e2-afcb-00145eb45e9a",8.2,48.6,NA,2016,9,3,"Germany","KR-M-0052056 / 627659 / 143054",NA,"SMNK","NSG 'Wilder See - Hornisgrinde', der Seekopf, NO-exponierte Karwand, Seeufernähe; BWS","SMNKfungicoll","GBIF"
1668754182,"61a9ca38-b62f-11e2-afcb-00145eb45e9a",8.2,48.6,NA,2014,10,9,"Germany","KR-M-0051807 / 580671 / 100520",NA,"SMNK","NSG ""Wilder See - Hornisgrinde"", Hinterer Pfälzer, NO-Hang, ca. 500 m O des Sees; BWS","SMNKfungicoll","GBIF"
1676059761,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.141717,47.636317,NA,2014,11,15,"Germany","264157",NA,"FR","Regierungsbezirk Oberbayern, Landkreis Garmisch-Partenkirchen, Gemeinde Schwaigen, Murnauer Moos, Bärenfilz (Probenfläche 891)","Herbarium Senckenbergianum (FR) - Fungi","GBIF"
1212166962,"85739778-f762-11e1-a439-00145eb45e9a",14.4333,47.8333,NA,1999,8,3,"Austria","138376","R. Türk","B","AUSTRIA, Oberösterreich (=Upper Austria), Kalkalpen National Park, Reichraminger Hintergebirge, 5.8 km SSW of Reichraming, Zöbelboden. Alt. 890 m.","Lichen Herbarium Berlin","GBIF"
152939360,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911995,46.399623,NA,1997,7,20,"Slovenia","F778605","Trošt T.","ULBF-AGR","Julijske Alpe","FloVegSI-FLO","GBIF"
152939344,"89579e3e-f762-11e1-a439-00145eb45e9a",14.078639,46.39963,NA,1996,7,7,"Slovenia","F778156","Trošt T.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF"
152939345,"89579e3e-f762-11e1-a439-00145eb45e9a",14.078639,46.39963,NA,1996,7,7,"Slovenia","F778175","Trošt T.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF"
152939355,"89579e3e-f762-11e1-a439-00145eb45e9a",14.078639,46.39963,NA,1996,7,7,"Slovenia","F778407","Trošt T.","ULBF-AGR","Julijske Alpe","FloVegSI-FLO","GBIF"
2237866863,"84d26682-f762-11e1-a439-00145eb45e9a",10.80883,54.89832,NA,1991,5,11,"Denmark","DMS-1004665","Svanhildur Svane",NA,"Næbbeskov",NA,"GBIF"
NA,NA,11.583333,48.15,NA,1892,5.1892,NA,NA,"M-0013391","Arnold","MUNICH_HTL","Germany, Bavaria, Munich, Wiehling",NA,"MUNICH_HTL"
NA,NA,11.550985,48.07373,NA,1892,5.1892,NA,NA,"M-0013392","Arnold","MUNICH_HTL","Germany, Bavaria, Munich, S of the Mentizschwaige",NA,"MUNICH_HTL"
