"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode"
152939716,"89579e3e-f762-11e1-a439-00145eb45e9a",14.578631,45.699733,"Notranjska",1997,"10",3,"Slovenia","F1017747","Pruegger J., Suppan U., Mayrhofer H., Batič F.","ULBF-AGR","Babno polje","FloVegSI-FLO","GBIF",NA
152939717,"89579e3e-f762-11e1-a439-00145eb45e9a",14.578631,45.699733,"Notranjska",1997,"10",3,"Slovenia","F1017748","Pruegger J., Suppan U., Mayrhofer H., Batič F.","ULBF-AGR","Babno polje","FloVegSI-FLO","GBIF",NA
152940316,"89579e3e-f762-11e1-a439-00145eb45e9a",15.411784,46.499674,NA,1995,"6",4,"Slovenia","F779038","Mayrhofer H.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152940343,"89579e3e-f762-11e1-a439-00145eb45e9a",14.745275,45.69974,NA,1995,"6",15,"Slovenia","F779446","Mayrhofer H., Batič F., Grube M., Suppan U.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152940347,"89579e3e-f762-11e1-a439-00145eb45e9a",14.745284,45.599752,NA,1992,"6",19,"Slovenia","F779477","Mayrhofer H., Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152940179,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,NA,1992,"10",14,"Slovenia","F775276","Grube M.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152940180,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,NA,1992,"10",14,"Slovenia","F775278","Grube M.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152940199,"89579e3e-f762-11e1-a439-00145eb45e9a",14.078706,45.599725,NA,1988,"10",15,"Slovenia","F775602","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152940208,"89579e3e-f762-11e1-a439-00145eb45e9a",14.078706,45.599725,NA,1986,"9",23,"Slovenia","F775959","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
234007804,"905daf20-04fd-11df-8c28-b8a03c50a862",5.22536,48.11051,NA,1960,"5",15,"France","61589","J. Lambinon","UME",NA,"General","GBIF",NA
125712288,"84cdd6d0-f762-11e1-a439-00145eb45e9a",14,55,"Bornholm",1937,"6",24,"Denmark","181","Paul Gelting","C","Ertholmene (NE of Bornholm): Christiansø, St. Hans Kilde","L","GBIF",NA
125712289,"84cdd6d0-f762-11e1-a439-00145eb45e9a",14,55,"Bornholm",1937,"7",11,"Denmark","187","Paul Gelting","C","Ertholmene (NE of Bornholm): Christiansø, at the school","L","GBIF",NA
1086301601,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",14,55,"Skåne",1934,"10",1,"Sweden","L51826","Herman Persson","S","Skåne: Södra Mellby sn, Stenshuvud","S-Fungi","GBIF",NA
442145150,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.838056,47.823334,NA,1922,"8",20,"Germany","B 60 0031895 / 146078 / 90194","Lettau, G.","B","Schwarzwald: Belchen - Südhang, bei ca. 1300 m","Blettaucoll","GBIF",NA
442145149,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.800556,47.59,NA,1916,"9",10,"Germany","B 60 0031893 / 146084 / 90196","Lettau, G.","B","Baden: Nordschwaben - Karsau (bei Rheinfelden)","Blettaucoll","GBIF",NA
442145148,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.838056,47.823334,NA,1911,"5",28,"Germany","B 60 0031892 / 146082 / 90195","Lettau, G.","B","[Schwarzwald] Baden: Südhang des Belchen oberhalb Böllener-Eck","Blettaucoll","GBIF",NA
NA,NA,7.8325,48.008056,NA,1894,"7. Mai",NA,"GERMANY","3102","Horstik","BERLIN_DB","(DEUTSCHLAND, Baden-Württemberg:) Freiburg (Breisgau). (ex Sammlung Julius Riemer)",NA,"BERLIN_DB",NA
NA,NA,9.378885,51.775814,NA,1863,"April",NA,"GERMANY","1213","Beckhaus","BERLIN_DB","[DEUTSCHLAND, Nordrhein-Westfalen:] Bei Höxter an Klippen des Solling über Rotheminde.",NA,"BERLIN_DB",NA
NA,NA,7.098416,50.701381,NA,1860,"Juli",NA,"GERMANY","1214","Fuisting?","BERLIN_DB","[DEUTSCHLAND, Nordrhein-Westfalen:] Buchen..... des Venusberges bei Bonn.",NA,"BERLIN_DB",NA
152940237,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911986,46.499611,NA,1800,"1",1,"Slovenia","F776564","Dolšak F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
