"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
2365719760,"85739778-f762-11e1-a439-00145eb45e9a",13.88,53.1367,2019,"4",29,"Germany","201925","H. Sipman & D. Heinrich","B","GERMANY, Brandenburg: Uckermark, NSG Fauler Ort, 1 km N of Pfingstberg. Alt. 60 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,84,"Opegrapha vermicellifera"
1946699454,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.94945,48.21,2018,"5",22,"Slovakia","54394-771",NA,"FR","bei Hontianske Tesáre, Schlucht ""Tesárska roklina""","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,95,"Opegrapha vermicellifera"
1949714922,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.82805,48.633333,2018,"5",26,"Slovakia","54651-771",NA,"FR","Schlucht von Zádiel","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,61,"Opegrapha vermicellifera"
1851035976,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.538333,53.6975,2017,"11",4,"Germany","50607-771",NA,"FR","Karstorf","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,81,"Opegrapha vermicellifera"
1676061221,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.94225,47.957867,2016,"8",16,"France","49085-771",NA,"FR","am Vorderblockloch bei Wildenstein","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,69,"Opegrapha vermicellifera"
1836425465,"85739778-f762-11e1-a439-00145eb45e9a",14.2067,53.005,2016,"10",13,"Germany","195519","H. Sipman & D. Heinrich","B","DEUTSCHLAND, Brandenburg, Landkreis Uckermark: Nationalpark Unteres Odertal. Forest SW of Criewen, Densenberge. Alt. ca. 20 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,87,"Opegrapha vermicellifera"
1233564707,"828a3d8c-f762-11e1-a439-00145eb45e9a",16.11455,51.020867,2014,"6",15,"Poland","41043",NA,"FR","bei Moisdorf, im ""Grund""","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,72,"Opegrapha vermicellifera"
1052818554,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.075833,50.97055,2013,"10",18,"Germany","38481",NA,"FR","Amselgrund, zwischen Schwedenlöchern & Amselfall","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,76,"Opegrapha vermicellifera"
1052818555,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.036467,50.97625,2013,"10",18,"Germany","38527",NA,"FR","Uttewalder Grund, hinterm Aufstieg nach Uttewalde, vor der Brücke in Richtung Schleifgrund","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,80,"Opegrapha vermicellifera"
912722378,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.320833,50.914717,2012,"10",11,"Germany","33939",NA,"FR","Elbsandsteingebirge, mittleres Kirnitzschtal, bei der Thorwalder Brücke","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,74,"Opegrapha vermicellifera"
912722316,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.685283,52.706667,2011,"4",24,"Poland","35778",NA,"FR","Gestellweg ""Zielony Tryb"" nördlich der Straße Hajnowka - Bia&#322;owie&#380;a","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,69,"Opegrapha vermicellifera"
1929743802,"d415c253-4d61-4459-9d25-4015b9084fb0",7.2133,50.1686,2010,"1",30,"Germany","01167656","W. R. Buck","NY","Naturschutzgebiet Dortebachtal, along trail from parking area to waterfall, ca. 1 km E of village of Klotten along Hwy 49, along N shore of Mosel River","NY","Rheinland-Pfalz","GBIF",NA,88,"Opegrapha vermicellifera"
1212178117,"85739778-f762-11e1-a439-00145eb45e9a",14.0917,48.3033,2010,"5",14,"Austria","178336","Franz Berger","B","AUSTRIA, Oberösterreich (=Upper Austria), 5.1 km ESE of the centre of Eferding, 2 km NW of Alkoven, Eckhartsau, along the secondary branch of the brook Innbach. Alt. 260 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,92,"Opegrapha vermicellifera"
1212175178,"85739778-f762-11e1-a439-00145eb45e9a",9.025,53.4183,2008,"4",4,"Germany","103343","H. Sipman","B","DEUTSCHLAND, Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Osterwede, Brillitermoor. MTB 2520/3B2. Elev. 5 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,85,"Opegrapha vermicellifera"
1212178200,"85739778-f762-11e1-a439-00145eb45e9a",13.44,47.8517,2008,"5",4,"Austria","178337","Roman Türk","B","AUSTRIA, Oberösterreich (=Upper Austria), 6.8 km ESE of the centre of Mondsee, valley of the brook Wangauer Ache, between Oberwang and Loibichl. Alt. 560 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,74,"Opegrapha vermicellifera"
