"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
NA,NA,9.196558,47.705563,1961,"08. April",NA,"GERMANY","123438","H. Breuer","BERLIN_DB","DEUTSCHLAND, Baden-Württemberg: Bodensee, Insel Mainau.",NA,NA,"BERLIN_DB","B 60 0174958",95,"Opegrapha vermicellifera"
2237875738,"84d26682-f762-11e1-a439-00145eb45e9a",11.52617,54.69217,1952,"5",12,"Denmark","DMS-1013611","Mogens Skytte Christiansen",NA,"Kærstrup",NA,NA,"GBIF",NA,82,"Opegrapha vermicellifera"
914762,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",10.844167,54.997222,1946,"7",18,"Denmark","1051840","Ove Almborn","LD","Tranekær","General","Langeland","GBIF",NA,82,"Opegrapha vermicellifera"
2237904769,"84d26682-f762-11e1-a439-00145eb45e9a",11.81666,54.78333,1943,"5",28,"Denmark","DMS-1039589","Mogens Skytte Christiansen",NA,"Fuglsang Storskov",NA,NA,"GBIF",NA,81,"Opegrapha vermicellifera"
912722284,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.844167,49.806117,1937,"7",10,"Germany","660",NA,"FR","Bad Kreuznach, auf Fuß des Rheingrafenstein bei Münster am Stein","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,89,"Opegrapha vermicellifera"
2449353346,"85739778-f762-11e1-a439-00145eb45e9a",12.2333,54.2,1936,"6",30,"Germany","118671","V. J. Grummann","B","DEUTSCHLAND, Mecklenburg-Vorpommern: Rostocker Heide westlich Graal.","Lichen Herbarium Berlin",NA,"GBIF",NA,84,"Opegrapha vermicellifera"
2449354388,"85739778-f762-11e1-a439-00145eb45e9a",7.6717,47.6333,1929,"7",4,"Germany","118852","V. J. Grummann","B","DEUTSCHLAND, Baden-Württemberg: Haagen bei Lörrach, Röttler Wald.","Lichen Herbarium Berlin",NA,"GBIF",NA,94,"Opegrapha vermicellifera"
442145397,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.643611,47.64389,1922,"5",11,"Germany","B 60 0050763 / 147054 / 90582","Lettau, G.","B","Baden: ""Rümminger Moos"" bei Lörrach","Blettaucoll",NA,"GBIF",NA,97,"Opegrapha vermicellifera"
442145387,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.663055,47.715279,1921,"5",1,"Germany","B 60 0050752 / 147044 / 90577","Lettau, G.","B","Baden: Wolfschlucht bei Kandern, 400 m.","Blettaucoll",NA,"GBIF",NA,92,"Opegrapha vermicellifera"
442145402,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.95,47.549999,1921,"5",8,"Germany","B 60 0111739 / 147941 / 90912","Lettau, G.","B","Schwarzwald: Am Abhang unter dem ""Wieladinger Schloss"" (bei Säckingen), 520 m.","Blettaucoll",NA,"GBIF",NA,96,"Opegrapha vermicellifera"
