"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","DB","BBarcode"
1945780425,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.305833,47.33745,2018,"8",25,"Germany","Spielmannsau","55090-771",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1638418849,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.21722,45.32472,2016,"4",6,"Croatia","Primorsko-Goranska. Učka. Forststraße bei Poklon Richtung N, bis zu Sendmasten","000330042","Mayrhofer,Helmut & Prettner,Matthias","GZU","Herbarium GZU",NA,"GBIF",NA
1638418886,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.22972,45.32,2016,"4",5,"Croatia","Primorsko-Goranska. Učka. Passstraße zwischen Poklon und Veprinac. Panjak fireroad, E von Ravne staje","000330053","Mayrhofer,Helmut & Prettner,Matthias","GZU","Herbarium GZU",NA,"GBIF",NA
1638418962,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.22972,45.32,2016,"4",5,"Croatia","Primorsko-Goranska. Učka. Passstraße zwischen Poklon und Veprinac. Panjak fireroad, E von Ravne staje","000330045","Mayrhofer,Helmut & Prettner,Matthias","GZU","Herbarium GZU",NA,"GBIF",NA
1676073334,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.79,47.810417,2016,"9",17,"France","Waldreservat St. Antoine","49060-771",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1851914138,"c711c16e-8db5-4f66-aa06-03d9e472fbbc",10.137881,47.440586,2016,"9",28,"Germany","Deutschland, Bayern, Oberstdorf, Balderschwang, Scheueralpe","MB-004969 / 804928 / 435437","Rexer, K.-H. (no. KR 14586)","MB","MBcoll",NA,"GBIF",NA
1657195094,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.20222,45.29444,2015,"4",25,"Croatia","Istrien. Učka. Steig von Poklon an der Passstraße über die Učka zum Gipfel Vojak, Lehrpfad Plas; Exponierter Rücken mit niedrigen Rotbuchen","000324307","Mayrhofer,Helmut, Seifter,Katharina & Župan,Dijana","GZU","Herbarium GZU",NA,"GBIF",NA
912725253,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.27695,50.934717,2011,"8",13,"Poland","Meffersdorf, Observatorium","31880",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1717209616,"cef8bb20-149a-11de-bab0-b8a03c50a862",16.826168,50.230893,2005,"10",9,"Poland","p: dolnośląskie; c: Kłodzko; Kleśnica Stream Valley",NA,"Szczepańska, K.","MNHW",NA,"dolnośląskie","GBIF",NA
912724523,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.279167,50.934167,2003,"4",25,"Poland","Oberlausitz, Isergebirge, Gieraltówek (Neugersdorf), bei der Ruine des v. Gersdorfschen Observatoriums (Kaiser-Wilhelm-Turm)","15252",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1717209598,"cef8bb20-149a-11de-bab0-b8a03c50a862",16.6776,54.3579,2003,"6",11,"Poland","p: zachodniopomorskie; c: Sławno; Sławno",NA,"Fałtynowicz, W.","MNHW",NA,"zachodniopomorskie","GBIF",NA
1638417523,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.61806,46.43333,2003,"7",3,"Slovenia","[Primorska] Southern Alps, Julian Alps, massif of Mangart NE of Bovec, by the road to the Mangartska koča (Mangart refuge) just above Mangartska planina","000315292","Mayrhofer,Helmut","GZU","Herbarium GZU",NA,"GBIF",NA
1638417527,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.63333,46.41389,2003,"7",31,"Slovenia","[Primorska] Southern Alps, Julian Alps, Koritnica valley NE of the village Log pod Mangartom","000315425","Mayrhofer,Helmut, Jensen,M. & Trembley,M.","GZU","Herbarium GZU",NA,"GBIF",NA
1638417573,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.65833,46.31667,2003,"7",6,"Slovenia","[Primorska] Southern Alps, Julian Alps, Lepena valley SSW of Soča (E of Bovec), on the riverbank of Lepenca","000315469","Mayrhofer,Helmut","GZU","Herbarium GZU",NA,"GBIF",NA
1638417777,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.65833,46.31667,2003,"7",6,"Slovenia","[Primorska] Southern Alps, Julian Alps, Lepena valley SSW of Soča (E of Bovec), on the riverbank of Lepenca","000315483","Mayrhofer,Helmut","GZU","Herbarium GZU",NA,"GBIF",NA
1676070672,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.97421,50.50147,1998,"7",23,"Germany","Hohe Rhön, NSG 'Schafstein' westl. von Wüstensachsen, am Fuß der Basaltkuppe","67312",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
152940826,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,1998,"10",24,"Slovenia","Javorniki","F1018325","Pruegger J., Surina B.","ULBF-AGR","FloVegSI-FLO","Notranjska","GBIF",NA
152940827,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,1998,"10",24,"Slovenia","Javorniki","F1018326","Pruegger J., Surina B.","ULBF-AGR","FloVegSI-FLO","Notranjska","GBIF",NA
152940807,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,1997,"8",10,"Slovenia","Snežnik","F1018306","Pruegger J.","ULBF-AGR","FloVegSI-FLO","Notranjska","GBIF",NA
152940810,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,1997,"8",11,"Slovenia","Snežnik","F1018309","Pruegger J., Surina B.","ULBF-AGR","FloVegSI-FLO","Notranjska","GBIF",NA
152940811,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411995,45.599739,1997,"8",12,"Slovenia","Snežnik","F1018310","Pruegger J., Surina B.","ULBF-AGR","FloVegSI-FLO","Notranjska","GBIF",NA
