"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","DB","BBarcode","b1test","name"
912724460,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.089717,48.008333,1967,"7",4,"Germany","Schwarzwald, Freiburg, bei St. Märgen","8179",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,69,"Parmelia submontana"
NA,NA,10.566667,47.583333,1963,"20.3.1963",NA,NA,"Germany, Bavaria, Lkr. Füssen, Pfronten","M-0301712","J. Poelt","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,56,"Parmelia submontana"
NA,NA,8.181628,48.642409,1960,"Feb.",NA,"GERMANY","GERMANY, Baden-Württemberg: Nordschwarzwald, between Wittig and Omerskopf near Unterstmatt.","179341","H. Reznik","BERLIN_DB",NA,NA,"BERLIN_DB","B 60 0190372",78,"Parmelia submontana"
NA,NA,9.3125,47.820833,1958,"5.4.1958",NA,NA,"Germany, Baden-Württemberg, N of Heiligenberg near Überlingen","M-0301709","J. Poelt","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,83,"Parmelia submontana"
NA,NA,8.076086,47.665493,1957,"14.8.1957",NA,NA,"Germany, Baden-Württemberg, near Rotzingen","M-0301710","H. & E. Walter","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,75,"Parmelia submontana"
NA,NA,8.937222,49.566111,1956,"1. Okt.",NA,"GERMANY","DEUTSCHLAND, HESSEN. Krs. Erbach-Odenwald. Falkengesäß. Alt. 400 m.","25629","O. Behr","BERLIN_DB",NA,NA,"BERLIN_DB","",88,"Parmelia submontana"
1632918385,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.38088,51.07989,1951,"9",23,"Poland","No locality information available","1895391","Z. Tobolewski","LD","General","Dolnoslaskie","GBIF",NA,81,"Parmelia submontana"
912724377,"828a3d8c-f762-11e1-a439-00145eb45e9a",16.336667,50.4625,1951,"9",23,"Poland","Sudeten, Gory Stolowe (pow. klodzki), ad viam Karlow - Kudowa","3884",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,54,"Parmelia submontana"
NA,NA,9.040833,49.470833,1951,"2.9.1951",NA,"Deutschland","Katzenbuckel",NA,"O. Behr","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,92,"Parmelia submontana"
1099060706,"7ba21c92-f762-11e1-a439-00145eb45e9a",15.946655,49.725594,1931,NA,NA,"Czechia","Bohemia: Hlinsko, Plánavy.","M-0023644 / 551971 / 231222","Nádvornik, J.","SNSB-M","BSMlichenscoll",NA,"GBIF",NA,63,"Parmelia submontana"
NA,NA,10.866974,50.233825,1908,"21.7.1908",NA,"Deutschland","Tambach",NA,"G. Lettau","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,81,"Parmelia submontana"
NA,NA,10.913748,50.701922,1908,"2.10.1908",NA,"Deutschland","between Oberpörlitz and Röda",NA,"G. Lettau","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,67,"Parmelia submontana"
NA,NA,10.369085,50.738829,1908,"7.7.1908",NA,"Deutschland","Fambach",NA,"G. Lettau","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,81,"Parmelia submontana"
442145731,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.726666,50.705833,1907,"2",16,"Germany","Deutschland, Thüringer Wald. Um Oberhof, 750-800 m.","B 60 0034609 / 146255 / 90269","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,56,"Parmelia submontana"
NA,NA,10.727163,50.704353,1907,"16.2.1907",NA,"Deutschland","Oberhof",NA,"G. Lettau","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,56,"Parmelia submontana"
152941286,"89579e3e-f762-11e1-a439-00145eb45e9a",15.078565,45.699754,1800,"1",1,"Slovenia",NA,"F776196","Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA,89,"Parmelia submontana"
