"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","DB","BBarcode"
2303272844,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.12255,47.943633,2018,"7",20,"Ukraine","Talhang über dem Bache Kuzij","54725-771",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1945780424,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.828133,53.469367,2018,"8",9,"Germany","Hamburg-Fischbek: Scharlbarg","54733-771",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1638419050,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.22944,45.33139,2016,"4",6,"Croatia","Primorsko-Goranska. Učka. Passstraße zwischen Poklon und Veprinac. Panjak fireroad, E von Ravne staje","000330016","Mayrhofer,Helmut, Prettner,Matthias & Grozić,Dino","GZU","Herbarium GZU",NA,"GBIF",NA
1657195746,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,2016,"4",5,"Croatia","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","000330172","Mayrhofer,Helmut & Prettner,Matthias","GZU","Herbarium GZU",NA,"GBIF",NA
1657195155,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.20667,45.30667,2015,"4",25,"Croatia","Istrien. Učka. Poklon, Passstraße über die Učka, Parkplatz des Restaurants Dopolavoro; Alleebäume entlang der Passstraße","000324357","Mayrhofer,Helmut, Seifter,Katharina & Župan,Dijana","GZU","Herbarium GZU",NA,"GBIF",NA
1676070681,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.82,45.737778,2011,"6",20,"Italy","Prov. Verona, Prealpina Gardesana, Monte Baldo, The Cima del Longino, westslope, the Val Finestra","67318",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676070685,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.808889,45.7425,2011,"6",22,"Italy","Prov. Verona, Prealpina Gardesana, Monte Baldo, The Cima Valdritta, northwestslope, vicinity of Malga Fiabio","67319",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1086735881,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.76945,45.86445,2011,"8",20,"France","Les Bettières bei Bionnassay oberhalb Pont des Places","37382",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1288172219,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.780833,45.8618,2011,"8",20,"France","bei Bionnassay, Les Bettières, Aufstieg zur Aiguille de Bionnassay","37409",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
165124838,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911995,46.399623,2002,"8",9,"Slovenia","Rjavec","F956089","Mrak T.","ULBF-AGR","FloVegSI-FLO","Gorenjska","GBIF",NA
165124857,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911995,46.399623,2002,"8",9,"Slovenia","Rjavec","F956307","Mrak T.","ULBF-AGR","FloVegSI-FLO","Gorenjska","GBIF",NA
2028360323,"ee4d0706-38af-4bc4-8539-e17c0ca8512e",7.033333,46.483333,2001,"7",29,"Switzerland","Ver les Jordan, near Montbovon, Chateau d'Oex","30579","McMullen, Molly","DUKE",NA,"Fribourg","GBIF",NA
