"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","collectionCode","stateProvince","DB","BBarcode","b1test","name"
2449357615,"85739778-f762-11e1-a439-00145eb45e9a",5.8,45.3333,1963,"4",16,"France","FRANCE, Dep. Isère: Grande Chartreuse, region of Dent de Crolles, between Les Meunières and Le Neyroud. Alt. 1200 m.","179366","H. Reznik","B","Lichen Herbarium Berlin",NA,"GBIF",NA,65,"Parmelina quercina"
NA,NA,10.566667,47.583333,1961,"18.6.1961",NA,NA,"Germany, Bavaria, Allgäu, Pfronten","M-0301698","A. Schröppel","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,56,"Parmelina quercina"
788526471,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.301111,49.070833,1958,"4",6,"Czechia","Polánka","1283041","A. Vezda","LD","General","Jihomoravsky kraj","GBIF",NA,87,"Parmelina quercina"
912724423,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.265833,47.388883,1956,"4",15,"Germany","Allgäu, Oberstdorf, bei der Talstation der Sesselbahn","3905",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,65,"Parmelina quercina"
788525550,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",10.405833,47.515833,1956,"6",NA,"Germany","Oberjoch","1282081","E. Putzler","LD","General","Bayern","GBIF",NA,47,"Parmelina quercina"
2449366226,"85739778-f762-11e1-a439-00145eb45e9a",6.4333,50.2,1956,"8",1,"Germany","DEUTSCHLAND: Eifel, Kr. Prüm, Rommersheim.","115579","V. J. Grummann","B","Lichen Herbarium Berlin",NA,"GBIF",NA,76,"Parmelina quercina"
NA,NA,10.371929,47.506982,1956,"9.1956",NA,"Deutschland","Allgäu, Hindelang",NA,"A. Schröppel & J. Poelt","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,52,"Parmelina quercina"
2449363412,"85739778-f762-11e1-a439-00145eb45e9a",8.7833,46.1833,1955,"8",3,"Switzerland","Schweiz, Tessin, Cardada.","118439","V. J. Grummann","B","Lichen Herbarium Berlin",NA,"GBIF",NA,90,"Parmelina quercina"
912724427,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.68055,47.536667,1954,"4",29,"Austria","Nordtirol, Pinswang s, im Tal","3903",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,63,"Parmelina quercina"
NA,NA,10.699994,47.516706,1954,"30.4.1954",NA,NA,"Austria, Tyrol, Pinswang - Kniepass, Reutte-Aussfern","M-0301682","A. Schröppel","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,63,"Parmelina quercina"
788525433,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",10.275833,47.408611,1950,"8",2,"Germany","Oberstdorf","1281961","E. Putzler","LD","General","Bayern","GBIF",NA,65,"Parmelina quercina"
NA,NA,11.196753,48.888543,1949,"1.4.1949",NA,NA,"Germany, Bavaria, Oberbayern, Kr. Wolfratshausen, at the roadside between Deichstetten and Schäftlarn","M-0301703","J. Poelt","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,80,"Parmelina quercina"
2449366328,"85739778-f762-11e1-a439-00145eb45e9a",10.3667,47.5,1935,"7",30,"Germany","DEUTSCHLAND, Bayern: Allgäu, Fussweg Hinterstein-Bad Oberdorf.","118639","J. Hillmann in herb. V. J. Grummann","B","Lichen Herbarium Berlin",NA,"GBIF",NA,49,"Parmelina quercina"
NA,NA,10.283333,47.516667,1935,"4-Jul",NA,"GERMANY","DEUTSCHLAND, Bayern: Allgäu, Sonthofen.","118862","J. Hillmann in herb. V. J. Grummann","BERLIN_DB",NA,NA,"BERLIN_DB","",70,"Parmelina quercina"
788526589,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",18.171667,48.558333,1926,"8",NA,"Slovakia","Topolcany","1283161","J. Hruby","LD","General","Nitriansky kraj","GBIF",NA,94,"Parmelina quercina"
NA,NA,8.064515,47.863391,1926,"14-Jul",NA,"GERMANY","DEUTSCHLAND, Baden-Württemberg: Schwarzwald, Fahrstrasse zwischen dem Jugendheim (nahe dem Feldberger Hof) und Bärental. Alt. ca. 1050 m.","116042","J. Hillmann in herb. V. J. Grummann","BERLIN_DB",NA,NA,"BERLIN_DB","B 60 0033509",57,"Parmelina quercina"
788526529,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.43963,49.09345,1925,"5",NA,"Czechia","No locality information available","1283101","J. Hruby","LD","General","Jihocesky kraj","GBIF",NA,77,"Parmelina quercina"
2449354286,"85739778-f762-11e1-a439-00145eb45e9a",17.3833,50.25,1922,"4",15,"Czechia","Altvatergebirge [Hrubý Jeseník], bei Zuckmantel [Zlaté Hory], Ahornallee vorm Kreuzweg u. Mariahilf.","116151","V. J. Grummann","B","Lichen Herbarium Berlin",NA,"GBIF",NA,59,"Parmelina quercina"
2449356359,"85739778-f762-11e1-a439-00145eb45e9a",17.3333,50.2833,1921,"10",5,"Poland","Altvatergebirge [Hrubý Jeseník], Endersdorf [Gestwina].","119020","V. J. Grummann","B","Lichen Herbarium Berlin",NA,"GBIF",NA,69,"Parmelina quercina"
442145686,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.947222,47.831665,1912,"5",27,"Germany","Schwarzwald: Lisbühl bei Todtnau","B 60 0033491 / 146025 / 90172","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,72,"Parmelina quercina"
442145689,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.670278,47.802776,1912,"5",5,"Germany","[Schwarzwald] Baden: Strasse Badenweiler - Schweighof","B 60 0033495a / 150024 / 91661","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,89,"Parmelina quercina"
442145692,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.941389,47.851665,1912,"6",23,"Germany","[Schwarzwald] Baden: Todtnauberg, gegen Aftersteg","B 60 0033499 / 146029 / 90174","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,58,"Parmelina quercina"
442145693,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.053611,47.859444,1912,"7",28,"Germany","[Schwarzwald] Baden: Zeiger, beim Feldberg","B 60 0033499a / 150030 / 91663","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,57,"Parmelina quercina"
788526413,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.23419,49.59218,1911,"8",17,"Czechia","No locality information available","1282981","G. Timkó","LD","General","Plzensky kraj","GBIF",NA,76,"Parmelina quercina"
442145696,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.9825,50.798054,1910,"5",9,"Germany","Thüringen: 2) Dannheim","B 60 0033512a / 150032 / 91664","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,77,"Parmelina quercina"
442145688,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.934166,47.698334,1910,"8",29,"Germany","[Schwarzwald] Baden: Gersbach","B 60 0033495 / 146036 / 90176","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,70,"Parmelina quercina"
442145694,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.914722,50.703056,1908,"9",25,"Germany","Thüringen: Nahe Oberpörlitz, bei Ilmenau, 580 m.","B 60 0033500 / 146032 / 90175","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,67,"Parmelina quercina"
442145805,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.916945,50.685833,1908,"9",25,"Germany","Thüringen: 2) Ilmenau gegen Oberpörlitz, 520 m.","B 60 0128080b / 152724 / 92703","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,70,"Parmelina quercina"
442145690,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.944445,50.838333,1907,"5",26,"Germany","Thüringen:  1) Mühlburg bei Arnstadt, 360 m.","B 60 0033498 / 146027 / 90173","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,80,"Parmelina quercina"
442145695,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.854167,50.7075,1906,"9",7,"Germany","Thüringen: 1) Elgersburg gegen Geraberg","B 60 0033512 / 146038 / 90177","Lettau, G.","B","Blettaucoll",NA,"GBIF",NA,63,"Parmelina quercina"
912724172,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.933333,50.883333,1899,"9",30,"Poland","Riesengebirge, Jannowitz, an der alten Straße nach Kupferberg","12241",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,62,"Parmelina quercina"
NA,NA,7.987557,51.95109,1890,"1890",NA,"Deutschland","Warnadorf bei Dresden",NA,"Auerswalde","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,93,"Parmelina quercina"
788525257,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",16.38088,51.07989,1888,"7",16,"Poland","No locality information available","1281781","E. F. Dresler","LD","General","Dolnoslaskie","GBIF",NA,81,"Parmelina quercina"
788526241,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",7.957778,45.831944,1880,NA,NA,"Italy","Riva Valdobbia","1282801","A. Carestia","LD","General","Piemonte","GBIF",NA,32,"Parmelina quercina"
788525668,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.598056,50.953889,1879,"4",3,"Germany","Jena: Rautal","1282201","B. Jonsson","LD","General","Thüringen","GBIF",NA,85,"Parmelina quercina"
788525724,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.568611,46.438333,1879,"4",3,"Italy","Raibl [Cave del Predil]","1282261","B. Jonsson","LD","General","Friuli-Venezia Giulia","GBIF",NA,52,"Parmelina quercina"
788525374,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.058611,52.396944,1877,"12",9,"Germany","Potsdam","1281901","G. Egeling","LD","General","Brandenburg","GBIF",NA,92,"Parmelina quercina"
929130,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.296944,54.865833,1871,"8",NA,"Denmark","Rosningen","1040226","E. Rostrup","LD","General","Lolland","GBIF",NA,82,"Parmelina quercina"
NA,NA,8.613056,50.229964,1863,"2.1863",NA,"Deutschland","Bad Homburg",NA,"Metzler","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,93,"Parmelina quercina"
NA,NA,8.533333,48.933333,1862,"1862",NA,NA,"Germany, Baden-Württemberg, Mutschelbach","M-0301688","Bausch","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,98,"Parmelina quercina"
NA,NA,8.24656,48.725892,1861,"1861",NA,NA,"Germany, Baden-Württemberg, Geroldsau","M-0301690","Bausch","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,93,"Parmelina quercina"
NA,NA,7.944946,48.473768,1826,"1826",NA,NA,"Germany, Baden-Württemberg, Offenburg","M-0301689","Schimper","MUNICH_HTL",NA,NA,"MUNICH_HTL",NA,104,"Parmelina quercina"
