"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode"
1676073347,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.94225,47.957867,NA,2016,"8",16,"France","49084-771",NA,"FR","am Vorderblockloch bei Wildenstein","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
NA,NA,9.005089,53.42196,NA,2008,"4-Apr",NA,"GERMANY","103362","H. Sipman","BERLIN_DB","DEUTSCHLAND, Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Franzhorn forest N of Brillit, Naturwald area. MTB 2520/3B1. Elev. 20-40 m",NA,"BERLIN_DB",NA
152942530,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745359,46.299628,"Gorenjska",2003,"1",29,"Slovenia","F955241","Mrak T.","ULBF-AGR","Ukanc","FloVegSI-FLO","GBIF",NA
152942043,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411995,45.599739,"Notranjska",1998,"10",23,"Slovenia","F1019834","Pruegger J., Surina B.","ULBF-AGR","Snežnik","FloVegSI-FLO","GBIF",NA
152942044,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,"Notranjska",1998,"10",24,"Slovenia","F1019835","Pruegger J., Surina B.","ULBF-AGR","Javorniki","FloVegSI-FLO","GBIF",NA
152942093,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411995,45.599739,"Notranjska",1998,"10",23,"Slovenia","F1037841","Pruegger J., Surina B.","ULBF-AGR","Snežnik","FloVegSI-FLO","GBIF",NA
152942440,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745368,46.19964,NA,1997,"6",5,"Slovenia","F779656","Primožič K.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
152942037,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,"Notranjska",1997,"8",9,"Slovenia","F1019828","Pruegger J.","ULBF-AGR","Mašun","FloVegSI-FLO","GBIF",NA
152942038,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,"Notranjska",1997,"8",10,"Slovenia","F1019829","Pruegger J.","ULBF-AGR","Mašun","FloVegSI-FLO","GBIF",NA
152942041,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,"Notranjska",1997,"8",14,"Slovenia","F1019832","Pruegger J.","ULBF-AGR","Snežnik","FloVegSI-FLO","GBIF",NA
152942042,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411978,45.799715,"Notranjska",1997,"10",5,"Slovenia","F1019833","Pruegger J., Suppan U., Mayrhofer H., Batič F.","ULBF-AGR","Cerkniško jezero","FloVegSI-FLO","GBIF",NA
152942096,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411978,45.799715,"Notranjska",1997,"10",5,"Slovenia","F1037851","Pruegger J., Suppan U., Mayrhofer H., Batič F.","ULBF-AGR","Cerkniško jezero","FloVegSI-FLO","GBIF",NA
NA,NA,13.021707,47.690498,NA,1989,"17. sept.",NA,"GERMANY","38741","H. Sipman","BERLIN_DB","GERMANY, BAYERN. Berchtesgaden, Marktschellenberg. Alt. 950 m. Along trail to Salzburger Hochthron, on Hochbartkogel. E-facing slope with remnants of old Fagus/Acer-forest, Picea and Abies. On Acer.",NA,"BERLIN_DB",NA
2237904281,"84d26682-f762-11e1-a439-00145eb45e9a",11.73333,54.93333,NA,1980,"9",3,"Denmark","DMS-1038537","Mogens Skytte Christiansen",NA,"Resle Skov",NA,"GBIF",NA
2237904398,"84d26682-f762-11e1-a439-00145eb45e9a",11.73333,54.93333,NA,1980,"9",3,"Denmark","DMS-1038563","Mogens Skytte Christiansen",NA,"Resle Skov",NA,"GBIF",NA
2237866585,"84d26682-f762-11e1-a439-00145eb45e9a",11.11026,54.74513,NA,1977,"7",24,"Denmark","DMS-1004682","Mogens Skytte Christiansen",NA,"Lindeskov (Rudbjerggård Østerskov)",NA,"GBIF",NA
2237876690,"84d26682-f762-11e1-a439-00145eb45e9a",11.35874,54.78336,NA,1977,"7",24,"Denmark","DMS-1014261","Mogens Skytte Christiansen",NA,"Kristianssæde Skov",NA,"GBIF",NA
152942215,"89579e3e-f762-11e1-a439-00145eb45e9a",15.078565,45.699754,NA,1976,"11",15,"Slovenia","F775613","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA
1212212976,"85739778-f762-11e1-a439-00145eb45e9a",6.9,47.9833,NA,1975,"6",26,"France","112715","H. Sipman","B","FRANCE, Vosges: La Bresse, near Lac des Corbeaux. Elev. c. 800 m.","Lichen Herbarium Berlin","GBIF",NA
